,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,2404,2289,2709,2327,4502,4807,4254,5456,6906,7211,9805,Upgrade
1,Market Cap Growth,-1.64%,-1.64%,-39.83%,-51.59%,5.83%,-11.89%,-38.40%,-24.34%,-29.57%,-38.74%,-27.20%,Upgrade
2,Enterprise Value,3287,5319,5735,4977,6900,7137,6712,10575,10776,13522,15626,Upgrade
3,Last Close Price,1.26,1.20,1.42,1.22,2.36,2.52,2.23,2.86,3.62,3.77,5.12,Upgrade
4,PE Ratio,-,-,-,-,10.51,4.17,-1.63,-,-,-,13.41,Upgrade
5,PS Ratio,10.65,10.15,4.17,3.00,7.97,3.25,2.55,4.57,3.82,2.40,3.16,Upgrade
6,PB Ratio,0.20,0.19,0.20,0.16,0.31,0.34,0.30,0.38,0.28,0.25,0.30,Upgrade
7,P/FCF Ratio,-,-,26.54,9.32,18.73,-34.32,-,3.88,-,0.92,1.55,Upgrade
8,P/OCF Ratio,-,-,26.54,9.32,18.73,-34.32,-,3.88,-,0.92,1.55,Upgrade
9,EV/Sales Ratio,14.57,23.57,8.82,6.42,12.21,4.82,4.03,8.86,5.96,4.50,5.04,Upgrade
10,EV/EBITDA Ratio,-,-,17.18,11.02,34.02,6.33,6.01,16.99,7.51,5.15,5.67,Upgrade
11,EV/EBIT Ratio,-,-,-,12.67,45.82,6.71,6.40,18.68,7.73,5.21,5.70,Upgrade
12,EV/FCF Ratio,-,-,56.18,19.94,28.70,-50.95,-,7.52,-,1.72,2.47,Upgrade
13,Debt / Equity Ratio,0.25,0.25,0.30,0.28,0.28,0.36,0.35,0.38,0.33,0.26,0.25,Upgrade
14,Debt / FCF Ratio,-,-,40.31,15.76,16.41,-35.52,-,3.92,-,0.94,1.31,Upgrade
15,Earnings Yield,-87.72%,-92.10%,-18.16%,3.30%,9.51%,23.97%,-61.30%,-64.43%,-2.91%,8.63%,7.46%,Upgrade
16,FCF Yield,-,3.77%,10.73%,5.34%,-2.91%,45.34%,25.78%,17.59%,108.72%,64.53%,Upgrade,
17,Dividend Yield,2.38%,-,-,-,-,-,-,-,-,0.53%,0.39%,Upgrade
18,Total Shareholder Return,2.38%,-,-,-,-,-,-,-,-,0.53%,0.39%,Upgrade
