,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,61,84,76,102,89,108,115,134,122,131,173
1,Market Cap Growth,-16.98%,-16.98%,-15.11%,-5.36%,-22.78%,-20.00%,-5.26%,2.44%,-29.63%,-52.33%,-53.45%
2,Enterprise Value,32,56,28,57,41,41,22,48,72,40,112
3,Last Close Price,0.10,0.13,0.12,0.16,0.14,0.17,0.18,0.21,0.19,0.20,0.26
4,PS Ratio,0.34,0.47,0.46,0.52,0.36,0.32,0.32,0.42,0.48,0.38,0.34
5,PB Ratio,0.24,0.33,0.27,0.35,0.28,0.32,0.32,0.36,0.32,0.34,0.41
6,P/TBV Ratio,0.33,0.33,0.28,0.35,0.29,0.32,0.32,0.37,0.33,0.34,0.42
7,P/FCF Ratio,-,-3.94,-,5.19,17.49,-,-,2.54,17.01,-,5.80
8,P/OCF Ratio,-,-4.51,-,4.98,10.89,-,-,2.12,7.99,-,2.41
9,EV/Sales Ratio,0.18,0.31,0.17,0.29,0.17,0.12,0.06,0.15,0.28,0.12,0.22
10,EV/EBITDA Ratio,-,-,-,-,-,-,-,-2.92,-,-,-
11,EV/FCF Ratio,-1.51,-2.62,-,2.93,8.09,-,-,0.90,10.09,-,3.77
12,Debt / Equity Ratio,0.11,0.11,0.12,0.11,0.13,0.15,0.15,0.19,0.20,0.20,0.17
13,Debt / FCF Ratio,-,-1.37,-,1.72,7.94,-,-,1.37,10.39,-,2.48
14,Earnings Yield,-58.36%,-42.00%,-50.05%,-43.90%,-56.16%,-31.92%,-10.34%,-12.71%,-33.74%,-26.33%,3.05%
15,FCF Yield,-35.25%,-25.37%,-23.77%,19.26%,5.72%,-32.64%,-12.22%,39.32%,5.88%,-10.09%,17.23%
16,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-1.88%,
17,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-1.88%,
