,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,328.29,333.48,312.62,439.72,392.8,331.01,282,318.78,429.45,526.01
1,Revenue Growth (YoY),5.01%,-24.16%,-20.41%,32.84%,39.29%,3.84%,-34.34%,-39.40%,-18.22%,-4.09%
2,Cost of Revenue,122.11,136.28,137.87,155.52,144.82,133.27,118.49,126.64,157.6,181.06
3,Gross Profit,206.19,197.2,174.75,284.2,247.97,197.74,163.51,192.15,271.85,344.95
4,"Selling, General & Admin",166.61,195.22,162.11,191.9,290.21,200.11,91.98,142.81,166.93,346.99
5,Research & Development,35.64,30.89,40.02,43.05,35.32,37.94,38.41,31.8,26.67,30.48
6,Other Operating Expenses,-14.43,-48.51,-5.92,49.57,-3.91,525.57,-3.79,-11.27,3.45,-8.77
7,Operating Expenses,187.82,177.6,196.21,284.52,321.61,763.62,126.61,163.35,197.04,368.7
8,Operating Income,18.37,19.59,-21.46,-0.32,-73.64,-565.88,36.91,28.8,74.81,-23.76
9,Interest Expense,-0.48,-0.52,-0.6,-0.68,-0.74,-0.87,-0.31,-0.17,-0.15,-0.26
10,Interest & Investment Income,-,5.34,-,4.47,4.59,8.2,21.37,24.74,21.67,9.32
11,Currency Exchange Gain (Loss),1.01,2.86,0.38,-4.89,5.57,-0.83,-0.73,-8.23,1.77,1.96
12,EBT Excluding Unusual Items,18.9,27.27,-21.68,-1.42,-64.23,-559.37,57.23,45.15,98.1,-12.73
13,Gain (Loss) on Sale of Investments,-6.2,8.12,1.26,-55.72,-5.28,1.84,-2.54,4.64,1.39,2.58
14,Gain (Loss) on Sale of Assets,-,-,-,-0.01,0.01,-0.19,-0.02,-0.03,-0.03,-0.03
15,Asset Writedown,-,-,-,-2.34,-,-0.5,-,-,-,-0.05
16,Pretax Income,12.69,35.39,-20.41,-59.49,-69.5,-558.21,54.67,49.76,99.46,-10.24
17,Income Tax Expense,3.52,7.57,0.63,16.17,-5.8,4.2,9.65,9.33,12.24,-1.67
18,Net Income,9.17,27.82,-21.05,-75.66,-63.7,-562.41,45.02,40.43,87.21,-8.56
19,Net Income to Common,9.17,27.82,-21.05,-75.66,-63.7,-562.41,45.02,40.43,87.21,-8.56
20,Net Income Growth,-,-,-,-,-,-,-48.38%,-,84.48%,-
21,Shares Outstanding (Basic),1918,1900,1900,1900,1900,1899,1896,1894,1885,1878
22,Shares Outstanding (Diluted),1918,1900,1900,1900,1900,1899,1898,1899,1894,1898
23,Shares Change (YoY),0.95%,-,-,0.06%,0.13%,0.01%,0.19%,0.05%,-1.98%,-1.62%
24,EPS (Basic),0.00,0.01,-0.01,-0.04,-0.03,-0.30,0.02,0.02,0.05,-0.00
25,EPS (Diluted),0.00,0.01,-0.01,-0.04,-0.03,-0.30,0.02,0.02,0.05,-0.00
26,EPS Growth,-,-,-,-,-,-,-48.48%,-,87.76%,-
27,Free Cash Flow,-31.85,22.64,-73.29,38.22,-20.27,56.49,45.69,-149.9,64.87,-280.5
28,Free Cash Flow Per Share,-0.02,0.01,-0.04,0.02,-0.01,0.03,0.02,-0.08,0.03,-0.15
29,Operating Margin,5.59%,5.88%,-6.86%,-0.07%,-18.75%,-170.95%,13.09%,9.03%,17.42%,-4.52%
30,Profit Margin,2.79%,8.34%,-6.73%,-17.21%,-16.22%,-169.91%,15.96%,12.68%,20.31%,-1.63%
31,Free Cash Flow Margin,-9.70%,6.79%,-23.44%,8.69%,-5.16%,17.07%,16.20%,-47.02%,15.11%,-53.33%
32,EBITDA,25.95,20.91,-13.79,-0.65,-62.4,-566.89,47.08,30.18,83.66,-22.41
33,D&A For EBITDA,7.59,1.32,7.67,-0.32,11.25,-1.01,10.18,1.38,8.85,1.35
34,EBIT,18.37,19.59,-21.46,-0.32,-73.64,-565.88,36.91,28.8,74.81,-23.76
