,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,278,153,155,192,207,382,476,428,1477,710,1228
1,Market Cap Growth,-20.00%,-20.00%,-25.00%,-49.75%,-56.45%,-10.76%,-67.79%,-39.73%,20.31%,-70.92%,-65.20%
2,Enterprise Value,-395,-571,-518,-636,-595,-488,-374,-401,527,-151,-69
3,Last Close Price,0.14,0.08,0.08,0.10,0.11,0.20,0.25,0.22,0.77,0.37,0.64
4,PE Ratio,6.96,3.86,20.82,-,-,-,-,4.16,9.74,8.22,-
5,PS Ratio,0.39,0.22,0.22,0.24,0.22,0.45,0.63,0.59,1.66,0.68,1.04
6,PB Ratio,0.33,0.18,0.18,0.23,0.24,0.39,0.43,0.24,0.87,0.45,0.82
7,P/TBV Ratio,0.18,0.18,0.18,0.24,0.24,0.40,0.44,0.24,0.87,0.45,0.82
8,P/FCF Ratio,-,-,-2.78,-,10.21,-,3.79,-3.41,-,-3.00,-
9,P/OCF Ratio,-,-,-3.06,-,6.54,-,3.50,-3.61,-,-3.21,-
10,EV/Sales Ratio,-,-,-,-,-,-,-,-,0.59,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,3.90,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,4.28,-,-
13,EV/FCF Ratio,39.89,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.03,0.00,0.00,0.01
15,Debt / FCF Ratio,-,-,-0.40,-,1.48,-,0.32,-0.38,-,-0.02,-
16,Return on Capital Employed (ROCE),4.26%,4.75%,-0.23%,-,-,-,-,4.39%,7.24%,3.52%,-
17,Earnings Yield,14.29%,25.90%,4.80%,-54.48%,-76.05%,-192.14%,-133.51%,24.02%,10.26%,12.16%,3.53%
18,FCF Yield,-3.56%,-6.45%,-35.92%,-19.76%,9.80%,11.12%,26.37%,-29.30%,-6.84%,-33.33%,-16.12%
19,Buyback Yield / Dilution,-0.48%,-0.95%,-,-,-0.06%,-0.13%,-0.01%,-0.19%,-0.05%,1.98%,1.62%
20,Total Shareholder Return,-0.48%,-0.95%,-,-,-0.06%,-0.13%,-0.01%,-0.19%,-0.05%,1.98%,1.62%
