,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1778,704,733,1129,1214,1801,1663,4429,2527,2722,2189,Upgrade
1,Market Cap Growth,-37.67%,-37.67%,-39.65%,-37.31%,-27.00%,-59.33%,-34.20%,62.70%,15.44%,126.67%,73.29%,Upgrade
2,Enterprise Value,570,-603,-729,-398,-425,76,-215,2628,805,1165,577,Upgrade
3,Last Close Price,0.62,0.23,0.24,0.37,0.39,0.57,0.53,1.44,0.79,0.82,0.66,Upgrade
4,PE Ratio,-,-,-,-,105.61,-,-,21.79,7.76,8.78,12.91,Upgrade
5,Forward PE,-,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,Upgrade
6,PS Ratio,2.58,1.08,0.85,0.95,1.14,2.35,1.53,3.72,1.88,2.09,2.88,Upgrade
7,PB Ratio,1.03,0.41,0.40,0.63,0.63,0.94,0.81,2.20,1.23,1.52,1.26,Upgrade
8,P/TBV Ratio,0.41,0.41,0.41,0.63,0.64,0.95,0.81,2.21,1.23,1.53,1.27,Upgrade
9,P/FCF Ratio,-,-,-,-,83.60,-,14.79,-61.79,-,8.76,14.57,Upgrade
10,P/OCF Ratio,369.87,-,73.62,-,35.59,-,11.42,19.13,6.39,8.69,14.00,Upgrade
11,EV/Sales Ratio,0.88,-,-,-,-,0.10,-,2.20,0.60,0.89,0.76,Upgrade
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,17.89,3.14,3.62,3.17,Upgrade
13,EV/EBIT Ratio,-,-,-,-,-,-,-,18.93,3.24,3.71,3.31,Upgrade
14,EV/FCF Ratio,-6.87,-,-,-,-,-,-,-36.66,-,3.75,3.84,Upgrade
15,Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,Upgrade
16,Debt / FCF Ratio,-,-,-,-,4.36,-,0.77,-1.30,-,0.33,0.75,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,-,-2.06%,-,-,6.64%,11.52%,16.69%,9.48%,Upgrade
18,Earnings Yield,-1.60%,-4.03%,-4.73%,2.88%,0.95%,-3.89%,1.95%,4.59%,12.89%,11.40%,7.75%,Upgrade
19,FCF Yield,-4.67%,-11.79%,-11.96%,0.57%,1.20%,-0.19%,6.76%,-1.62%,3.88%,11.41%,6.86%,Upgrade
20,Buyback Yield / Dilution,0.43%,-1.80%,2.57%,-1.49%,-2.96%,1.65%,-1.26%,-0.70%,0.09%,2.00%,-,Upgrade
21,Total Shareholder Return,2.36%,-1.80%,2.57%,-1.49%,-2.96%,1.65%,-1.26%,-0.70%,0.09%,2.00%,-,Upgrade
