,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,3465,3465,501.8,447.85,822.43,822.43,7434,-,3185,3185,4176,-,432.06,432.06,624.84,156.52,2078,50.1,1102,-,Upgrade
1,Cash & Short-Term Investments,3465,3465,501.8,447.85,822.43,822.43,7434,-,3185,3185,4176,432.06,432.06,432.06,624.84,156.52,2078,50.1,1102,866.15,Upgrade
2,Cash Growth,321.35%,321.35%,-93.25%,-,-74.17%,-74.17%,78.03%,-,637.08%,637.08%,568.27%,176.04%,-79.20%,762.33%,-43.29%,-81.93%,139.87%,-96.50%,-29.69%,-,Upgrade
3,Accounts Receivable,-,-,4656,8470,9346,9346,12044,-,11681,11681,20097,-,101917,101917,11497,14475,15430,12191,1883,-,Upgrade
4,Other Receivables,40950,34400,45225,45492,38043,38043,22325,-,69463,69463,109862,-,52812,52812,113432,203827,11793,1155,1550,-,Upgrade
5,Receivables,40950,34400,49881,53963,47389,47389,34368,-,81144,81144,129959,-,154729,154729,124929,218301,27223,13346,3433,-,Upgrade
6,Inventory,-,-,-,-,-,-,3752,-,-,-,10706,-,642.9,642.9,642.9,33829,642.9,3664,9865,-,Upgrade
7,Prepaid Expenses,8.14,8.14,8.71,12.37,15.72,15.72,9.51,-,6.6,6.6,3.01,-,3.14,3.14,2.9,0.91,3.02,4.84,-,-,Upgrade
8,Other Current Assets,9503,16053,9063,8480,8458,8458,9269,-,324.1,324.1,9726,-,15588,15588,212.66,180.43,130.37,5443,5499,-,Upgrade
9,Total Current Assets,53927,53927,59455,62903,56685,56685,54833,-,84660,84660,154569,-,171395,171395,126413,252469,30077,22508,19899,-,Upgrade
10,"Property, Plant & Equipment",91.13,91.13,109.36,118.47,130.62,130.62,145.81,-,164.04,164.04,-,-,-,-,-,-,-,15.46,199.32,-,Upgrade
11,Long-Term Investments,169437,169437,169437,169437,169437,169437,169437,-,118227,118227,96550,-,96550,96550,96550,3150,203150,200000,214800,-,Upgrade
12,Other Long-Term Assets,10058,10058,10048,10050,10053,10053,11096,-,25604,25604,1229,-,405.61,405.61,548.35,1617,921.9,1997,1430,-,Upgrade
13,Total Assets,233513,233513,239049,242508,236305,236305,235511,-,228656,228656,252349,-,268351,268351,223511,257235,234149,224521,236328,-,Upgrade
14,Accounts Payable,1986,1986,7361,10759,5118,5118,4603,-,5480,5480,25287,-,46396,46396,2319,35609,2762,3130,2953,-,Upgrade
15,Accrued Expenses,26.71,26.71,17.28,86.03,95.3,95.3,59.78,-,90.56,90.56,19.35,-,17.28,17.28,21.28,320.96,17.28,340.46,84.22,-,Upgrade
16,Short-Term Debt,6600,6600,6600,6600,6600,6600,6600,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Current Income Taxes Payable,124.54,124.54,60.07,197.26,185.81,185.81,117.18,-,254.32,254.32,103.47,-,209.09,209.09,47.54,80.83,28.33,92.58,31.7,-,Upgrade
