,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,30526,21841,21575,20301,53922,28859,20167,2364,28572,28572,10425,28327,79476,49991,80467,-,1848,1097,-,769.2,Upgrade
1,Revenue Growth (YoY),-43.39%,-24.32%,6.98%,758.76%,88.72%,1.00%,93.45%,-91.65%,-64.05%,-42.85%,-87.04%,-,4200.81%,4458.14%,-,-,2085.49%,-,-,-,Upgrade
2,Cost of Revenue,30191,21603,21310,20181,53225,28488,19644,2334,28272,28272,10350,28125,78831,49623,80060,-,1815,5736,-,735.75,Upgrade
3,Gross Profit,335.56,238.5,264.7,119.77,696.81,370.61,522.77,30,299.5,299.5,75,201.98,645.56,368.15,407.03,-,33.19,-4640,-,33.45,Upgrade
4,"Selling, General & Admin",510.81,494.44,481.47,384.97,743.62,544.89,394.03,466.24,660.41,660.41,462.09,461.06,336.47,275.93,525.09,872.79,105.18,2384,336.89,3001,Upgrade
5,Other Operating Expenses,-,6.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,510.81,518.91,481.47,384.97,743.62,544.89,394.03,466.24,660.41,660.41,462.09,461.06,336.47,275.93,525.09,872.79,105.18,2384,336.89,3001,Upgrade
7,Operating Income,-175.25,-280.41,-216.76,-265.2,-46.81,-174.29,128.73,-436.24,-360.92,-360.92,-387.09,-259.08,309.09,92.22,-118.06,-872.79,-72,-7023,-336.89,-2968,Upgrade
8,Interest Expense,-145.78,-140.56,-,-,-,-164.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,Interest & Investment Income,445.9,465.82,542.17,442.75,244,515.69,324.68,345.57,738.63,738.63,552.95,513.22,622.28,311.14,0.06,1250,4.94,7844,0.04,3000,Upgrade
10,Other Non Operating Income (Expenses),165.47,136.57,-143.48,-130.42,-163.31,-9.24,-76.34,277.6,-11.63,-11.63,-1.33,-0.24,0.84,0.25,-48.46,-0.04,0,-727.08,-193.39,-,Upgrade
11,EBT Excluding Unusual Items,290.34,181.42,181.92,47.13,33.88,168.12,377.08,186.93,366.08,366.08,164.54,253.89,932.21,403.61,-166.47,377.25,-67.05,93.75,-530.23,32.17,Upgrade
12,Pretax Income,290.34,181.42,181.92,47.13,33.88,168.12,377.08,186.93,366.08,366.08,164.54,253.89,932.21,403.61,-166.47,377.25,-67.05,93.75,-530.23,32.17,Upgrade
13,Income Tax Expense,61.46,34.88,45.24,9.43,7.92,34.5,78.01,37.82,73.07,73.07,33.37,51.04,188.01,80.77,-33.29,79.44,-,19.9,-,7.88,Upgrade
14,Earnings From Continuing Operations,228.88,146.54,136.68,37.7,25.95,133.62,299.07,149.11,293.01,293.01,131.17,202.85,744.2,322.84,-133.18,297.81,-67.05,73.85,-530.23,24.29,Upgrade
15,Minority Interest in Earnings,-,-0.74,-,-,-,1.27,-3.1,-3.73,-0.01,-0.01,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Net Income,228.88,145.81,136.68,37.7,25.95,134.9,295.98,145.38,293,293,131.17,202.85,744.2,322.84,-133.18,297.81,-67.05,73.85,-530.23,24.29,Upgrade
17,Net Income to Common,228.88,145.81,136.68,37.7,25.95,134.9,295.98,145.38,293,293,131.17,202.85,744.2,322.84,-133.18,297.81,-67.05,73.85,-530.23,24.29,Upgrade
18,Net Income Growth,781.88%,8.09%,-53.82%,-74.07%,-91.14%,-53.96%,125.64%,-28.33%,-60.63%,-9.24%,-,-31.88%,-,337.16%,-,1126.22%,-,-,-,-,Upgrade
19,Shares Outstanding (Basic),21,21,21,21,21,21,21,-,-,-,-,-,21,21,-,-,-,-,-,-,Upgrade
20,Shares Outstanding (Diluted),21,21,21,21,21,21,21,-,-,-,-,-,21,21,-,-,-,-,-,-,Upgrade
21,EPS (Basic),10.90,6.94,6.51,1.80,1.24,6.42,14.09,-,-,-,-,-,35.44,15.37,-,-,-,-,-,-,Upgrade
22,EPS (Diluted),10.90,6.94,6.51,1.80,1.24,6.42,14.09,-,-,-,-,-,35.44,15.37,-,-,-,-,-,-,Upgrade
23,EPS Growth,781.88%,8.09%,-53.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Free Cash Flow,-2102,-2102,-6446,-374.61,5253,5253,-,13325,-26144,-26144,1872,1872,-4896,-4896,180819,-203171,-7159,-1052,-,82035,Upgrade
25,Free Cash Flow Per Share,-100.07,-100.07,-306.95,-17.84,250.16,250.16,-,-,-,-,-,-,-233.16,-233.16,-,-,-,-,-,-,Upgrade
26,Gross Margin,1.10%,1.09%,1.23%,0.59%,1.29%,1.28%,2.59%,1.27%,1.05%,1.05%,0.72%,0.71%,0.81%,0.74%,0.51%,-,1.80%,-,-,4.35%,Upgrade
27,Operating Margin,-0.57%,-1.28%,-1.00%,-1.31%,-0.09%,-0.60%,0.64%,-18.45%,-1.26%,-1.26%,-3.71%,-0.91%,0.39%,0.18%,-0.15%,-,-3.90%,-640.37%,-,-385.85%,Upgrade
28,Profit Margin,0.75%,0.67%,0.63%,0.19%,0.05%,0.47%,1.47%,6.15%,1.03%,1.03%,1.26%,0.72%,0.94%,0.65%,-0.17%,-,-3.63%,6.73%,-,3.16%,Upgrade
29,Free Cash Flow Margin,-6.88%,-9.62%,-29.88%,-1.85%,9.74%,18.20%,-,563.66%,-91.50%,-91.50%,17.95%,6.61%,-6.16%,-9.79%,224.71%,-,-387.39%,-95.89%,-,10665.04%,Upgrade
30,EBITDA,-166.13,-271.3,-207.65,-256.09,-39.22,-166.69,137.85,-427.12,-356.36,-,-,-,-,-,-,-,-68.13,-7019,-323.02,-2954,Upgrade
31,EBITDA Margin,-0.54%,-1.24%,-0.96%,-1.26%,-0.07%,-0.58%,0.68%,-18.07%,-1.25%,-,-,-,-,-,-,-,-3.69%,-,-,-,Upgrade
32,D&A For EBITDA,9.11,9.11,9.11,9.11,7.59,7.59,9.11,9.11,4.56,-,-,-,-,-,-,-,3.86,3.86,13.86,13.86,Upgrade
33,EBIT,-175.25,-280.41,-216.76,-265.2,-46.81,-174.29,128.73,-436.24,-360.92,-360.92,-387.09,-259.08,309.09,92.22,-118.06,-872.79,-72,-7023,-336.89,-2968,Upgrade
34,EBIT Margin,-0.57%,-1.28%,-1.00%,-1.31%,-0.09%,-0.60%,0.64%,-18.45%,-1.26%,-1.26%,-3.71%,-0.91%,0.39%,0.18%,-0.15%,-,-3.90%,-,-,-,Upgrade
35,Effective Tax Rate,21.17%,19.22%,24.87%,20.00%,23.39%,20.52%,20.69%,20.23%,19.96%,19.96%,20.28%,20.10%,20.17%,20.01%,-,21.06%,-,21.23%,-,24.50%,Upgrade
36,Revenue as Reported,30526,21841,21575,20301,53922,28859,20167,2364,28572,28572,10425,28327,79476,49991,80467,-,1848,1097,-,769.2,Upgrade
