,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,312.1,268.11,226.12,909.53,285.96,327.38,189.07,536.73,193.73,294,96.58,346.73,-,-,-
1,Trading Asset Securities,372.94,382.74,390.28,383.33,382.3,333.34,441.48,440.48,403.5,450,-,-,-,-,-
2,Cash & Short-Term Investments,685.04,650.85,616.4,1293,668.27,660.73,630.54,977.2,597.23,744,96.58,346.73,-,-,381.41
3,Cash Growth,2.51%,-1.50%,-2.24%,32.30%,11.89%,-11.19%,552.84%,181.84%,-,-,-74.68%,-,-,-,-
4,Accounts Receivable,2255,2270,2063,2021,1551,1699,1499,1527,1196,1204,1050,1100,-,-,-
5,Other Receivables,77.74,65.89,62.74,59.79,64.3,58.94,57.28,57.45,51.58,55.02,55.3,54.51,-,-,-
6,Receivables,2333,2336,2126,2081,1616,1758,1556,1584,1248,1259,1105,1154,-,-,-
7,Inventory,3290,3222,3297,2627,2487,2155,2011,1698,1663,1557,1331,1147,-,-,-
8,Prepaid Expenses,-,31.29,-,10.7,-,24.4,-,10.4,-,15.8,-,9.98,-,-,-
9,Other Current Assets,183.87,124.18,123.86,91.84,214.02,128.59,148.22,72.38,86.39,59.46,82.83,39.96,-,-,-
10,Total Current Assets,6492,6364,6163,6104,4984,4727,4346,4342,3595,3635,2615,2698,-,-,-
11,"Property, Plant & Equipment",89.67,89.65,84.75,87.94,86.82,89.94,88.5,87.04,87.77,83.46,84.69,85.77,-,-,-
12,Goodwill,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-,-,-,-,-,-,-
13,Other Intangible Assets,19.63,19.86,19.73,19.89,19.76,19.84,20.1,20.36,20.62,19.46,19.23,19.45,-,-,-
14,Long-Term Deferred Tax Assets,46.15,45.76,41.5,41.96,28.28,29.48,26.58,25.31,19.46,19.21,17.75,18.14,-,-,-
15,Long-Term Deferred Charges,1.93,2.48,3.38,4.32,5.25,5.6,4.84,4.99,4.86,5.48,5.38,-,-,-,-
16,Other Long-Term Assets,33.18,33.75,34.32,34.89,35.46,36.02,36.59,41.69,42.32,42.96,43.6,48.63,-,-,-
17,Total Assets,6683,6556,6347,6293,5160,4908,4523,4521,3770,3805,2786,2870,-,-,-
18,Accounts Payable,1856,115.85,2070,700.03,1621,13.84,1509,10.16,1282,22.75,1049,11.25,-,-,-
19,Accrued Expenses,124.62,1513,150.27,1851,118.92,1394,124.13,1616,88.63,1306,107.04,1388,-,-,-
20,Short-Term Debt,1239,1194,864.9,424.29,749.41,615.18,337.82,220.67,145.68,149.46,457.02,235.04,-,-,-
21,Current Portion of Leases,7.7,7.78,7.75,7.89,7.73,8.06,6.48,7.28,5.55,5.56,6.03,5.28,-,-,-
22,Current Income Taxes Payable,17.84,2.46,33.39,22.73,9.84,3.65,17.54,20.7,10.98,7.33,14.52,21.37,-,-,-
23,Current Unearned Revenue,970.39,856.27,750.05,587.31,401.49,311.41,300.76,184.91,170.51,138.17,148.67,96.36,-,-,-
24,Other Current Liabilities,224.81,640.51,217.55,474.72,115.8,455.24,104.01,372.62,80.24,225.31,72.07,210.08,-,-,-
25,Total Current Liabilities,4440,4330,4094,4068,3024,2801,2399,2433,1784,1855,1854,1967,-,-,-
26,Long-Term Leases,4.8,3.3,3.51,4.29,4.74,6.32,3.22,3.44,2.37,1.02,1.21,1.15,-,-,-
27,Long-Term Unearned Revenue,15,15,15,15,1,1,1,1,1,1,1,1,-,-,-
28,Long-Term Deferred Tax Liabilities,2.67,2.27,2.39,2.83,2.55,2.83,2.33,0.15,-,-,-,-,-,-,-
29,Total Liabilities,4463,4350,4115,4090,3033,2812,2406,2437,1787,1857,1856,1969,-,-,-
30,Common Stock,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,228.9,228.9,-,-,-
31,Additional Paid-In Capital,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,304.69,281.76,-,-,-
32,Retained Earnings,651.97,638.03,660.23,634.63,559.73,528.58,549.17,516.62,414.94,380.89,395.77,367.17,-,-,-
33,Comprehensive Income & Other,0.01,0.01,4.78,0.48,0.23,-,0.83,0.48,0.06,0.43,0.24,22.96,-,-,-
34,Total Common Equity,2219,2205,2232,2202,2127,2096,2117,2084,1982,1948,929.61,900.79,-,-,679.91
35,Minority Interest,1.06,0.57,0.15,0.69,0.52,0.67,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,2220,2206,2232,2203,2128,2096,2117,2084,1982,1948,929.61,900.79,-,-,680.83
37,Total Liabilities & Equity,6683,6556,6347,6293,5160,4908,4523,4521,3770,3805,2786,2870,-,-,-
38,Total Debt,1252,1205,876.17,436.47,761.88,629.56,347.51,231.39,153.6,156.04,464.26,241.47,-,-,190.37
39,Net Cash (Debt),-566.61,-554.28,-259.77,856.39,-93.61,31.17,283.03,745.81,443.63,587.96,-367.67,105.25,-,-,191.04
40,Net Cash Growth,-,-,-,14.83%,-,-94.70%,-,608.58%,-,-,-,-,-,-,-
41,Net Cash Per Share,-1.95,-1.89,-0.81,2.91,-0.30,0.10,0.94,2.44,1.40,2.23,-1.54,0.47,-,-,0.86
42,Filing Date Shares Outstanding,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,228.9,228.9,238.72,232.79,221.47
43,Total Common Shares Outstanding,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,228.9,228.9,238.72,232.79,221.47
44,Working Capital,2052,2035,2069,2036,1960,1926,1947,1909,1811,1780,761.17,730.96,-,-,-
45,Book Value Per Share,7.27,7.23,7.31,7.22,6.97,6.87,6.94,6.83,6.49,6.38,4.06,3.94,-,-,2.97
46,Tangible Book Value,2199,2185,2212,2182,2107,2076,2097,2064,1962,1929,910.38,881.34,-,-,660.33
47,Tangible Book Value Per Share,7.21,7.16,7.25,7.15,6.90,6.80,6.87,6.76,6.43,6.32,3.98,3.85,-,-,2.88
48,Buildings,-,82.61,-,82.61,-,82.35,-,77.17,-,77.06,-,78.63,-,-,-
49,Machinery,-,48.55,-,40.55,-,37.75,-,37.36,-,37.72,-,35.79,-,-,-
