,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1058,1171,873.74,1588,874.71,1037,838.19,1470,815.81,917.75,714.19,1546,653.51,775.03,566.32
1,Other Revenue,-6.03,6.03,-,12.71,-6.1,6.1,-,13.91,-7.29,7.29,-,13.72,-6.84,6.84,-
2,Revenue,1052,1177,873.74,1601,868.61,1043,838.19,1484,808.52,925.04,714.19,1560,646.67,781.87,566.32
3,Revenue Growth (YoY),21.11%,12.86%,4.24%,7.88%,7.43%,12.77%,17.36%,-4.87%,25.03%,18.31%,26.11%,-,-,-,-
4,Cost of Revenue,919.5,1026,750.58,1340,747.7,891.23,723.32,1258,690.36,786.38,600.77,1323,530.34,656.02,481.06
5,Gross Profit,132.45,151.25,123.16,260.85,120.91,151.92,114.88,226.04,118.15,138.67,113.42,236.67,116.33,125.85,85.26
6,"Selling, General & Admin",61.41,51.59,60.72,55.96,57.2,50.22,54.04,47.18,54.6,41.74,57.16,49.07,45.12,41.35,45.32
7,Research & Development,39.2,38.18,32.17,32.94,34.33,37.12,29.49,31.18,32.25,28.54,29.37,38.33,25.71,19.67,27.49
8,Other Operating Expenses,4.56,5.07,4.36,10.71,-0.95,-0.38,-1.43,27.3,-4.62,-1.62,-4.34,21.25,-1.49,0.16,-2.1
9,Operating Expenses,105.68,113.5,93.54,178.64,87.04,98.02,79.07,144.09,79.12,81.4,77.3,132.14,67.7,70.26,64.57
10,Operating Income,26.77,37.75,29.62,82.21,33.87,53.91,35.8,81.94,39.03,57.27,36.12,104.53,48.63,55.59,20.69
11,Interest Expense,-8.97,-7.62,-6.53,-5.62,-4.99,-3.64,-2.07,-2.95,-1.43,-2.54,-3.58,-4.06,-3.74,-2.94,-2.27
12,Interest & Investment Income,2.88,1.91,4.58,0.69,3.21,4.8,1.73,3.05,4.53,0.53,0.74,0.24,0.22,0.28,0.6
13,Other Non Operating Income (Expenses),-0.1,-0.27,-0.81,-1.03,-0.18,-1.16,-0.51,1.38,-0.98,-1.26,-0.51,-0.09,-0.14,-0.33,-0.72
14,EBT Excluding Unusual Items,20.57,31.76,26.87,76.25,31.91,53.9,34.95,83.42,41.15,54,32.78,100.62,44.97,52.59,18.3
15,Gain (Loss) on Sale of Investments,0.19,0.46,-1.05,1.03,-0.04,-1.13,1,0.48,-,-,-,-,-,-,-
