,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7496,4758,3855,4670,5436,5829,5265,5619,4667,4856,5890,-,-,-,-,-
1,Market Cap Growth,-18.38%,-18.38%,-26.78%,-16.89%,16.48%,20.05%,-10.62%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8063,5313,4115,4764,5530,5799,4982,5175,4223,4268,6258,-,-,-,-,-
3,Last Close Price,24.56,15.59,12.63,15.08,17.55,18.83,17.00,17.92,14.88,15.48,18.57,-,-,-,-,-
4,PE Ratio,48.98,31.67,23.02,26.20,29.29,27.45,24.45,25.78,21.85,22.01,26.22,-,-,-,-,-
5,PS Ratio,1.56,1.01,0.85,1.06,1.25,1.38,1.26,1.39,1.19,1.21,1.53,-,-,-,-,-
6,PB Ratio,3.38,2.14,1.75,2.09,2.47,2.74,2.51,2.65,2.24,2.45,3.02,-,-,-,-,-
7,P/TBV Ratio,2.16,2.16,1.76,2.11,2.49,2.77,2.54,2.68,2.26,2.48,3.05,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,74.11,-,-,-,-14.96,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,63.96,-,-,-,-15.65,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.71,1.13,0.91,1.09,1.27,1.37,1.19,1.28,1.07,1.06,1.63,-,-,-,-,-
11,EV/EBITDA Ratio,42.96,27.94,20.89,22.33,25.23,26.52,22.29,22.83,18.63,17.15,24.22,-,-,-,-,-
12,EV/EBIT Ratio,49.65,30.13,22.43,23.87,26.87,28.22,23.65,24.18,19.70,18.01,25.38,-,-,-,-,-
13,EV/FCF Ratio,-20.35,-,-,-,75.39,-,-,-,-13.54,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.56,0.56,0.55,0.39,0.20,0.36,0.30,0.16,0.11,0.08,0.08,0.50,0.27,-,-,0.28
15,Debt / EBITDA Ratio,6.67,10.33,6.60,6.61,1.14,5.13,2.52,2.22,0.62,0.92,0.60,2.98,0.53,-,-,2.02
16,Debt / FCF Ratio,-,-,-,-,5.95,-,-,-,-0.74,-,-,-,-3.41,-,-,-
17,Asset Turnover,0.64,0.73,0.55,1.12,0.69,0.88,0.74,1.43,0.85,1.12,1.01,-,-,-,-,
18,Inventory Turnover,1.40,1.13,1.26,1.01,2.10,1.29,1.71,1.56,2.99,1.72,2.18,1.94,-,-,-,-
19,Quick Ratio,0.68,0.68,0.69,0.67,0.83,0.76,0.86,0.91,1.05,1.03,1.08,0.65,0.76,-,-,-
20,Current Ratio,1.46,1.46,1.47,1.51,1.50,1.65,1.69,1.81,1.78,2.01,1.96,1.41,1.37,-,-,-
21,Return on Equity (ROE),2.61%,6.44%,4.52%,13.87%,5.87%,8.78%,6.28%,20.00%,6.93%,13.68%,12.50%,-,-,-,-,
22,Return on Assets (ROA),1.01%,1.46%,1.17%,3.59%,1.68%,2.86%,1.98%,4.94%,2.58%,4.34%,3.19%,-,-,-,-,
23,Return on Capital (ROIC),1.94%,2.90%,2.58%,7.43%,3.02%,5.19%,3.74%,9.20%,4.60%,8.18%,7.12%,-,-,-,-,
24,Return on Capital Employed (ROCE),7.24%,7.86%,8.24%,8.86%,9.25%,9.62%,10.00%,10.08%,10.26%,11.93%,12.64%,26.28%,25.41%,-,-,-
25,Earnings Yield,2.00%,3.16%,4.34%,3.82%,3.41%,3.64%,4.09%,3.88%,4.58%,4.54%,3.81%,-,-,-,-,-
26,FCF Yield,-5.29%,-8.33%,-12.96%,-9.32%,1.35%,-8.01%,-8.23%,-6.36%,-6.69%,-3.78%,-2.72%,-,-,-,-,-
27,Dividend Yield,0.85%,-,-,-,1.08%,-,-,-,1.48%,-,-,-,-,-,-,-
28,Payout Ratio,57.29%,66.33%,181.52%,20.56%,8.79%,28.73%,143.58%,5.17%,3.48%,191.75%,4.23%,10.88%,3.97%,10.69%,9.84%,10.42%
29,Buyback Yield / Dilution,2.40%,6.60%,5.79%,-6.65%,3.56%,1.87%,-18.33%,-25.85%,-37.68%,-32.60%,-13.24%,-7.65%,-,-,-,-
30,Total Shareholder Return,3.25%,6.60%,5.79%,-6.65%,4.64%,1.87%,-18.33%,-25.85%,-36.20%,-32.60%,-13.24%,-7.65%,-,-,-,-
