,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,316.07,296.94,237.76,340.64,317.87,349.82,421.72,369.24,362.29,290.89,297.14,340.27,255.01,271.52,388.12,100.44,-,75.54,-
1,Trading Asset Securities,-,61.55,39.16,93.43,30.98,43.01,-,0.03,60.16,90.48,90.19,95.83,71.53,136.72,84.09,0.49,1.02,-,-,-
2,Cash & Short-Term Investments,377.62,377.62,336.1,331.18,371.61,360.88,349.82,421.74,429.4,452.77,381.08,392.97,411.8,391.73,355.6,388.62,101.46,-,75.54,100.13
3,Cash Growth,1.62%,4.64%,-3.92%,-21.47%,-13.46%,-20.30%,-8.20%,7.32%,4.27%,15.58%,7.16%,1.12%,305.87%,-,370.74%,288.10%,-,-,-,-
4,Accounts Receivable,-,99.47,102.47,72.48,65.12,72.87,82.79,113.19,85.47,107.27,133.71,118.15,153.75,169.71,149.87,134.01,135.75,-,104.95,-
5,Other Receivables,-,1.41,1.35,0.97,3.58,1.29,16.74,0.89,1.06,2.05,2.53,2.36,4.65,2.03,3.34,3.59,3.19,-,2.25,-
6,Receivables,-,100.88,103.82,73.45,68.7,74.16,99.53,114.08,86.53,109.33,136.24,120.52,158.39,171.73,153.2,137.59,138.94,-,107.21,-
7,Inventory,-,157.24,157.32,164.77,164.1,174.85,190.86,189.25,195.76,181.7,180.57,194.71,183.62,173.59,174.24,138.78,123.69,-,100.21,-
8,Prepaid Expenses,-,-,2.22,-,1.53,-,0.1,-,2.42,-,1,-,0.01,-,0.15,-,0.59,-,-,-
9,Other Current Assets,-,12.87,10.99,13.46,7.83,9.58,9.34,12.85,6.97,7.04,5.72,8.64,3.43,13.67,12.82,9.62,7.04,-,7.09,-
10,Total Current Assets,-,648.6,610.44,582.87,613.76,619.46,649.65,737.92,721.08,750.83,704.61,716.84,757.25,750.72,696.01,674.61,371.72,-,290.05,-
11,"Property, Plant & Equipment",-,243.37,225.43,206.45,193.75,168.04,137.94,120.3,120.91,110.67,107.19,106.33,105.36,107.08,103.78,100.59,100.47,-,99.8,-
12,Long-Term Investments,-,8.01,8.1,8.24,8.32,8.37,8.51,8.64,8.79,8.74,8.89,9.01,9.05,9.09,8.99,8.9,9.09,-,9.4,-
13,Other Intangible Assets,-,77.73,78.44,79.25,80.09,78.36,79,79.63,75.78,76.06,76.56,76.43,8.36,7.96,8.1,8.1,7.91,-,8.27,-
14,Long-Term Deferred Tax Assets,-,11.87,12.2,12.61,12.48,10.55,9.99,4.73,3.39,2.25,2.43,1.93,2.28,2.47,2.41,2.29,2.18,-,1.98,-
15,Long-Term Deferred Charges,-,-,0.08,0.2,0.32,0.42,0.54,0.66,0.76,0.35,0.45,0.54,0.64,0.18,-,-,-,-,-,-
16,Other Long-Term Assets,-,3.55,3.16,2.44,2.1,7.03,14.91,13.42,11.24,17.65,17.15,14.28,12.99,10.32,8.35,9.75,7.09,-,4.91,-
17,Total Assets,-,993.13,937.84,892.06,910.8,892.25,900.55,965.3,941.95,966.54,917.27,925.36,895.92,887.82,827.63,804.23,498.47,-,414.4,-
18,Accounts Payable,-,95.99,69.15,59.53,54.43,60.93,56.79,65.73,62.75,85.45,97.55,116.88,119.92,98.7,107.23,93.64,101.21,-,74.2,-
19,Accrued Expenses,-,24.47,28.42,20.78,24.76,22.49,27.16,21.5,28.23,22.88,29.09,21.93,32.21,28.45,28.29,22.7,30.57,-,17.42,-
20,Short-Term Debt,-,96.29,104.87,99.35,101.36,73.58,59.55,97.55,93.79,90.36,50.13,30.59,5.02,43.91,-,-,-,-,-,-
21,Current Portion of Leases,-,0.11,0.22,0.36,0.43,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.46,-,-,-,-,-,-,-
