,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3386,2950,2434,2145,2374,3205,3442,5251,2972,2336,2835,3622,2728,3750,2981,3240,-,-,-,-,-
1,Market Cap Growth,-7.95%,-7.95%,-29.28%,-59.14%,-20.14%,37.17%,21.42%,44.95%,8.95%,-37.70%,-4.90%,11.79%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3124,2689,2222,1933,2110,2940,3175,4950,2614,1978,2508,3264,2326,3407,2628,2853,-,-,-,-,-
3,Last Close Price,39.39,34.32,28.32,24.40,27.00,36.45,39.15,59.22,33.53,26.35,31.97,40.85,30.32,41.68,33.13,36.01,-,-,-,-,-
4,PE Ratio,70.34,61.30,75.94,84.98,-366.43,-,-287.53,-,67.44,-,36.69,41.69,30.67,42.44,34.51,40.94,-,-,-,-,-
5,Forward PE,-,21.80,21.80,21.80,21.80,22.96,26.54,43.68,17.35,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.57,5.72,5.09,4.85,5.75,8.02,8.90,12.68,6.42,4.66,4.67,5.37,3.97,5.38,4.30,4.66,-,-,-,-,-
7,PB Ratio,4.88,4.19,3.46,3.10,3.47,4.58,4.86,7.39,3.97,3.20,3.84,5.04,3.72,5.23,4.28,4.88,-,-,-,-,-
8,P/TBV Ratio,4.86,4.86,4.01,3.61,4.06,5.33,5.67,8.62,4.60,3.59,4.30,5.67,4.18,5.31,4.36,4.96,-,-,-,-,-
9,P/FCF Ratio,-,-,169.91,-,-,-,-89.37,-,-,-,71.47,605.57,-,183.85,-,-6926.97,-,-,-,-,-
10,P/OCF Ratio,-,-,20.87,20.68,32.00,61.31,139.89,-,-,-,19.39,32.40,24.51,66.97,138.20,109.11,-,-,-,-,-
11,EV/Sales Ratio,6.06,5.22,4.65,4.37,5.11,7.36,8.21,11.95,5.64,3.95,4.13,4.84,3.39,4.89,3.79,4.11,-,-,-,-,-
12,EV/EBITDA Ratio,42.04,36.01,45.16,54.78,-283.76,-,-449.76,-,48.98,-,30.59,32.70,22.30,32.30,24.47,26.29,-,-,-,-,-
13,EV/EBIT Ratio,61.07,52.55,86.47,168.23,-67.34,-,-100.70,-,87.89,-,42.13,41.83,27.97,40.08,29.99,31.76,-,-,-,-,-
14,EV/FCF Ratio,-,-,155.12,-,-,-,-82.43,-,-,-,63.24,545.70,-,167.02,-,-6100.16,-,-,-,-,-
15,Debt / Equity Ratio,0.14,0.14,0.14,0.15,0.15,0.15,0.10,0.08,0.13,0.13,0.12,0.07,0.04,0.01,0.06,-,-,-,-,-,-
16,Debt / EBITDA Ratio,1.31,1.07,1.04,1.58,2.03,-,1.93,-,2.41,139.95,1.14,0.53,0.45,0.07,0.30,-,-,-,-,-,-
17,Debt / FCF Ratio,-,-,6.81,-,-,-,-1.92,-,-,-,2.29,8.54,-,0.29,-,-,-,-,-,-,-
18,Asset Turnover,-,0.58,0.63,0.48,0.38,0.47,0.49,0.40,0.31,0.56,0.71,0.58,0.80,0.93,0.87,0.88,-,-,-,-,
19,Inventory Turnover,-,-,2.51,2.72,1.94,1.81,1.76,1.80,1.41,1.22,2.13,2.56,2.13,3.05,3.25,3.29,3.27,-,-,-,-
20,Quick Ratio,-,-,1.68,1.82,1.94,2.10,2.37,2.37,2.49,2.44,2.47,2.61,2.67,3.20,2.95,3.12,3.96,1.63,-,1.69,-
21,Current Ratio,-,-,2.28,2.52,2.80,2.92,3.38,3.43,3.43,3.41,3.30,3.55,3.73,4.25,3.94,4.27,5.08,2.52,-,2.69,-
22,Return on Equity (ROE),8.44%,6.42%,8.01%,4.80%,-0.57%,2.30%,-9.91%,1.06%,-0.13%,11.87%,12.04%,7.48%,12.08%,18.53%,14.40%,10.06%,-,-,31.75%,-,
23,Return on Assets (ROA),-,4.59%,2.74%,1.80%,-2.37%,0.99%,-8.79%,1.07%,-1.67%,3.81%,4.79%,3.32%,4.33%,9.58%,6.97%,5.35%,-,-,-,-,
24,Return on Capital (ROIC),5.28%,5.55%,3.17%,2.04%,-2.70%,1.14%,-10.13%,1.22%,-1.92%,4.49%,5.75%,4.07%,5.27%,11.69%,8.52%,6.83%,-,-,22.64%,-,
25,Return on Capital Employed (ROCE),-,-,3.63%,1.65%,-4.58%,-,-4.45%,-,3.97%,-,8.05%,10.85%,11.34%,11.84%,12.57%,13.51%,14.12%,24.68%,-,10.93%,-
26,Earnings Yield,1.42%,1.63%,1.32%,1.18%,-0.27%,-0.40%,-0.35%,0.10%,1.48%,2.36%,2.73%,2.40%,3.26%,2.36%,2.90%,2.44%,-,-,-,-,-
27,FCF Yield,-,0.59%,-0.09%,-1.53%,-1.39%,-1.12%,-0.71%,0.07%,-0.91%,1.40%,0.17%,0.31%,0.54%,-0.35%,-0.01%,-,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.95%,-,-,-,0.96%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,7.44%,4.69%,7.65%,-,526.67%,-,31.93%,-,2.63%,170.03%,0.56%,0.66%,5.12%,128.49%,-,0.19%,-,124.34%,-
30,Buyback Yield / Dilution,-0.86%,-17.81%,7.03%,13.63%,-12.50%,18.33%,-1.46%,-15.25%,14.01%,-17.61%,2.67%,1.96%,-32.49%,-17.91%,-37.20%,-32.17%,-1.25%,-,-,-,-
31,Total Shareholder Return,-0.86%,-17.81%,7.03%,13.63%,-12.50%,18.33%,-1.46%,-15.25%,14.01%,-16.66%,2.67%,1.96%,-32.49%,-16.95%,-37.20%,-32.17%,-1.25%,-,-,-,-
