,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,123.18,141.3,143.32,107.74,82.67,104.97,114.64,94.35,71.13,132.1,163.75,132.52,175.33,198.91,176.28,142.55,174.82,200.36,158.88,89.59
1,Other Revenue,-,-1.1,1.1,-,2.96,-0.6,0.6,-,1.81,-0.39,0.39,-,3.59,-0.34,0.34,-,0.79,-0.34,0.34,-
2,Revenue,123.18,140.2,144.42,107.74,85.63,104.37,115.24,94.35,72.94,131.72,164.13,132.52,178.93,198.57,176.61,142.55,175.61,200.02,159.22,89.59
3,Revenue Growth (YoY),43.84%,34.32%,25.32%,14.20%,17.40%,-20.76%,-29.79%,-28.81%,-59.23%,-33.67%,-7.07%,-7.03%,1.89%,-0.73%,10.92%,59.12%,-,-,-,-
4,Cost of Revenue,-287.64,98.59,109.43,79.62,76.77,80.24,85.72,67.84,57.41,96.62,120.13,100.94,136.32,141.11,128.91,107.23,129.48,139.08,112.68,68.84
5,Gross Profit,410.82,41.6,34.99,28.12,8.86,24.14,29.52,26.51,15.54,35.1,44,31.59,42.61,57.46,47.71,35.31,46.13,60.94,46.54,20.75
6,"Selling, General & Admin",-41.55,14.74,14.13,12.68,10.91,15.59,18.02,12.04,11.31,13.31,15.72,13.39,12.77,16.29,15.52,12.81,15.53,15.89,12.85,9.9
7,Research & Development,-24.83,9.2,8.34,7.28,7.48,7.41,9.12,7.53,6.95,9.52,9.17,8.33,9.5,8.92,8.88,8.29,9.31,8.11,4.44,5.42
8,Other Operating Expenses,462.09,0.41,0.9,0.99,0.78,-1.34,0.46,1.71,4.74,-0.61,0.32,-0.37,5.76,-2.05,-0.07,0.25,3.11,0.31,0.92,0.72
9,Operating Expenses,393.91,23.86,24.97,21.64,17.42,20.6,62.31,22.41,21.9,20.73,26.36,19.49,27.18,24.61,24.94,21.36,28.07,25.89,18.83,14.97
10,Operating Income,16.91,17.75,10.02,6.48,-8.55,3.53,-32.79,4.09,-6.36,14.37,17.65,12.09,15.44,32.85,22.76,13.95,18.07,35.05,27.71,5.78
11,Interest Expense,-8.01,-0.72,-0.78,-0.7,-0.55,-0.45,-0.63,-0.74,-0.73,-0.56,-0.35,-0.08,-0.12,-0.06,-,-,-0.08,-0.01,-,-
