,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,8966,9131,12413,11968,11635,8985,9423,-,-,-
1,Market Cap Growth,-23.70%,-23.70%,6.69%,33.19%,23.47%,-,-,-,-,-
2,Enterprise Value,8100,8074,11409,11208,10952,8145,11427,-,-,-
3,Last Close Price,37.70,37.37,50.22,49.09,49.88,38.52,40.40,-,-,-
4,PE Ratio,32.50,31.96,44.76,50.34,56.91,-73.98,-,-,-,-
5,Forward PE,18.80,20.63,31.39,37.23,39.03,31.69,-,-,-,-
6,PS Ratio,3.13,3.14,4.85,5.81,6.34,5.19,5.59,-,-,-
7,PB Ratio,3.68,3.64,4.89,4.85,5.99,4.82,4.95,-,-,-
8,P/TBV Ratio,7.01,7.01,8.70,8.23,11.80,9.34,9.26,-,-,-
9,P/FCF Ratio,22.05,22.46,33.77,44.43,42.18,53.96,55.62,-,-,-
10,P/OCF Ratio,18.60,18.60,27.47,36.41,36.63,39.57,40.89,-,-,-
11,PEG Ratio,0.57,0.62,0.90,1.01,0.31,0.25,-,-,-,-
12,EV/Sales Ratio,2.79,2.78,4.46,5.44,5.96,4.71,6.78,-,-,-
13,EV/EBITDA Ratio,18.34,23.77,36.27,40.62,44.31,-436.95,-,-,-,-
14,EV/EBIT Ratio,26.45,26.41,40.59,47.34,51.80,-154.21,-,-,-,-
15,EV/FCF Ratio,19.92,19.86,31.03,41.61,39.70,48.91,67.44,-,-,-
16,Debt / Equity Ratio,0.16,0.16,0.16,0.15,0.20,0.22,0.22,-2.55,-1.83,-
17,Debt / FCF Ratio,0.96,0.96,1.11,1.38,1.44,2.49,2.50,12.72,15.22,-
18,Return on Capital Employed (ROCE),10.34%,10.34%,9.55%,8.38%,9.06%,-2.34%,-,-,-,-
19,Earnings Yield,3.19%,3.13%,2.23%,1.99%,1.76%,-1.35%,-6.61%,-,-,-
20,FCF Yield,4.53%,4.45%,2.96%,2.25%,2.37%,1.85%,1.80%,-,-,-
21,Dividend Yield,0.69%,0.35%,-,-,-,-,-,-,-,-
22,Buyback Yield / Dilution,-0.84%,-0.87%,-0.81%,-3.54%,-71.84%,-159.27%,-79.08%,-17.72%,-,-
23,Total Shareholder Return,-0.15%,-0.52%,-0.81%,-3.54%,-71.84%,-159.27%,-79.08%,-17.72%,-,-
