,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1171,1301,1275,994.33,937.77,1031,486.2,249.99,-
1,Trading Asset Securities,-,30.31,-,30.01,-,-,8.99,107.34,-
2,Cash & Short-Term Investments,1171,1332,1275,1024,937.77,1031,495.2,357.33,-
3,Cash Growth,-8.18%,30.00%,35.96%,-0.62%,89.37%,188.44%,-,-,-
4,Receivables,205.36,179.93,115.74,89.41,66.18,72.7,60.33,56.58,-
5,Inventory,159.53,152.95,122.8,104.86,78.8,77.36,69.15,57.74,-
6,Restricted Cash,12.69,12.69,-,-,3.57,3.57,-,-,-
7,Other Current Assets,174.56,160.41,243.34,141,112.54,112.5,104.13,139.27,-
8,Total Current Assets,1723,1838,1757,1360,1199,1297,728.81,610.92,-
9,"Property, Plant & Equipment",468.08,443.45,383.26,339.33,331.76,312.95,269.82,225.63,-
10,Long-Term Investments,31.09,30.53,2.59,6.07,5.79,11,8.22,6.17,-
11,Goodwill,1096,984.69,911.68,816.67,739.78,688.62,688.62,545.11,-
12,Other Intangible Assets,23.52,24.76,26.61,27.76,29.63,31.43,31.21,22.76,-
13,Long-Term Deferred Tax Assets,35.7,34.39,47.87,40.41,46.5,40.16,30.25,23.38,-
14,Other Long-Term Assets,18.16,23.93,25.53,28.41,21.05,10.81,7.35,11.48,-
15,Total Assets,3396,3379,3154,2618,2373,2392,1764,1445,-
16,Accounts Payable,216.53,286.62,163.13,164.31,134.54,161.33,133.79,113.11,-
17,Short-Term Debt,-,-,-,-,-,-,1735,1204,-
18,Current Portion of Long-Term Debt,7.77,16.43,19.51,18.21,19.17,17.48,95.66,412.89,-
19,Current Portion of Leases,69.07,76.85,71.26,57.42,54.39,57.46,46.39,40.03,-
20,Current Income Taxes Payable,23.34,33.65,27.65,14.42,6.8,8.13,11.96,9.06,-
21,Other Current Liabilities,327.8,294.68,259.66,299.96,229.22,276.74,265.67,258.79,-
22,Total Current Liabilities,644.51,708.23,541.21,554.32,444.11,521.14,2289,2038,-
23,Long-Term Debt,-,-,4.67,52.96,60.06,66.84,96.62,259.39,-
24,Long-Term Leases,287.4,277.3,249,222.7,220.55,203.59,187.08,158.15,-
25,Long-Term Deferred Tax Liabilities,5.27,6.23,12.36,14.21,6.18,6.19,6.55,4.32,-
26,Other Long-Term Liabilities,126.54,81.5,63,56.06,51.25,44.64,32.81,118.81,-
27,Total Liabilities,1064,1073,870.25,900.25,782.15,842.39,2612,2579,-
28,Common Stock,0.16,0.16,0.15,0.15,0.15,0.15,0.03,-,-
29,Additional Paid-In Capital,-,3684,3559,3087,3087,3087,667.66,-,-
30,Retained Earnings,-,-1410,-1479,-1572,-1696,-1751,-1594,-1244,-
31,Treasury Stock,-56.84,-12.15,-,-,-,-,-,-,-
32,Comprehensive Income & Other,2388,43.06,203.61,202.27,199.42,213.39,78.38,110.59,-
33,Total Common Equity,2332,2305,2283,1717,1590,1549,-847.98,-1134,-
34,Minority Interest,0.39,1.09,0.8,1.12,0.8,0.52,0.41,0.33,-
35,Shareholders' Equity,2332,2306,2284,1718,1591,1549,-847.57,-1133,-
36,Total Liabilities & Equity,3396,3379,3154,2618,2373,2392,1764,1445,-
37,Total Debt,364.25,370.57,344.45,351.29,354.15,345.37,2161,2075,-
38,Net Cash (Debt),806.43,961.04,930.55,673.06,583.61,685.34,-1666,-1717,-
39,Net Cash Growth,-13.34%,42.79%,59.45%,-1.79%,-,-,-,-,-
40,Net Cash Per Share,3.24,3.97,3.78,2.80,2.45,4.91,-18.14,-22.02,-
41,Filing Date Shares Outstanding,244.83,246.3,240.8,230.4,230.4,230.4,202.52,202.52,78
42,Total Common Shares Outstanding,244.83,246.3,240.8,230.4,230.4,230.4,38.88,202.52,78
43,Working Capital,1078,1129,1216,805.29,754.73,775.7,-1560,-1427,-
44,Book Value Per Share,9.52,9.36,9.48,7.45,6.90,6.72,-21.81,-5.60,-
45,Tangible Book Value,1212,1296,1345,872.46,820.99,828.85,-1568,-1702,-
46,Tangible Book Value Per Share,4.95,5.26,5.59,3.79,3.56,3.60,-40.32,-8.40,-
47,Machinery,-,93.41,-,76.84,-,63.44,52.95,48.2,-
48,Leasehold Improvements,-,224.45,-,174.69,-,151.62,130.59,119.06,-
