,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,1365,1337,986.13,921.66,702.9,773.91,598.19,589.44,335.92
1,Revenue Growth (YoY),38.42%,45.09%,40.29%,19.09%,17.51%,31.30%,78.07%,-,-
2,Cost of Revenue,963.77,920.17,703.18,621.02,504.01,421.68,330.11,307.26,180.62
3,Gross Profit,401.21,417.05,282.95,300.64,198.9,352.23,268.08,282.18,155.31
4,"Selling, General & Admin",270.52,246.02,190.05,164.95,142.6,406.2,255.36,196.62,133.47
5,Other Operating Expenses,15.4,1.84,6.97,2.51,2.45,44.97,2.52,9.62,0.86
6,Operating Expenses,285.92,247.86,197.03,167.45,145.05,451.17,257.88,206.25,134.32
7,Operating Income,115.29,169.19,85.92,133.19,53.85,-98.94,10.2,75.94,20.98
8,Interest Expense,-8.57,-9.66,-15.91,-8.9,-8.72,-10.89,-17.52,-20.64,-12.87
9,Interest & Investment Income,10.29,12.99,5.49,9.13,4.93,1.77,1.76,1.39,1.86
10,Earnings From Equity Investments,0.56,-0.05,0.14,0.28,0.28,0.48,0.57,0.17,-
11,Currency Exchange Gain (Loss),-,-1.56,14.9,-1.02,-3.53,8.82,6.49,-,-
12,Other Non Operating Income (Expenses),6.06,6.07,12.24,12,1.75,1.89,1.6,-125,-188.38
13,EBT Excluding Unusual Items,123.62,176.98,102.77,144.68,48.56,-96.87,3.1,-68.14,-178.41
14,Gain (Loss) on Sale of Investments,1.44,0.38,4.32,-0.53,1.93,-5.26,0.5,1.96,-
15,Gain (Loss) on Sale of Assets,0.03,-0.17,-0.1,-0.08,-0.2,-,-,-,-
16,Asset Writedown,-,-,-,-,-,-,-,0.24,-0.89
17,Other Unusual Items,-,-,-,1.35,3.01,-67.59,-351.9,0.02,3.47
18,Pretax Income,125.09,177.18,106.99,145.42,53.29,-169.72,-348.3,-65.93,-175.83
19,Income Tax Expense,17.81,17.44,13.79,17.84,-0.29,-12.57,1.44,10.36,3.21
20,Earnings From Continuing Operations,107.28,159.74,93.2,127.58,53.58,-157.15,-349.73,-76.29,-179.04
21,Minority Interest in Earnings,-0.41,-0.74,-0.45,-0.3,-,-0.11,-0.07,-0.57,0.15
22,Net Income,106.87,159,92.75,127.28,53.58,-157.26,-349.81,-76.87,-178.88
23,Net Income to Common,106.87,159,92.75,127.28,53.58,-157.26,-349.81,-76.87,-178.88
24,Net Income Growth,15.22%,24.92%,73.11%,-,-,-,-,-,-
25,Shares Outstanding (Basic),242,240,235,230,230,140,92,78,78
26,Shares Outstanding (Diluted),249,242,247,240,238,140,92,78,78
27,Shares Change (YoY),0.87%,0.81%,3.54%,71.84%,159.27%,79.08%,17.72%,-,-
28,EPS (Basic),0.44,0.66,0.39,0.55,0.23,-1.13,-3.81,-0.99,-2.29
29,EPS (Diluted),0.43,0.65,0.38,0.54,0.22,-1.13,-3.81,-0.99,-2.29
30,EPS Growth,13.16%,21.13%,72.73%,-,-,-,-,-,-
31,Free Cash Flow,100.88,277.49,56.21,193.1,50.93,91.23,46.81,123.11,13.2
32,Free Cash Flow Per Share,0.41,1.15,0.23,0.80,0.21,0.65,0.51,1.58,0.17
33,Dividend Per Share,0.121,-,-,-,-,-,-,-,-
34,Operating Margin,8.45%,12.65%,8.71%,14.45%,7.66%,-12.78%,1.70%,12.88%,6.25%
35,Profit Margin,7.83%,11.89%,9.41%,13.81%,7.62%,-20.32%,-58.48%,-13.04%,-53.25%
36,Free Cash Flow Margin,7.39%,20.75%,5.70%,20.95%,7.25%,11.79%,7.82%,20.89%,3.93%
37,EBITDA,134.84,181.22,104.28,151.09,67.58,-83.49,20.74,86.65,32.45
38,D&A For EBITDA,19.55,12.02,18.36,17.9,13.73,15.45,10.54,10.72,11.47
39,EBIT,115.29,169.19,85.92,133.19,53.85,-98.94,10.2,75.94,20.98
