,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,66.51,66.51,106.14,106.14
1,Cost of Revenue,66.12,66.12,87.68,87.68
2,Gross Profit,0.39,0.39,18.46,18.46
3,"Selling, General & Admin",67.16,67.16,52.04,52.04
4,Research & Development,32.65,32.65,24.34,24.34
5,Other Operating Expenses,4.55,4.55,-10.22,-10.22
6,Operating Expenses,104.37,104.37,66.17,66.17
7,Operating Income,-103.98,-103.98,-47.71,-47.71
8,Interest Expense,-5.39,-5.39,-2.54,-2.54
9,Interest & Investment Income,2.35,2.35,3.61,3.61
10,Earnings From Equity Investments,0.05,0.05,-19.85,-19.85
11,Pretax Income,-106.97,-106.97,-66.49,-66.49
12,Income Tax Expense,-0.82,-0.82,-2.74,-2.74
13,Earnings From Continuing Operations,-106.15,-106.15,-63.75,-63.75
14,Minority Interest in Earnings,-,-,1.59,1.59
15,Net Income,-106.15,-106.15,-62.16,-62.16
16,Net Income to Common,-106.15,-106.15,-62.16,-62.16
17,Shares Outstanding (Basic),518,518,421,421
18,Shares Outstanding (Diluted),518,518,421,421
19,EPS (Basic),-0.20,-0.20,-0.15,-0.15
20,EPS (Diluted),-0.20,-0.20,-0.15,-0.15
21,Free Cash Flow,-176.14,-176.14,-64.37,-64.37
22,Free Cash Flow Per Share,-0.34,-0.34,-0.15,-0.15
23,Gross Margin,0.58%,0.58%,17.39%,17.39%
24,Operating Margin,-156.35%,-156.35%,-44.95%,-44.95%
25,Profit Margin,-159.61%,-159.61%,-58.56%,-58.56%
26,Free Cash Flow Margin,-264.85%,-264.85%,-60.65%,-60.65%
27,EBITDA,-81.96,-81.96,-35.56,-35.56
28,EBITDA Margin,-123.23%,-123.23%,-33.50%,-33.50%
29,D&A For EBITDA,22.03,22.03,12.15,12.15
30,EBIT,-103.98,-103.98,-47.71,-47.71
31,EBIT Margin,-156.35%,-156.35%,-44.95%,-44.95%
