,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,277.84,277.84,-,-
1,Short-Term Investments,0.33,0.33,-,-
2,Trading Asset Securities,978.46,978.46,-,-
3,Cash & Short-Term Investments,1257.0,1257.0,-,730.76
4,Accounts Receivable,1562.0,1562.0,-,-
5,Other Receivables,80.25,80.25,-,-
6,Receivables,1643.0,1643.0,-,-
7,Inventory,290.23,290.23,-,-
8,Restricted Cash,239.47,239.47,-,-
9,Total Current Assets,3429.0,3429.0,-,-
10,"Property, Plant & Equipment",898.95,898.95,-,-
11,Long-Term Investments,406.63,406.63,-,-
12,Other Intangible Assets,24.16,24.16,-,-
13,Long-Term Accounts Receivable,50.8,50.8,-,-
14,Long-Term Deferred Tax Assets,48.72,48.72,-,-
15,Other Long-Term Assets,62.6,62.6,-,-
16,Total Assets,4921.0,4921.0,-,-
17,Accounts Payable,717.41,717.41,-,-
18,Short-Term Debt,468.54,468.54,-,-
19,Current Portion of Long-Term Debt,23.5,23.5,-,-
20,Current Portion of Leases,28.4,28.4,-,-
21,Current Unearned Revenue,6.38,6.38,-,-
22,Other Current Liabilities,165.55,165.55,-,-
23,Total Current Liabilities,1410.0,1410.0,-,-
24,Long-Term Debt,170.71,170.71,-,-
25,Long-Term Leases,35.09,35.09,-,-
26,Long-Term Unearned Revenue,82.01,82.01,-,-
27,Other Long-Term Liabilities,8.64,8.64,-,-
28,Total Liabilities,1706.0,1706.0,-,-
29,Common Stock,518.04,518.04,-,-
30,Additional Paid-In Capital,3658.0,3658.0,-,-
31,Retained Earnings,-1061.0,-1061.0,-,-
32,Comprehensive Income & Other,82.49,82.49,-,-
33,Total Common Equity,3198.0,3198.0,-,2304
34,Minority Interest,17.0,17.0,-,-
35,Shareholders' Equity,3215.0,3215.0,-,2299
36,Total Liabilities & Equity,4921.0,4921.0,-,-
37,Total Debt,726.24,726.24,-,324.6
38,Net Cash (Debt),530.39,530.39,-,406.16
39,Net Cash Per Share,1.02,1.02,-,0.97
40,Filing Date Shares Outstanding,518.04,518.04,420.52,420.52
41,Total Common Shares Outstanding,518.04,518.04,420.52,420.52
42,Working Capital,2019.0,2019.0,-,-
43,Book Value Per Share,6.17,6.17,-,5.25
44,Tangible Book Value,3173.0,3173.0,-,2279
45,Tangible Book Value Per Share,6.13,6.13,-,5.20
