,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,257.13,530.78,186.49,261.57,-,208.39,-,226.16,226.16,-,-
1,Trading Asset Securities,-,502,200.29,401.61,428.35,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,759.14,759.14,731.07,588.1,689.92,-,208.39,226.16,226.16,226.16,-,227.23
3,Cash Growth,10.03%,-,250.82%,160.04%,205.06%,-,-,-0.47%,-,-,-,-
4,Accounts Receivable,-,263.07,257.65,281.6,269.12,-,282.8,-,271.93,271.93,-,-
5,Other Receivables,-,25.58,24.09,23.42,21.58,-,9.88,-,11.72,11.72,-,-
6,Receivables,-,288.66,281.74,305.02,290.7,-,292.69,-,283.65,283.65,-,-
7,Inventory,-,255.99,240.32,203.53,186.48,-,179.95,-,169.88,169.88,-,-
8,Other Current Assets,-,12.24,67.38,229.04,228.07,-,25.41,-,21.99,21.99,-,-
9,Total Current Assets,-,1316,1321,1326,1395,-,706.43,-,701.68,701.68,-,-
10,"Property, Plant & Equipment",-,43,34.95,35.6,38.54,-,23.11,-,30.82,30.82,-,-
11,Long-Term Investments,-,1.76,1.43,1.38,1.36,-,1.2,-,1.25,1.25,-,-
12,Other Intangible Assets,-,1.8,-,2.06,2.19,-,2.45,-,2.48,2.48,-,-
13,Long-Term Deferred Tax Assets,-,21.52,17.55,15.16,14.48,-,10.07,-,12.38,12.38,-,-
14,Long-Term Deferred Charges,-,2.58,2.72,3.03,3.21,-,0.58,-,0.9,0.9,-,-
15,Other Long-Term Assets,-,3.24,3.26,3.29,3.32,-,3.38,-,-,-,-,-
16,Total Assets,-,1390,1380,1386,1458,-,747.22,-,749.5,749.5,-,-
17,Accounts Payable,-,72.2,75.37,64.63,70.36,-,60.56,-,63.94,63.94,-,-
18,Accrued Expenses,-,8.53,30.53,8.12,34.77,-,38.32,-,43.35,43.35,-,-
19,Short-Term Debt,-,10,10,40.02,100.1,-,-,-,-,-,-,-
20,Current Portion of Leases,-,5.74,2.98,3.44,3.47,-,5.34,-,6.3,6.3,-,-
21,Current Income Taxes Payable,-,20.03,0.23,15.77,1.51,-,0.48,-,5.9,5.9,-,-
22,Current Unearned Revenue,-,111.67,101.4,82.35,73.12,-,102.84,-,96.78,96.78,-,-
23,Other Current Liabilities,-,5.46,9.3,8.61,10.11,-,10.25,-,24.2,24.2,-,-
24,Total Current Liabilities,-,233.62,229.82,222.94,293.43,-,217.79,-,240.47,240.47,-,-
25,Long-Term Leases,-,16.2,8.85,9.51,10.23,-,0.55,-,2.54,2.54,-,-
26,Long-Term Unearned Revenue,-,2.04,1.98,1.98,1.98,-,1.64,-,2.84,2.84,-,-
27,Long-Term Deferred Tax Liabilities,-,3.29,1.61,1.92,2.18,-,0.86,-,1.37,1.37,-,-
28,Other Long-Term Liabilities,-,1.91,2.33,3.89,2.41,-,2.77,-,3.73,3.73,-,-
29,Total Liabilities,-,257.07,244.59,240.24,310.22,-,223.61,-,250.95,250.95,-,-
30,Common Stock,-,78.52,78.52,78.52,78.52,-,58.89,-,58.89,58.89,-,-
31,Additional Paid-In Capital,-,908.43,906.94,906.45,906.45,-,301.51,-,300.64,300.64,-,-
32,Retained Earnings,-,141.17,146.52,157.71,159.59,-,160.12,-,136.22,136.22,-,-
33,Total Common Equity,1128,1128,1132,1143,1145,-,520.53,495.74,495.74,495.74,-,431.06
34,Minority Interest,-,4.73,3.88,3.31,3.5,-,3.08,-,2.81,2.81,-,-
35,Shareholders' Equity,1133,1133,1136,1146,1148,-,523.61,498.55,498.55,498.55,-,433.81
36,Total Liabilities & Equity,-,1390,1380,1386,1458,-,747.22,-,749.5,749.5,-,-
37,Total Debt,31.94,31.94,21.83,52.96,113.79,-,5.9,8.84,8.84,8.84,-,15.58
38,Net Cash (Debt),727.19,727.19,709.24,535.14,576.12,-,202.49,217.32,217.32,217.32,-,211.64
39,Net Cash Growth,26.22%,-,250.26%,146.25%,165.11%,-,-,2.68%,-,-,-,-
40,Net Cash Per Share,9.63,7.82,12.65,5.69,7.73,-,3.55,3.65,3.69,3.69,-,3.58
41,Filing Date Shares Outstanding,78.52,78.52,78.52,78.52,78.52,68.52,58.89,59.53,58.89,58.86,59.06,59.06
42,Total Common Shares Outstanding,78.52,78.52,78.52,78.52,78.52,68.52,58.89,59.53,58.89,58.86,59.06,59.06
43,Working Capital,-,1082,1091,1103,1102,-,488.64,-,461.2,461.2,-,-
44,Book Value Per Share,14.37,14.37,14.42,14.55,14.58,-,8.84,8.42,8.42,8.42,-,7.32
45,Tangible Book Value,1126,1126,1132,1141,1142,-,518.08,493.27,493.27,493.27,-,428.29
46,Tangible Book Value Per Share,14.34,14.34,14.42,14.53,14.55,-,8.80,8.38,8.38,8.38,-,7.27
47,Buildings,-,-,-,-,-,-,-,-,3.67,3.67,-,-
48,Machinery,-,-,54.88,-,53.95,-,42.26,-,41.14,41.14,-,-
