,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,1602,1326,1532,1628,2075,2744,3599,-,-,-,-,-,-
1,Market Cap Growth,-51.67%,-51.67%,-57.43%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,879,604,827,1096,1271,1940,3399,-,-,-,-,-,-
3,Last Close Price,20.40,16.89,19.51,20.63,26.30,34.78,45.60,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,117.42,-,-,-,-,-,-,-
5,PS Ratio,4.93,4.02,5.29,5.76,6.36,7.84,10.36,-,-,-,-,-,-
6,PB Ratio,1.42,1.17,1.35,1.43,1.81,2.39,-,-,-,-,-,-,-
7,P/TBV Ratio,1.18,1.18,1.36,1.44,1.82,2.40,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-24.62,-13.45,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-27.28,-14.25,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.67,1.83,2.85,3.88,3.90,5.54,9.79,-,-,-,-,-,-
11,EV/FCF Ratio,-,-,-13.29,-9.06,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.03,0.03,0.03,0.02,0.05,0.10,-,0.01,0.02,0.02,0.02,-,0.04
13,Debt / EBITDA Ratio,-,-,-,-,-,-,-,0.11,0.14,0.11,0.11,-,0.26
14,Debt / FCF Ratio,-,-,-0.51,-0.18,-,-,-,0.25,-,0.44,2.24,-,-
15,Asset Turnover,-,0.18,0.15,-,-,-,-,-,0.66,-,-,-,
16,Inventory Turnover,-,-,0.74,0.72,-,-,-,-,-,1.69,-,-,-
17,Quick Ratio,-,-,4.48,4.41,4.01,3.34,-,2.30,-,2.12,2.12,-,-
18,Current Ratio,-,-,5.63,5.75,5.95,4.75,-,3.24,-,2.92,2.92,-,-
19,Return on Equity (ROE),-9.05%,-1.90%,-1.25%,-,-,-,8.05%,11.15%,14.86%,-,-,-,
20,Return on Assets (ROA),-,-2.21%,-1.59%,-,-,-,-,-,5.76%,-,-,-,
21,Return on Capital (ROIC),-4.39%,-2.63%,-1.86%,-,-,-,4.10%,6.82%,8.52%,-,-,-,
22,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,10.75%,-,11.20%,7.81%,-,-
23,Earnings Yield,-2.29%,-2.76%,-0.38%,-0.40%,0.38%,0.85%,1.00%,-,-,-,-,-,-
24,FCF Yield,-,-4.06%,-7.43%,-12.71%,-9.35%,-0.51%,-,-,-,-,-,-,
25,Dividend Yield,0.43%,-,-,-,-,0.26%,-,-,-,-,-,-,-
26,Payout Ratio,0.00%,-,-,-,-,11.32%,-,-,-,-,-,-,-
27,Buyback Yield / Dilution,-22.73%,-1.34%,-35.78%,1.80%,-58.03%,-26.66%,-16.41%,3.33%,-0.79%,-,-,-,-
28,Total Shareholder Return,-22.31%,-1.34%,-35.78%,1.80%,-58.03%,-26.40%,-16.41%,3.33%,-0.79%,-,-,-,-
