,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,166.14,63.41,51.72,48.36,125.96,56.41,95.4,72.18,123.36,123.36,112.84,112.84
1,Other Revenue,-,-0.05,0.05,-,0.1,-0.09,0.09,-,0,0,0,0
2,Revenue,166.14,63.36,51.77,48.36,126.06,56.32,95.48,72.18,123.36,123.36,112.84,112.84
3,Revenue Growth (YoY),31.79%,12.49%,-45.78%,-33.01%,2.18%,-54.34%,-15.39%,-36.03%,-,-,-,-
4,Cost of Revenue,-117.21,45.92,39.81,31.48,83.38,41.79,69.57,39.61,71.96,71.96,72.62,72.62
5,Gross Profit,283.34,17.44,11.96,16.88,42.68,14.53,25.91,32.57,51.4,51.4,40.22,40.22
6,"Selling, General & Admin",-47.72,17.05,15.55,15.12,24.56,13.73,12.64,18.21,20.03,20.03,20.27,20.27
7,Research & Development,-29.02,11.07,9.12,8.84,7.82,8.46,7.71,9.2,8.75,8.75,10.36,10.36
8,Other Operating Expenses,381.43,-1.9,0.32,-1.49,2.33,-1.76,-3.43,-1.71,0.24,0.24,-5.72,-5.72
9,Operating Expenses,303.79,29.66,20.75,24.15,52.75,21.18,17.42,18.72,34.12,34.12,28.99,28.99
10,Operating Income,-20.45,-12.23,-8.79,-7.27,-10.07,-6.65,8.5,13.85,17.28,17.28,11.23,11.23
11,Interest Expense,-10.08,-0.15,-0.51,-0.66,-0.81,-0.1,-0.07,-0.11,-0.13,-0.13,-0.17,-0.17
12,Interest & Investment Income,1.31,3,4.25,2.83,6.16,0.06,1.14,1.38,1.19,1.19,0.38,0.38
13,Other Non Operating Income (Expenses),-0.04,0.04,-0.02,0.02,1.68,-1.59,1.42,0.11,-0.32,-0.32,0.57,0.57
14,EBT Excluding Unusual Items,-29.26,-9.34,-5.07,-5.07,-3.04,-8.27,10.98,15.23,18.01,18.01,12.02,12.02
15,Gain (Loss) on Sale of Investments,-1.62,1.34,-0.82,1.1,-1.34,2.69,-0.12,0.12,-0.01,-0.01,0.01,0.01
16,Gain (Loss) on Sale of Assets,0.01,-0,-0,-,0.11,-0,-0.01,-0.08,-0.06,-0.06,-0.14,-0.14
17,Asset Writedown,-0.79,0.79,-1.05,1.05,0.84,-0.85,-0.38,0.38,-,-,-,-
18,Other Unusual Items,-0,-0.73,0.73,-0,8.52,-0.27,0.27,-,3.16,3.16,0.21,0.21
19,Pretax Income,-31.66,-7.95,-6.21,-2.92,5.09,-6.7,10.74,15.65,21.1,21.1,12.1,12.1
20,Income Tax Expense,-6.02,-2.56,-2.65,-0.85,-0.68,-0.8,0.46,1.75,2.57,2.57,1.52,1.52
21,Earnings From Continuing Operations,-25.64,-5.39,-3.56,-2.07,5.78,-5.9,10.28,13.9,18.53,18.53,10.58,10.58
22,Minority Interest in Earnings,0.34,0.04,-0.56,0.19,-0.3,-0.11,-0.07,-0.21,-0.56,-0.56,0.64,0.64
23,Net Income,-25.31,-5.34,-4.12,-1.88,5.48,-6.01,10.22,13.69,17.96,17.96,11.22,11.22
24,Net Income to Common,-25.31,-5.34,-4.12,-1.88,5.48,-6.01,10.22,13.69,17.96,17.96,11.22,11.22
25,Net Income Growth,-,-,-,-,-69.52%,-,-8.96%,22.01%,-,-,-,-
26,Shares Outstanding (Basic),76,93,56,94,75,69,57,60,59,59,59,59
27,Shares Outstanding (Diluted),76,93,56,94,75,69,57,60,59,59,59,59
28,Shares Change (YoY),1.34%,35.78%,-1.80%,58.03%,26.66%,16.41%,-3.33%,0.79%,-,-,-,-
29,EPS (Basic),-0.33,-0.06,-0.07,-0.02,0.07,-0.09,0.18,0.23,0.31,0.31,0.19,0.19
30,EPS (Diluted),-0.33,-0.06,-0.07,-0.02,0.07,-0.09,0.18,0.23,0.31,0.31,0.19,0.19
31,EPS Growth,-,-,-,-,-75.94%,-,-5.82%,21.05%,-,-,-,-
32,Free Cash Flow,-,32.46,169.88,-42.39,-222.16,-26.34,27.22,-35.3,16.01,16.01,-6.03,-6.03
33,Free Cash Flow Per Share,-,0.35,3.03,-0.45,-2.98,-0.38,0.48,-0.59,0.27,0.27,-0.10,-0.10
34,Dividend Per Share,-,-,-,-,0.090,-,-,-,-,-,-,-
35,Gross Margin,170.55%,27.52%,23.10%,34.91%,33.86%,25.80%,27.14%,45.12%,41.67%,41.67%,35.64%,35.64%
36,Operating Margin,-12.31%,-19.30%,-16.98%,-15.03%,-7.99%,-11.80%,8.90%,19.19%,14.01%,14.01%,9.96%,9.96%
37,Profit Margin,-15.23%,-8.43%,-7.97%,-3.89%,4.34%,-10.67%,10.70%,18.97%,14.56%,14.56%,9.94%,9.94%
38,Free Cash Flow Margin,-,51.23%,328.16%,-87.66%,-176.24%,-46.76%,28.51%,-48.90%,12.98%,12.98%,-5.34%,-5.34%
39,EBITDA,-18.57,-10.35,-6.26,-5.39,-8.19,-5.16,10.13,15.34,18.72,18.72,12.76,12.76
40,EBITDA Margin,-11.18%,-16.33%,-12.08%,-11.14%,-6.49%,-9.16%,10.61%,21.25%,15.18%,15.18%,11.31%,11.31%
41,D&A For EBITDA,1.88,1.88,2.54,1.88,1.88,1.49,1.64,1.49,1.44,1.44,1.53,1.53
42,EBIT,-20.45,-12.23,-8.79,-7.27,-10.07,-6.65,8.5,13.85,17.28,17.28,11.23,11.23
