,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,342.6,303.87,422.07,347.2,270.91
1,Revenue Growth (YoY),-18.83%,-12.48%,55.80%,-,-
2,Cost of Revenue,293.74,287,344.09,263.66,180.89
3,Gross Profit,48.86,16.88,77.99,83.54,90.03
4,"Selling, General & Admin",53.67,56.91,56.81,47.21,49.97
5,Research & Development,13.08,16.92,12.37,14.68,10.34
6,Other Operating Expenses,-14.89,-5.28,-14.99,-5.97,-21.92
7,Operating Expenses,51.86,68.97,54.18,56.44,38.39
8,Operating Income,-3,-52.09,23.81,27.1,51.64
9,Interest Expense,-1.35,-2.07,-1.29,-1.31,-1.76
10,Interest & Investment Income,1.8,3.66,1.26,0.13,0.03
11,Earnings From Equity Investments,-0.03,0.06,0.01,0.24,-0.44
12,Currency Exchange Gain (Loss),0.56,-2.64,9.71,-,-
13,Other Non Operating Income (Expenses),-,0.05,-,-0.04,-
14,EBT Excluding Unusual Items,-2.02,-53.03,33.49,26.12,49.47
15,Gain (Loss) on Sale of Investments,0.3,-,-,0.37,0.38
16,Gain (Loss) on Sale of Assets,-,0,-0.01,-0.01,-0.03
17,Asset Writedown,-2.91,-0.22,0.22,0.16,-0.16
18,Other Unusual Items,-,38.55,-,0.29,-
19,Pretax Income,-4.62,-14.7,33.71,26.94,49.66
20,Income Tax Expense,-0.86,-1.68,9.18,8.45,15.45
21,Earnings From Continuing Operations,-3.77,-13.02,24.52,18.49,34.21
22,Minority Interest in Earnings,0.27,-,-,-,-
23,Net Income,-3.49,-13.02,24.52,18.49,34.21
24,Net Income to Common,-3.49,-13.02,24.52,18.49,34.21
25,Net Income Growth,-,-,-28.32%,-,-
26,Shares Outstanding (Basic),123,123,103,99,99
27,Shares Outstanding (Diluted),123,123,103,99,99
28,Shares Change (YoY),20.26%,23.36%,3.54%,-,-
29,EPS (Basic),-0.03,-0.11,0.24,0.19,0.35
30,EPS (Diluted),-0.03,-0.11,0.24,0.19,0.35
31,EPS Growth,-,-,-30.77%,-,-
32,Free Cash Flow,-60.07,2.62,6.41,-17.58,88.79
33,Free Cash Flow Per Share,-0.49,0.02,0.06,-0.18,0.90
34,Operating Margin,-0.88%,-17.14%,5.64%,7.80%,19.06%
35,Profit Margin,-1.02%,-4.28%,5.81%,5.33%,12.63%
36,Free Cash Flow Margin,-17.53%,0.86%,1.52%,-5.06%,32.77%
37,EBITDA,-1.98,-53.4,25.57,24.77,55.39
38,D&A For EBITDA,1.03,-1.3,1.76,-2.33,3.75
39,EBIT,-3,-52.09,23.81,27.1,51.64
