,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,659,284,594,737,-,-
1,Market Cap Growth,-61.54%,-61.54%,-,-,-,-
2,Enterprise Value,504,94,339,738,-,-
3,Last Close Price,5.69,2.35,4.88,5.85,-,-
4,PE Ratio,-,-,-,15.87,-,-
5,PS Ratio,1.01,0.41,0.74,0.89,-,-
6,PB Ratio,1.27,0.52,1.06,1.15,-,-
7,P/TBV Ratio,0.52,0.52,1.06,1.15,-,-
8,P/FCF Ratio,-,-,59.76,-61.10,-,-
9,P/OCF Ratio,-,-,54.54,-64.09,-,-
10,EV/Sales Ratio,0.73,0.14,0.42,0.89,-,-
11,EV/EBITDA Ratio,-,-,-,13.58,-,-
12,EV/EBIT Ratio,-,-,-,13.43,-,-
13,EV/FCF Ratio,-8.16,-,34.12,-61.19,-,-
14,Debt / Equity Ratio,0.08,0.08,0.11,0.05,0.18,-
15,Debt / FCF Ratio,-,-,6.12,-2.76,-,-
16,Return on Capital Employed (ROCE),-,-,-,8.60%,22.72%,-
17,Earnings Yield,-2.69%,-6.26%,2.13%,6.30%,-,-
18,FCF Yield,-9.37%,-21.76%,1.67%,-1.64%,-,-
19,Buyback Yield / Dilution,-21.79%,-20.26%,-23.36%,-3.54%,-,-
20,Total Shareholder Return,-21.79%,-20.26%,-23.36%,-3.54%,-,-
