,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,183.54,190.98,266.65,62.7,-
1,Short-Term Investments,-,36.25,-,-,-
2,Cash & Short-Term Investments,183.54,227.23,266.65,62.7,-
3,Cash Growth,-31.17%,262.38%,-,-,-
4,Accounts Receivable,400.27,440.79,542.11,535.53,-
5,Other Receivables,42.83,-,16.5,-,-
6,Receivables,443.1,440.79,558.61,535.53,-
7,Other Current Assets,63.73,22.97,11.28,20.25,-
8,Total Current Assets,690.37,690.98,836.54,618.48,-
9,"Property, Plant & Equipment",4.45,1.64,2.42,3.49,-
10,Long-Term Investments,4.52,4.55,4.49,4.48,-
11,Long-Term Deferred Tax Assets,4.6,1.12,2.17,0.68,-
12,Total Assets,703.93,698.29,845.61,627.13,-
13,Accounts Payable,31.53,35.15,76.05,52.07,-
14,Accrued Expenses,76.25,80.31,79.5,97.35,-
15,Short-Term Debt,35,55,29.75,61.27,-
16,Current Portion of Leases,1.6,0.23,0.99,2.32,-
17,Current Income Taxes Payable,2.87,1.08,2.4,5.65,-
18,Current Unearned Revenue,11.28,7.26,4.63,6.86,-
19,Other Current Liabilities,37.64,11.08,60.65,55.07,-
20,Total Current Liabilities,196.18,190.1,253.97,280.58,-
21,Long-Term Leases,1.33,0.01,0.11,0.06,-
22,Long-Term Deferred Tax Liabilities,0.73,-,-,-,-
23,Total Liabilities,198.24,190.11,254.08,280.63,-
24,Common Stock,0.16,0.17,0.17,0.13,-
25,Additional Paid-In Capital,193.93,213.65,-,-,-
26,Retained Earnings,243.01,246.51,218.53,235.01,-
27,Comprehensive Income & Other,67.54,47.87,372.84,111.36,-
28,Total Common Equity,504.63,508.18,591.53,346.49,-
29,Minority Interest,1.06,-,-,-,-
30,Shareholders' Equity,505.69,508.18,591.53,346.49,-
31,Total Liabilities & Equity,703.93,698.29,845.61,627.13,-
32,Total Debt,37.93,55.24,30.84,63.65,-
33,Net Cash (Debt),145.61,171.99,235.81,-0.94,-
34,Net Cash Growth,-38.25%,-,-,-,-
35,Net Cash Per Share,1.18,1.40,2.30,-0.01,-
36,Filing Date Shares Outstanding,120.7,122.52,125.2,100.2,99.12
37,Total Common Shares Outstanding,120.7,122.52,125.2,100.2,99.12
38,Working Capital,494.19,500.88,582.57,337.91,-
39,Book Value Per Share,4.18,4.15,4.72,3.46,-
40,Tangible Book Value,504.63,508.18,591.53,346.49,-
41,Tangible Book Value Per Share,4.18,4.15,4.72,3.46,-
42,Machinery,-,4.25,-,3.87,-
43,Leasehold Improvements,-,1.55,-,1.55,-
