,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,76.21,154.35,131.16,107.64,217.06,333.12,283.18,163.42,143.58,215.92,191.52,126.78,163.58,256.92,400.25,64.37,-,123.54,-
1,Trading Asset Securities,-,-,-,-,-,-,-,2.08,-,-,-,12.2,2.89,4.84,-,0.13,-,11.41,-
2,Cash & Short-Term Investments,76.21,154.35,131.16,107.64,217.06,333.12,283.18,165.49,143.58,215.92,191.52,138.98,166.48,261.77,400.25,64.5,-,134.95,48.43
3,Cash Growth,-64.89%,-53.67%,-53.68%,-34.96%,51.17%,54.28%,47.86%,19.08%,-13.75%,-17.52%,-52.15%,115.45%,-,93.98%,726.52%,-,-,-,-
4,Accounts Receivable,1176,1165,1215,1158,1088,1003,804.09,983.35,1075,908.95,853,797.38,679.32,701.34,675.88,621.9,-,488.45,-
5,Other Receivables,11.77,4.44,8.69,2.73,16.06,12.07,12.43,5.33,1.71,1.92,2.14,1.58,0.79,0.71,0.52,0.8,-,0.77,-
6,Receivables,1188,1169,1224,1160,1104,1015,816.52,988.68,1077,910.87,855.14,798.95,680.12,702.05,676.41,622.71,-,489.22,-
7,Inventory,550.6,567.32,481.67,495.54,525.25,507.64,622.79,594.32,550.63,607.23,613.1,515.89,449.4,352.48,304.87,294.12,-,241.14,-
8,Other Current Assets,244.33,132.25,148.71,114.2,147.66,134.45,196.41,126.79,158.62,137.41,155.3,117.9,151.68,36.28,58.33,36.99,-,43.58,-
9,Total Current Assets,2059,2023,1985,1878,1994,1990,1919,1875,1930,1871,1815,1572,1448,1353,1440,1018,-,908.88,-
10,"Property, Plant & Equipment",1302,1291,1249,1190,1167,1162,1169,1188,1157,1176,1112,1134,1104,1081,1041,1036,-,981.4,-
11,Other Intangible Assets,69.42,68.08,68.65,69.22,70.03,70.6,73.45,74.04,66.66,51.47,51.66,51.48,51.93,52.29,51.28,51.65,-,56.22,-
12,Long-Term Accounts Receivable,1.93,2.15,2.36,2.87,2.97,3.92,4.96,0.58,-,-,-,-,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,44.21,34.95,34.02,31.58,26.76,27.95,28.55,19.85,19.15,21.23,18.95,14.43,12.1,8.09,13.72,9.22,-,14.08,-
14,Long-Term Deferred Charges,91.01,87.88,92.91,84.81,85.83,86.58,83.51,79.48,71.69,63.85,48.34,50.84,41.4,36.07,28.14,28.32,-,38.35,-
15,Other Long-Term Assets,98.75,104.1,108.1,119.5,110.65,109.67,119.1,117.04,117.79,82.96,134.67,95.07,88.4,92.19,74.26,101.25,-,92.26,-
16,Total Assets,3666,3611,3541,3376,3458,3451,3398,3354,3362,3267,3180,2918,2746,2622,2648,2245,-,2091,-
