,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1097,843.78,823.39,956.37,1030,800.66,678.53,787.1,1025,727,918.18,1004,821.35,687.61,729.16,783.97,782.13,665.42,412.14
1,Other Revenue,-59.96,59.96,-,71.28,-26.14,26.14,-,76.32,-20.04,20.04,-,48.01,-26.86,26.86,-,52.55,-15.14,15.14,-
2,Revenue,1037,903.74,823.39,1028,1003,826.8,678.53,863.41,1005,747.04,918.18,1052,794.49,714.47,729.16,836.53,766.99,680.56,412.14
3,Revenue Growth (YoY),3.32%,9.31%,21.35%,19.02%,-0.19%,10.68%,-26.10%,-17.89%,26.54%,4.56%,25.92%,25.70%,3.59%,4.98%,76.92%,-,-,-,-
4,Cost of Revenue,993.37,853.57,753.96,977.54,905.08,778.34,641.91,805.62,921.36,687.58,788.94,977.63,677.21,615.28,605.63,712.03,633.33,586.81,365.04
5,Gross Profit,43.3,50.17,69.44,50.1,98.32,48.46,36.62,57.8,83.96,59.46,129.24,73.93,117.28,99.19,123.53,124.5,133.66,93.75,47.1
6,"Selling, General & Admin",22.54,8.24,31.61,22.36,31.1,12.33,24.05,27.56,26.77,23.25,24.27,-1.23,41.82,35.91,36.05,42.38,43.12,28.08,22.05
7,Research & Development,26.16,18.21,25.23,27.76,23.65,19.14,21.29,-1.6,19.06,24.95,31.49,16.72,10.59,10.97,10.65,13.89,11.41,8.75,5.56
8,Other Operating Expenses,-48.13,1.96,1.03,32.66,-12.73,-6.25,-4.74,42.01,-2.04,-9.45,-18.48,29.08,-6.7,-8.43,-0.74,14.47,-1.07,-3.64,-1.94
9,Operating Expenses,7.47,27.34,61.1,74.36,54.61,24.19,42.51,66.43,48.54,31.48,44.41,58.91,47.43,36,46.06,77.75,47.95,35.95,20.3
10,Operating Income,35.82,22.82,8.33,-24.25,43.71,24.27,-5.89,-8.64,35.41,27.98,84.83,15.02,69.85,63.19,77.47,46.74,85.71,57.8,26.8
11,Interest Expense,-7.68,-7.49,-7.57,-8.71,-4,-6.48,-4.96,-1.26,-6.98,-50.57,-8.79,-4.38,-7.23,-4.51,-7.99,-10.39,-7.98,-9.79,-6.64
12,Interest & Investment Income,0.44,0.53,0.36,2.03,0.58,0.82,0.24,0.22,0.18,-,42.61,14.5,-,6.8,19.18,-,19.22,14.86,0.02
13,Currency Exchange Gain (Loss),-0.59,0.59,-,3.58,-4.89,4.89,-,2.97,-4.01,4.01,-,-0.98,1.01,-1.01,-,-0.19,-0.18,0.18,-
14,Other Non Operating Income (Expenses),-0.59,-0.52,-0.53,-4.09,3.39,-2.52,-0.21,-6.85,5.42,-0.62,-0.99,1.23,-2.2,-0.78,-0.09,2.88,-1.19,-0.37,-3.14
