,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4906,2357,2032,2442,3134,3012,3306,3744,3386,4025,4018,3314,3957,3927,4104,4499,-,-,-,-
1,Market Cap Growth,-21.77%,-21.77%,-38.52%,-34.78%,-7.42%,-25.16%,-17.71%,12.95%,-14.45%,2.49%,-2.10%,-26.33%,-,-,-,-,-,-,-,-
2,Enterprise Value,6040,3375,3020,3191,3884,3663,3892,4582,4224,4692,4487,3702,4274,4083,4022,4964,-,-,-,-
3,Last Close Price,15.09,7.24,6.21,7.38,9.47,9.10,9.99,11.27,10.20,12.12,12.10,9.88,11.80,11.71,12.23,13.32,-,-,-,-
4,PE Ratio,111.76,61.00,31.89,43.43,101.40,50.25,70.64,-,35.94,32.00,-,13.54,17.41,18.91,18.16,19.46,-,-,-,-
5,Forward PE,-,22.40,22.40,22.40,22.05,21.19,23.26,17.35,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.14,0.62,0.54,0.66,0.89,0.89,0.98,1.14,0.96,1.08,1.14,0.95,1.20,1.28,1.35,1.49,-,-,-,-
7,PB Ratio,2.33,1.12,0.97,1.17,1.49,1.44,1.60,1.82,1.63,1.97,1.98,1.58,1.97,2.02,2.16,2.40,-,-,-,-
8,P/TBV Ratio,1.16,1.16,1.00,1.21,1.54,1.49,1.65,1.88,1.69,2.04,2.03,1.62,2.02,2.07,2.22,2.47,-,-,-,-
