,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1539,1133,1113,1437,1422,1702,2070,2612,1696,1983,3350
1,Market Cap Growth,-21.14%,-21.14%,-21.70%,-15.56%,-31.29%,-34.85%,22.03%,31.76%,-49.37%,-55.75%,0.09%
2,PE Ratio,5.26,3.88,2.23,2.63,2.36,1.99,1.43,2.20,-1.64,-,46.22
3,PS Ratio,0.61,0.45,0.36,0.48,0.52,0.58,0.57,0.89,-14.86,-6.69,2.57
4,PB Ratio,0.34,0.25,0.24,0.33,0.33,0.40,0.50,0.70,0.62,0.88,0.97
5,P/FCF Ratio,-,-0.72,-,0.68,0.42,0.64,-1.63,-,0.27,0.76,-
6,P/OCF Ratio,-,-0.73,-,0.66,0.41,0.64,-1.66,-,0.27,0.75,-
7,Debt / Equity Ratio,1.38,1.38,1.36,0.94,1.19,1.61,2.07,2.27,2.15,3.10,3.24
8,Debt / FCF Ratio,-,-3.99,-,1.95,1.51,2.62,-6.81,-,0.93,2.69,-
9,Earnings Yield,19.00%,25.80%,44.91%,38.09%,42.33%,50.22%,69.94%,45.54%,-60.89%,-56.59%,2.16%
10,Earnings Yield,19.00%,25.80%,44.91%,38.09%,42.33%,50.22%,69.94%,45.54%,-60.89%,-56.59%,2.16%
11,FCF Yield,-102.51%,-139.22%,-135.12%,148.02%,239.60%,155.04%,-61.26%,-10.80%,367.77%,131.36%,11.61%
12,Dividend Yield,3.17%,-,11.46%,9.36%,7.88%,8.19%,7.35%,2.44%,-,-,-
13,Buyback Yield / Dilution,0.00%,-0.01%,0.01%,0.07%,0.36%,0.45%,-0.28%,0.19%,2.24%,2.05%,0.11%
14,Total Shareholder Return,3.15%,-0.01%,11.47%,9.43%,8.24%,8.64%,7.07%,2.63%,2.24%,2.05%,0.11%
