,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Interest and Dividend Income,1068,703.1,774.2,797.48,1125,1147,824.97,706.74,1311,1489
1,Total Interest Expense,194.9,154.02,177.32,219.76,311.27,327.95,265.98,271.22,448.07,464.78
2,Net Interest Income,873.38,549.08,596.88,577.72,813.39,818.84,558.99,435.52,862.52,1025
3,Other Revenue,-149.46,-63.45,205.35,77.24,32.28,177.93,301.26,319.3,-116.84,104.28
4,Revenue Before Loan Losses,1664,1621,1908,1527,1538,1563,1834,1230,983.85,1803
5,Provision for Loan Losses,635.15,309.46,377.24,289.87,333.56,255.3,160.33,455.96,1854,1203
6,Revenue,1028,1312,1530,1237,1204,1308,1673,774.02,-870.11,600.15
7,Revenue Growth (YoY),-32.80%,6.04%,27.05%,-5.43%,-28.02%,69.00%,-,28.97%,-,-16.87%
8,Salaries & Employee Benefits,-,1.64,-,4.97,-,33.29,-,74.72,-,116.81
9,Cost of Services Provided,869.17,1004,1054,897.31,782.1,786.64,726.24,549.63,569.22,586.22
10,Other Operating Expenses,-81.64,-40.16,-17.18,-20.31,-51.98,-21.19,-50.89,-149.9,-221.17,-208.28
11,Total Operating Expenses,787.54,965.48,1037,881.97,730.13,798.75,675.35,474.45,348.05,494.75
12,Operating Income,240.86,346.31,493.16,355.09,474.37,509.34,997.91,299.57,-1218,105.4
13,Earnings From Equity Investments,-1.88,-6.33,-1.53,-,-,0.36,0.33,0.17,-11.24,8.97
14,Currency Exchange Gain (Loss),-6.72,-1.72,1.15,-36.05,-9.26,8.71,11.48,48.37,-10.22,-10.17
15,EBT Excluding Unusual Items,130.97,210.79,388.31,279.32,426.84,510.85,1008,284.06,-1351,104.2
16,Gain (Loss) on Sale of Investments,21.57,-1.77,0.95,-14.21,-0.62,-5.66,0.75,0,0.47,1.78
17,Other Unusual Items,-,-,-1.28,-0.35,4.12,-,-,3.41,-,-
18,Pretax Income,152.54,209.02,387.97,264.77,430.35,505.19,1009,287.48,-1350,105.98
19,Income Tax Expense,32.2,57.22,85.86,60.3,102.35,103.52,231.46,75.82,-269.07,47.36
20,Earnings From Continuing Ops.,120.34,151.8,302.11,204.47,328,401.67,777.62,211.66,-1081,58.62
21,Minority Interest in Earnings,0,-0,-0,-0.01,0,-0.03,0.01,-0.01,-0.01,-
22,Net Income,120.35,151.8,302.11,204.47,328,401.64,777.63,211.66,-1081,58.62
23,Net Income to Common,120.35,151.8,302.11,204.47,328,401.64,777.63,211.66,-1081,58.62
24,Net Income Growth,-60.17%,-25.76%,-7.89%,-49.09%,-57.82%,89.76%,-,261.09%,-,-
25,Shares Outstanding (Basic),488,488,488,488,487,487,489,490,493,493
26,Shares Outstanding (Diluted),490,490,490,490,490,492,492,490,493,502
27,Shares Change (YoY),0.01%,-0.01%,-0.07%,-0.36%,-0.45%,0.28%,-0.19%,-2.24%,-2.05%,-0.11%
28,EPS (Basic),0.25,0.31,0.62,0.42,0.67,0.82,1.59,0.43,-2.19,0.12
29,EPS (Diluted),0.25,0.31,0.62,0.42,0.67,0.82,1.58,0.43,-2.19,0.12
30,EPS Growth,-60.19%,-26.08%,-7.56%,-48.82%,-57.59%,91.53%,-,259.87%,-,-
31,Free Cash Flow,463.41,-1932,566.14,1402,1611,641.28,-1674,1440,3812,-1439
32,Free Cash Flow Per Share,0.95,-3.94,1.16,2.86,3.29,1.30,-3.40,2.94,7.73,-2.87
33,Dividend Per Share,-,0.088,0.139,0.092,0.085,0.121,0.083,-,-,-
34,Dividend Growth,-,-3.75%,62.61%,-24.04%,2.67%,-,-,-,-,-
35,Operating Margin,23.42%,26.40%,32.23%,28.70%,39.38%,38.94%,59.64%,38.70%,-,17.56%
36,Profit Margin,11.70%,11.57%,19.74%,16.53%,27.23%,30.70%,46.47%,27.35%,-,9.77%
37,Free Cash Flow Margin,45.06%,-147.26%,36.99%,113.37%,133.77%,49.02%,-100.05%,185.98%,-,-239.71%
38,Revenue as Reported,1738,-,1918,-,1582,-,-,-,-,-
