,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,1390.0,896.53,1261,1592,1843,1908,1651,1502,1814,2170.0
1,Long-Term Investments,26.22,13.38,19.36,20.89,-,-,20.95,20.63,20.46,37.43
2,Trading Asset Securities,127.62,148.7,182.36,243.53,345.75,133.8,43.31,20.29,20.28,0.28
3,Loans & Lease Receivables,6637.0,6504.0,4668,5230,6451,7322,6757,4028,5338,9458.0
4,Other Receivables,564.48,899.06,760.3,654.6,461.89,398.38,684.62,447.49,349.59,761.41
5,"Property, Plant & Equipment",87.9,103.56,112.87,70.65,64.14,59.65,69.89,85.27,100.25,77.02
6,Other Intangible Assets,34.21,36.29,38.58,38.44,38.8,40.59,40.52,35.38,24.63,22.18
7,Restricted Cash,694.54,652.24,598.64,514.94,172.49,55.11,142.26,236.28,248.25,264.58
8,Other Current Assets,1518.0,2150.0,2041,1395,1090,947.81,1310,1249,962.33,1011.0
9,Long-Term Deferred Tax Assets,653.27,522.22,437.87,342.46,338.71,381.04,574.84,682.57,740.35,468.26
10,Other Long-Term Assets,7.69,7.69,7.69,-,-,30.6,30.6,30.6,-,20.0
11,Total Assets,11741.0,11934.0,10128,10103,10806,11277,11325,8337,9618,14289.0
12,Accrued Expenses,167.98,142.23,218.66,206.53,179.03,126.03,192.6,113.85,150.41,157.85
13,Current Portion of Long-Term Debt,2658.0,2340.0,2104,2035,2202,3265,2688,1238,1936,3721.0
14,Long-Term Debt,3152.0,3256.0,1663,2497,3662,3747,4284,3622,4392,6297.0
15,Long-Term Leases,49.4,59.26,69.82,27.79,31.45,25.29,34.92,47.98,59.5,25.2
16,Long-Term Unearned Revenue,49.18,35.68,24.69,25.71,-,8.04,-,-,-,0.85
17,Current Income Taxes Payable,218.52,285.65,263.07,199.75,116.82,59.69,46.75,34.56,255.55,124.96
18,Other Current Liabilities,44.68,1530.0,45.13,1141,62.9,472.01,18.59,804.29,33.82,626.51
19,Long-Term Deferred Tax Liabilities,5.0,7.5,-,-,-,92.98,146.94,100.7,20.59,86.1
20,Pension & Post-Retirement Benefits,23.53,69.65,48.76,59.29,54.82,59.76,45.53,37.9,16.53,13.93
21,Other Long-Term Liabilities,1130.0,40.76,1607,85.76,838.79,27.67,779.9,52.28,695,135.72
22,Total Liabilities,7498.0,7766.0,6044,6278,7149,7883,8237,6051,7558,11189.0
23,Common Stock,40.07,40.07,40.07,40.07,40.14,40.15,40.37,40.41,40.86,40.91
24,Additional Paid-In Capital,5199.0,5243.0,5311,5355,5399,5462,5557,5559,5578,5581.0
25,Retained Earnings,-1739.0,-1860.0,-2012,-2314,-2518,-2846,-3248,-4025,-4237,-3156.0
26,Comprehensive Income & Other,747.03,749.54,748.37,757.25,751.28,763.81,761.87,747.08,713.88,682.91
27,Total Common Equity,4242.0,4168.0,4081,3823,3655,3391,3085,2283,2057,3097.0
28,Minority Interest,1.4,0.7,3.05,3.04,3.04,3.04,3.01,3.02,3.01,3.0
29,Shareholders' Equity,4243.0,4169.0,4084,3826,3658,3394,3088,2286,2060,3100.0
30,Total Liabilities & Equity,11741.0,11934.0,10128,10103,10806,11277,11325,8337,9618,14289.0
31,Total Debt,5860.0,5655.0,3837,4560,5896,7037,7007,4907,6387,10043.0
32,Net Cash (Debt),-4342.0,-4610.0,-2393,-2724,-3708,-4995,-5313,-3385,-4552,-7873.0
33,Net Cash Per Share,-8.86,-9.41,-4.89,-5.56,-7.56,-10.16,-10.79,-6.90,-9.23,-15.69
34,Filing Date Shares Outstanding,488.58,488.45,488.29,487.08,487.78,486.29,489.7,488.8,493.52,492.67
35,Total Common Shares Outstanding,488.58,488.45,488.29,487.08,487.78,486.29,489.7,488.8,493.52,492.67
36,Working Capital,7843.0,6954.0,6881,6049,7803,6842,7642,5292,6357,9034.0
37,Book Value Per Share,8.68,8.53,8.36,7.85,7.49,6.97,6.30,4.67,4.17,6.29
38,Tangible Book Value,4208.0,4132.0,4043,3784,3616,3350,3044,2248,2032,3075.0
39,Tangible Book Value Per Share,8.61,8.46,8.28,7.77,7.41,6.89,6.22,4.60,4.12,6.24
