,Fiscal Quarter,Current,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010",+20 Quarters
0,Market Capitalization,512616,91328,86109,93937,112203,113942,128729,150474,117422,76541,69583,66104,89588,94807,168823,200230,250288,281025,312640,263668,274042,Upgrade
1,Market Cap Growth,-29.05%,-19.85%,-33.11%,-37.57%,-4.44%,48.86%,85.00%,127.63%,31.07%,-19.27%,-58.78%,-66.99%,-64.21%,-66.26%,-46.00%,-24.06%,-8.67%,-12.14%,-11.58%,-18.01%,89.31%,Upgrade
2,Enterprise Value,232746,232746,203387,206635,221933,276020,286307,276935,210584,182668,82055,78576,230782,177753,213286,295951,298142,319833,351448,322353,332727,Upgrade
3,Last Close Price,20350.00,2810.96,2650.33,2891.27,3453.46,3507.00,3962.11,4631.39,3535.95,2304.91,2095.37,1796.72,2435.02,2576.87,4552.66,5164.21,6455.27,7248.02,7932.52,6796.12,7063.51,Upgrade
4,PE Ratio,-,-,-,-,-,-11.03,-,45.77,28.21,57.40,30.18,7.28,9.80,11.23,18.01,87.92,-,32.86,-,27.95,20.12,Upgrade
5,PS Ratio,0.76,0.14,0.13,0.14,0.17,0.20,0.23,0.27,0.21,0.15,0.15,0.13,0.17,0.21,0.37,0.52,0.64,0.75,0.97,0.73,0.77,Upgrade
6,PB Ratio,2.12,0.38,0.35,0.37,0.44,0.43,0.49,0.53,0.42,0.27,0.25,0.23,0.32,0.34,0.59,0.70,0.87,0.97,1.07,0.90,-,Upgrade
7,P/TBV Ratio,0.39,0.39,0.36,0.38,0.44,0.44,0.49,0.54,0.42,0.28,0.25,0.23,0.33,0.34,0.60,0.71,0.89,1.00,1.09,0.92,-,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-3.33,-,-,-,0.75,-,-,1.05,-,-,-37.03,-,-107.88,-,-,-8.93,Upgrade
9,P/OCF Ratio,-,-,-,-,2.22,-22.75,-4.96,-,-,0.63,-,-,0.99,-,-,127.80,-,44.09,-,-,-9.66,Upgrade
10,EV/Sales Ratio,0.35,0.35,0.30,0.31,0.33,0.50,0.51,0.49,0.38,0.36,0.18,0.16,0.45,0.39,0.46,0.76,0.77,0.85,1.09,0.89,0.94,Upgrade
11,EV/EBITDA Ratio,87.65,-,36.82,-,678.43,128.41,-,20.94,17.28,24.43,10.09,7.42,18.30,31.10,37.24,-116.15,-,74.57,-,30.59,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-32.72,-50.41,-,57.08,53.57,-165.90,-,-,50.46,-63.70,-73.11,-23.87,-,-79.29,-,111.27,-,Upgrade
13,EV/FCF Ratio,-,-,-,-,-,-8.07,-,-,-,1.80,-,-,2.70,-,-,-54.73,-,-122.78,-,-,-10.85,Upgrade
14,Debt / Equity Ratio,0.67,0.67,0.65,0.59,0.76,0.51,0.71,0.63,0.55,0.45,0.58,0.40,0.38,0.60,0.54,0.45,0.48,0.46,0.47,0.34,-,Upgrade
15,Debt / EBITDA Ratio,59.77,-,29.51,-,8.82,26.55,-,13.92,5.27,12.92,242.86,13.21,9.98,13.36,14.72,7.74,-,10.49,-,3.32,-,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-3.96,-,-,-,1.26,-,-,1.25,-,-,-23.96,-,-50.53,-,-,-,Upgrade
17,Asset Turnover,-,0.98,0.81,1.78,0.98,0.70,0.70,1.03,0.94,-,-,0.83,0.74,0.93,0.86,0.59,0.87,0.55,-,-,Upgrade,
18,Inventory Turnover,2.19,-,2.01,1.75,3.38,1.65,1.25,1.14,1.61,1.49,-,-,1.25,1.08,1.45,1.57,1.20,1.89,1.12,-,-,Upgrade
19,Quick Ratio,0.56,0.56,0.51,0.46,0.62,0.37,0.32,0.36,0.37,0.32,0.37,-,0.48,0.33,0.46,0.58,0.67,0.93,0.84,0.78,-,Upgrade
20,Current Ratio,1.40,1.40,1.46,1.49,1.48,1.49,1.51,1.67,1.60,1.55,1.51,-,1.59,1.99,1.86,1.85,2.23,2.31,2.09,2.08,-,Upgrade
21,Return on Equity (ROE),-,-11.40%,-3.65%,-11.00%,0.05%,-19.68%,0.01%,4.37%,0.25%,0.05%,-,0.28%,1.46%,8.42%,0.80%,-1.27%,2.52%,-0.83%,-,-,Upgrade,
22,Return on Assets (ROA),-,-0.59%,-1.86%,1.67%,0.24%,-4.81%,0.28%,2.05%,0.18%,-,-,0.17%,0.34%,0.70%,0.67%,-3.34%,0.33%,-3.61%,-,-,Upgrade,
23,Return on Capital (ROIC),-,-0.73%,-2.38%,2.44%,0.38%,-6.74%,0.40%,3.24%,0.29%,-1.09%,-,0.26%,0.46%,1.03%,0.92%,-4.10%,0.41%,-4.67%,-,-,Upgrade,
24,Return on Capital Employed (ROCE),-,-,-,-,-2.41%,-1.87%,-,1.57%,1.30%,-0.37%,-,-,1.47%,-0.83%,-0.86%,-3.73%,-,-1.26%,-,0.93%,-,Upgrade
25,Earnings Yield,-4.54%,-25.46%,-19.20%,-24.39%,-18.35%,-9.07%,-7.92%,2.18%,3.54%,1.74%,3.31%,13.73%,10.20%,8.91%,5.55%,1.14%,2.03%,3.04%,3.11%,3.58%,4.97%,Upgrade
26,FCF Yield,-8.14%,-,21.52%,32.95%,5.48%,-30.01%,-57.26%,-48.02%,-61.06%,132.49%,51.57%,-1.79%,95.29%,-102.87%,-24.81%,-2.70%,-30.61%,-0.93%,-14.44%,-5.71%,-11.19%,Upgrade
27,Dividend Yield,2.45%,-,-,-,-,-,-,-,4.36%,-,-,-,-,-,-,-,-,-,4.86%,-,-,Upgrade
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,0.03%,4.40%,20109.04%,-,395.00%,500.04%,-,0.32%,-,199.40%,-,0.23%,16.60%,Upgrade
29,Buyback Yield / Dilution,-,-,-,0.29%,-,-,-,0.03%,-0.32%,0.65%,1.30%,0.75%,1.17%,0.22%,-2.02%,-1.54%,-1.46%,-3.11%,0.08%,3.39%,Upgrade,
30,Total Shareholder Return,2.45%,-,-,-,0.29%,-,-,-,4.39%,-0.32%,0.65%,1.30%,0.75%,1.17%,0.22%,-2.02%,-1.54%,-1.46%,1.75%,0.08%,3.39%,Upgrade
