,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,+20 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010",+20 Quarters
0,Revenue,155537,123101,110406,276911,160300,112555,112938,171339,163493,113381,103079,132769,113181,146825,124116,76575,114444,73498,124167,64656,Upgrade
1,Revenue Growth (YoY),-2.97%,9.37%,-2.24%,61.62%,-1.95%,-0.73%,9.56%,29.05%,44.45%,-22.78%,-16.95%,73.38%,-1.10%,99.77%,-0.04%,18.43%,94.11%,-35.73%,6.37%,-32.85%,Upgrade
2,Cost of Revenue,144584,111228,100107,243780,145391,111694,103011,151035,148882,101828,91497,117902,99766,120113,109149,69876,101082,61954,106543,54166,Upgrade
3,Gross Profit,10952,11872,10299,33131,14909,861.05,9927,20305,14612,11553,11582,14867,13415,26713,14967,6699,13362,11545,17624,10491,Upgrade
4,"Selling, General & Admin",14087,13051,14347,28965,14268,13174,9205,14831,14114,13395,11781,14425,12589,24950,13424,13621,12663,19261,11960,13171,Upgrade
5,Operating Expenses,14087,13051,14347,28965,14268,13174,9205,14831,14114,13395,11781,14425,12589,24950,13424,13621,12663,19261,11960,13171,Upgrade
6,Operating Income,-3135,-1178,-4048,4166,641.2,-12313,721.67,5474,497.82,-1842,-198.82,441.69,825.91,1763,1543,-6922,698.98,-7717,5664,-2680,Upgrade
7,Interest Expense,-1772,-1322,-734.47,-365.91,-537.06,-852.01,-934.87,-2815,-63.75,-265.37,-663.34,-996.21,-553.31,-4594,-1849,-2713,-2608,-4556,-1899,-1412,Upgrade
8,Interest & Investment Income,1547,1681,140.81,996.38,130.63,1227,19.61,-,291.44,662,262.26,611.86,633.75,-,1313,4580,1355,-,690.17,6260,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,49.85,-,95.97,-,-75.85,15.02,-167.61,-41.69,122.23,Upgrade
10,Currency Exchange Gain (Loss),-2029,1558,470.48,-13.97,-36.65,-227.83,264.48,941.92,116.84,95.21,497.81,-512.46,-407.54,2745,558.13,-885.34,3267,5015,362.62,-933.14,Upgrade
11,Other Non Operating Income (Expenses),-128.81,-1817,-680.72,-7804,-210.28,-1281,-17.31,426.54,-562.98,624.73,1301,-10.16,1076,1741,-360.85,702.33,-33.01,7120,271.31,2484,Upgrade
