,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,26,22,23,27,23,54,72,149,249,195,236,Upgrade
1,Market Cap Growth,-16.85%,-16.85%,2.13%,-50.29%,-68.57%,-63.45%,-71.19%,-23.68%,5.65%,-24.00%,-17.86%,Upgrade
2,Enterprise Value,40,48,42,39,12,35,77,120,228,159,158,Upgrade
3,Last Close Price,0.08,0.07,0.08,0.13,0.11,0.27,0.35,0.72,1.22,0.95,1.15,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,10.85,Upgrade
5,Forward PE,-,30.84,30.84,30.84,30.84,30.84,30.84,30.84,30.84,30.84,30.84,Upgrade
6,PS Ratio,0.41,0.42,0.36,0.33,0.23,0.54,0.62,1.21,2.27,2.35,2.24,Upgrade
7,PB Ratio,19.61,16.77,0.58,0.26,0.20,0.21,0.22,0.40,0.64,0.43,0.47,Upgrade
8,P/TBV Ratio,16.77,16.77,0.58,0.26,0.20,0.20,0.22,0.41,0.65,0.43,0.48,Upgrade
9,P/FCF Ratio,-,-,-,-,-26.19,-,-,-,-16.98,-,-,Upgrade
10,P/OCF Ratio,-,-,-,-,3.15,-,-,-,-110.11,-,79.40,Upgrade
11,PEG Ratio,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,Upgrade
12,EV/Sales Ratio,0.74,0.90,0.66,0.48,0.13,0.35,0.67,0.98,2.08,1.92,1.49,Upgrade
13,EV/FCF Ratio,-2.10,-,-,-,-14.30,-,-,-,-15.55,-,-,Upgrade
14,Debt / Equity Ratio,21.51,21.51,1.07,0.39,0.34,0.17,0.19,0.15,0.06,0.05,0.12,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-44.67,-,-,-,-1.71,-,-,Upgrade
16,Earnings Yield,-204.85%,-239.52%,-230.34%,-178.92%,-211.63%,-103.96%,-87.97%,-61.88%,-45.83%,-12.28%,9.22%,Upgrade
17,FCF Yield,-72.58%,-84.86%,-76.77%,-8.67%,-3.82%,-54.96%,-76.61%,-17.56%,-5.89%,-12.60%,-1.42%,Upgrade
18,Buyback Yield / Dilution,-41.89%,-46.42%,-37.32%,-0.67%,0.00%,0.00%,-,-,-,-,-,Upgrade
19,Total Shareholder Return,-41.89%,-46.42%,-37.32%,-0.67%,0.00%,0.00%,-,-,-,-,-,Upgrade
