,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5842,4909,5173,3654,4565,5362,4796,4059,5569,5519,5721,6556,8953,6631,5584,8032,7334,-,-,-,-
1,Market Cap Growth,-8.43%,-8.43%,7.85%,-9.99%,-18.02%,-2.86%,-16.16%,-38.08%,-37.81%,-16.76%,2.44%,-18.38%,22.08%,-,-,-,-,-,-,-,-
2,Enterprise Value,3191,2259,2505,971,1851,2648,1905,555,2052,2003,2111,2780,6453,4130,3201,5565,6893,-,-,-,-
3,Last Close Price,75.32,63.30,65.29,46.12,55.44,65.12,58.56,49.56,61.02,60.48,61.48,70.46,93.39,69.16,58.25,83.77,75.47,-,-,-,-
4,PE Ratio,19.67,16.17,18.70,15.66,24.70,29.69,-64.76,-87.09,31.60,-,3.48,3.76,5.38,8.66,7.12,11.63,9.20,-,-,-,-
5,PS Ratio,6.87,5.64,6.36,4.79,6.35,7.10,5.11,3.86,3.65,1.63,1.47,1.65,2.43,3.54,3.67,6.26,5.41,-,-,-,-
6,PB Ratio,1.51,1.26,1.33,0.96,1.19,1.40,1.28,1.09,1.32,1.32,1.32,1.50,2.07,2.03,1.87,2.83,2.65,-,-,-,-
7,P/TBV Ratio,1.30,1.30,1.37,0.99,1.22,1.44,1.32,1.12,1.35,1.36,1.35,1.51,2.09,2.04,1.89,2.86,2.68,-,-,-,-
8,P/FCF Ratio,-,-,98.00,-24.80,-,-10.54,-,-,-,5.06,-,-,5.65,8.46,10.00,19.45,13.71,-,-,-,-
