,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,251.77,222.93,195.17,199.92,192.32,172.62,151.19,236.14,377.03,287.38,623.77,2099,875.71,361.51,347.11,288.24,524.83,123.31,419.16,67.72
1,Other Revenue,-,-1.41,1.41,-,2.44,-0.53,0.53,-,1.47,-0.84,0.84,-,0.86,-0.22,0.22,-,0.54,-0.23,0.23,-
2,Revenue,251.77,221.52,196.58,199.92,194.76,172.09,151.71,236.14,378.5,286.54,624.61,2099,876.57,361.29,347.32,288.24,525.36,123.08,419.39,67.72
3,Revenue Growth (YoY),29.27%,28.72%,29.58%,-15.34%,-48.54%,-39.94%,-75.71%,-88.75%,-56.82%,-20.69%,79.84%,628.17%,66.85%,193.53%,-17.18%,325.63%,-,-,-,-
4,Cost of Revenue,-280.74,93.96,87.08,99.7,89,89.34,90.63,111.69,410.13,152.04,326.4,674.49,520.18,138.29,102.55,82.86,110.49,25.54,49.82,18.32
5,Gross Profit,532.51,127.56,109.5,100.22,105.76,82.75,61.08,124.44,-31.63,134.49,298.21,1424,356.39,223,244.78,205.39,414.87,97.54,369.56,49.4
6,"Selling, General & Admin",-87.52,27.34,35.88,24.31,39.97,28.79,32.26,34.85,30.65,55.78,78.95,63.02,26.56,18.48,24.63,12.81,22.03,9.98,21.23,4.84
7,Research & Development,-71.5,22.35,26,23.16,31.48,23.81,29.76,36.12,47.92,59.44,53.09,46.84,29.27,28.14,20.23,17.82,20.58,9.92,15.7,8.9
8,Other Operating Expenses,514.16,1.2,2,1.25,2.95,-6.17,-0.45,1.01,33.22,-1.65,-1.73,-2.29,3.17,4.62,0.06,2.02,7.42,3.01,0.25,-0.09
