,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5939,4519,4193,4345,5480,5214,5966,5910,5118,4962,6109,6249,-,-,-,-,-,-,-,-
1,Market Cap Growth,-13.32%,-13.32%,-29.72%,-26.48%,7.07%,5.08%,-2.33%,-5.42%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5086,3595,3192,3248,4383,4037,4654,4352,3560,3335,4343,6307,-,-,-,-,-,-,-,-
3,Last Close Price,25.69,19.55,17.84,18.48,23.31,22.18,25.38,24.61,21.31,20.66,25.44,25.73,-,-,-,-,-,-,-,-
4,PE Ratio,741.14,-,271.47,4628.92,-,89.13,-,49.98,37.22,33.31,33.31,30.22,-,-,-,-,-,-,-,-
5,Forward PE,50.37,18.25,18.25,18.25,18.25,18.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.41,2.80,2.70,2.87,3.73,3.46,4.03,3.94,3.27,3.16,3.81,3.89,-,-,-,-,-,-,-,-
7,PB Ratio,2.01,1.54,1.41,1.44,1.83,1.74,1.99,1.90,1.66,1.63,2.03,2.05,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.59,1.59,1.45,1.49,1.89,1.79,2.06,1.96,1.71,1.67,2.08,2.10,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-20.01,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,69.54,69.54,-,40.02,73.30,50.40,41.99,-,26.77,23.32,29.89,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.15,2.23,2.05,2.14,2.98,2.68,3.15,2.90,2.28,2.13,2.71,3.93,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,176.70,122.08,135.13,2412.08,-,91.95,-,39.09,25.27,18.77,19.52,23.30,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-62.66,-,-,-,71.62,39.25,26.02,25.10,28.60,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-29.88,-,-,-,-,-,-15.61,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.20,0.21,-,0.23,0.23,0.23,0.30,0.30
16,Debt / EBITDA Ratio,1.06,0.65,1.39,0.30,-,0.31,-,0.24,0.25,0.31,0.36,0.27,0.78,0.70,-,0.86,0.57,0.57,1.24,1.24
17,Debt / FCF Ratio,-,-,-,-,-,-,-0.02,-,-,-,-,-,-,-5.58,-,11.60,-,-,2.59,5.17
18,Asset Turnover,0.47,0.42,0.41,0.41,0.42,0.40,0.37,0.46,0.40,0.43,0.62,1.06,-,-,-,1.02,1.06,0.79,-,
19,Inventory Turnover,6.35,6.44,6.15,5.70,7.07,6.13,6.10,4.84,5.88,4.37,4.82,5.09,6.08,-,-,-,7.08,7.27,5.55,-
20,Quick Ratio,2.31,2.31,2.61,2.29,2.68,3.06,3.67,4.16,3.96,5.44,5.26,5.24,1.54,1.54,-,-,1.63,1.63,1.48,1.48
21,Current Ratio,2.71,2.71,3.03,2.65,3.05,3.49,4.15,4.69,4.46,6.10,5.88,5.81,1.94,1.95,-,-,1.92,1.92,1.77,1.77
22,Return on Equity (ROE),-0.92%,0.57%,2.50%,-1.33%,0.15%,-1.38%,2.71%,6.21%,2.48%,4.12%,7.87%,23.27%,-,-,17.03%,29.56%,31.85%,16.98%,-,
23,Return on Assets (ROA),-0.12%,-0.71%,0.99%,-1.92%,-0.47%,-2.18%,1.13%,0.97%,1.21%,0.90%,4.43%,8.08%,-,-,-,13.22%,13.79%,6.47%,-,
24,Return on Capital (ROIC),-0.15%,-0.90%,1.24%,-2.35%,-0.57%,-2.58%,1.33%,1.14%,1.40%,1.05%,5.34%,10.60%,-,-,10.66%,17.39%,18.25%,8.62%,-,
25,Return on Capital Employed (ROCE),-,-,-,-1.69%,-,-,-,1.93%,2.89%,4.13%,5.65%,7.11%,20.05%,23.70%,-,-,24.12%,15.80%,8.66%,4.33%
26,Earnings Yield,0.13%,0.18%,0.37%,0.02%,0.04%,1.12%,1.28%,2.00%,2.69%,3.00%,3.00%,3.31%,-,-,-,-,-,-,-,-
27,FCF Yield,-2.87%,-3.77%,-4.91%,-3.48%,-4.69%,-5.44%,-5.00%,-6.49%,-6.07%,-5.48%,-3.19%,-2.46%,-,-,-,-,-,-,-,-
28,Dividend Yield,0.79%,-,0.56%,-,-,-,-,-,2.35%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,361.59%,-,12.47%,2.96%,-,13.71%,-,2.05%,3.18%,3.52%,221.85%,3.78%,2.82%,5.12%,5.05%,6.01%,3.79%,3.79%,8.77%,8.77%
30,Buyback Yield / Dilution,8.41%,-22.29%,19.82%,-6.03%,33.59%,14.90%,-25.07%,1.71%,-32.39%,-28.53%,-27.75%,-32.57%,-0.35%,3.07%,-1.02%,-2.73%,-,-,-,-
31,Total Shareholder Return,9.21%,-22.29%,20.38%,-6.03%,33.59%,14.90%,-25.07%,1.71%,-30.04%,-28.53%,-27.75%,-32.57%,-0.35%,3.07%,-1.02%,-2.73%,-,-,-,-
