,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,160.39,143.16,123.39,89.97,125.61,126.6,113.12,90.83,79.26,88.33,Upgrade
1,Revenue Growth (YoY),29.99%,59.13%,-1.77%,-28.94%,11.05%,39.38%,42.72%,2.84%,-32.53%,2.73%,Upgrade
2,Cost of Revenue,71.48,75.22,80.79,61.06,84.8,85.64,82.16,75.23,60.62,74.35,Upgrade
3,Gross Profit,88.91,67.95,42.59,28.9,40.81,40.96,30.96,15.6,18.64,13.98,Upgrade
4,"Selling, General & Admin",58.69,75.27,41.64,44.18,36.22,49.7,31.85,34.67,31.34,35.5,Upgrade
5,Other Operating Expenses,-0.47,-0.14,-1.21,0.14,-1.04,-1.62,-0.55,1.94,-4.44,0.46,Upgrade
6,Operating Expenses,58.22,75.48,40.44,44.15,35.18,48.08,31.29,36.7,26.9,35.7,Upgrade
7,Operating Income,30.69,-7.54,2.16,-15.25,5.63,-7.12,-0.34,-21.1,-8.26,-21.73,Upgrade
8,Interest Expense,-1.96,-1.75,-1.47,-1.76,-2.09,-1.78,-1.94,-1.7,-1.96,-1.74,Upgrade
9,Interest & Investment Income,0.14,0.82,0.26,0.3,0.2,0.37,0.21,0.3,0.14,0.37,Upgrade
10,Earnings From Equity Investments,-,-,-,-,-,-,-,-0.73,-,-,Upgrade
11,Currency Exchange Gain (Loss),0.99,-2.83,4.9,6.3,6.95,-2.76,-1.64,-10.13,-,2.83,Upgrade
12,EBT Excluding Unusual Items,29.87,-11.3,5.84,-10.41,10.69,-11.3,-3.71,-33.36,-10.09,-20.27,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0,1.53,-29.12,Upgrade
14,Gain (Loss) on Sale of Assets,-5.78,-8.98,0.02,-0.03,0.01,-2.08,0.25,-0.04,-0.03,-2.42,Upgrade
15,Asset Writedown,-,-56.18,-,-,-,-0.11,-,-13.1,-,-,Upgrade
16,Other Unusual Items,-,-,-,0.21,0.07,-,-,1.2,-,-,Upgrade
17,Pretax Income,24.08,-76.46,5.86,-10.23,10.77,-13.49,-3.46,-45.31,-8.59,-51.81,Upgrade
18,Income Tax Expense,13.55,9.32,-0.05,0.09,-0.21,0.01,-0.04,-2.66,-0.02,-1.3,Upgrade
19,Earnings From Continuing Operations,10.53,-85.78,5.91,-10.32,10.98,-13.49,-3.42,-42.65,-8.56,-50.51,Upgrade
20,Net Income to Company,10.53,-85.78,5.91,-10.32,10.98,-13.49,-3.42,-42.65,-8.56,-50.51,Upgrade
21,Minority Interest in Earnings,0.31,13.34,-2.52,-0.16,-2.39,0.14,-0.73,4.67,-0.37,1.42,Upgrade
22,Net Income,10.85,-72.44,3.39,-10.48,8.59,-13.36,-4.15,-37.98,-8.93,-49.09,Upgrade
23,Net Income to Common,10.85,-72.44,3.39,-10.48,8.59,-13.36,-4.15,-37.98,-8.93,-49.09,Upgrade
24,Net Income Growth,219.56%,-,-60.48%,-,-,-,-,-,-,-,Upgrade
25,Shares Outstanding (Basic),573,558,558,553,465,465,465,465,465,465,Upgrade
26,Shares Outstanding (Diluted),588,558,558,553,465,465,465,465,465,465,Upgrade
27,Shares Change (YoY),5.48%,0.88%,20.00%,18.96%,-,-,-,-,-,-,Upgrade
28,EPS (Basic),0.02,-0.13,0.01,-0.02,0.02,-0.03,-0.01,-0.08,-0.02,-0.11,Upgrade
29,EPS (Diluted),0.02,-0.13,0.01,-0.02,0.02,-0.03,-0.01,-0.08,-0.02,-0.11,Upgrade
30,EPS Growth,199.98%,-,-67.52%,-,-,-,-,-,-,-,Upgrade
31,Free Cash Flow,-8.39,6.54,-19.72,18.11,-16.67,31.75,-15.63,12.4,-14.42,0.76,Upgrade
32,Free Cash Flow Per Share,-0.01,0.01,-0.04,0.03,-0.04,0.07,-0.03,0.03,-0.03,0.00,Upgrade
33,Operating Margin,19.13%,-5.26%,1.75%,-16.95%,4.48%,-5.63%,-0.30%,-23.23%,-10.43%,-24.60%,Upgrade
34,Profit Margin,6.76%,-50.60%,2.75%,-11.64%,6.84%,-10.55%,-3.67%,-41.81%,-11.26%,-55.58%,Upgrade
35,Free Cash Flow Margin,-5.23%,4.57%,-15.98%,20.13%,-13.27%,25.08%,-13.82%,13.65%,-18.19%,0.86%,Upgrade
36,EBITDA,36.7,-1.4,8,-8.21,12.99,-0.69,7.56,-14.36,-1.94,-15.43,Upgrade
37,D&A For EBITDA,6.01,6.14,5.84,7.04,7.37,6.43,7.9,6.74,6.32,6.3,Upgrade
38,EBIT,30.69,-7.54,2.16,-15.25,5.63,-7.12,-0.34,-21.1,-8.26,-21.73,Upgrade
