,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,390.05,386.5,385.59,330.62,281.8,285.56,339.3,224.96,180.08,200.9,178.82,146.69,138.93,144.96,136.28
1,Revenue Growth (YoY),38.42%,35.35%,13.64%,46.97%,56.48%,42.14%,89.74%,53.36%,29.62%,38.59%,31.22%,-,-,-,-
2,Cost of Revenue,243.7,228.33,261.24,216.52,199.64,193.71,216.08,140.43,100.36,116.38,100.88,74.41,69.41,69.95,60.67
3,Gross Profit,146.36,158.17,124.35,114.1,82.16,91.84,123.22,84.53,79.72,84.53,77.94,72.28,69.52,75.01,75.61
4,"Selling, General & Admin",17.31,21.13,17.31,15.33,17.59,17.67,18,11.59,11.59,13.47,8.76,6.28,6.42,8.45,7.68
5,Research & Development,0.32,0.47,0.32,0.98,-,0.22,0.34,0.47,0.35,0.51,0.34,0.42,0.32,0.48,0.36
6,Other Operating Expenses,-0.4,1.86,1,8.78,-2.56,-3.43,-0,8.25,-0.46,-1.97,-4.54,15.73,-2.29,-12.29,-0.27
7,Operating Expenses,16.58,21.8,19.65,28.07,15.05,9.98,22.02,21.54,11.34,13,6.36,20.05,4.46,-4.33,10.59
8,Operating Income,129.78,136.38,104.7,86.03,67.11,81.86,101.19,62.99,68.38,71.53,71.58,52.23,65.06,79.34,65.02
9,Interest Expense,-9.36,-10.93,-9.56,-10.04,-9.58,-10.28,-9.53,-5.87,-2.54,-3.57,-3.8,-2.78,-3.45,-3.12,-3.73
10,Interest & Investment Income,3.94,2.89,3.1,3.46,3.51,3.28,5.33,1.38,6.93,6.32,0.93,1.06,0.87,0.79,0.73
11,Currency Exchange Gain (Loss),-4.41,4.41,-,-2.05,-1.94,1.94,-,-2.66,-,-,-,-,-,-,-
12,Other Non Operating Income (Expenses),-0.39,-1.22,0.94,-1.34,1.3,-1.87,-0.45,6.83,-1.78,-2.26,-3.01,0.28,-0.12,-0.05,-0.13
13,EBT Excluding Unusual Items,119.56,131.52,99.19,76.07,60.4,74.93,96.54,62.67,70.99,72.02,65.69,50.79,62.36,76.97,61.89
14,Gain (Loss) on Sale of Investments,-2.21,0.91,0.5,-0.25,0.98,0.41,0.47,2.47,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,10.84,0.03,-,-,-,-,-,-,1.57,-0.01,0.02,-,0,-0,0.17
16,Asset Writedown,-,-,-,-0,-,-,-,-0.01,-,-,-,-0,-,-,-
17,Other Unusual Items,-2.25,-0.14,0.02,22.64,-0.72,0.72,-,0.9,-,-,-,13.97,-,-,-
18,Pretax Income,125.94,132.32,99.71,98.45,60.66,76.06,97.01,66.04,72.56,72.01,65.72,64.76,62.36,76.97,62.05
19,Income Tax Expense,26.25,27.74,20.55,23.14,13.83,15.71,18.54,16.63,18.66,18.02,16.76,16.11,15.76,18.82,16.37
20,Earnings From Continuing Operations,99.68,104.58,79.15,75.31,46.83,60.36,78.47,49.4,53.9,53.99,48.95,48.65,46.6,58.15,45.68
21,Minority Interest in Earnings,-2.04,-1.71,-1.71,-5.2,-1.8,-0.31,-1.46,-,-,-,-,-,-,-,-
22,Net Income,97.64,102.87,77.45,70.11,45.03,60.05,77.01,49.4,53.9,53.99,48.95,48.65,46.6,58.15,45.68
23,Net Income to Common,97.64,102.87,77.45,70.11,45.03,60.05,77.01,49.4,53.9,53.99,48.95,48.65,46.6,58.15,45.68
24,Net Income Growth,116.84%,71.31%,0.57%,41.91%,-16.47%,11.23%,57.32%,1.54%,15.67%,-7.15%,7.15%,-,-,-,-
25,Shares Outstanding (Basic),271,278,277,280,281,284,275,273,281,283,208,206,211,208,213
26,Shares Outstanding (Diluted),271,278,277,280,281,284,275,273,281,283,208,206,211,208,213
27,Shares Change (YoY),-3.63%,-2.17%,0.57%,2.76%,-0.07%,0.67%,32.43%,32.20%,33.58%,35.73%,-2.58%,-,-,-,-
28,EPS (Basic),0.36,0.37,0.28,0.25,0.16,0.21,0.28,0.18,0.19,0.19,0.24,0.24,0.22,0.28,0.21
29,EPS (Diluted),0.36,0.37,0.28,0.25,0.16,0.21,0.28,0.18,0.19,0.19,0.24,0.24,0.22,0.28,0.21
30,EPS Growth,125.00%,75.11%,0%,38.10%,-16.41%,10.49%,18.80%,-23.19%,-13.41%,-31.60%,9.99%,-,-,-,-
31,Free Cash Flow,-99.25,-36.44,1.87,-127.5,-216.69,-6.39,-130.29,-424.17,-222.94,70.3,-80.66,13.98,18.3,90.36,-35.73
32,Free Cash Flow Per Share,-0.37,-0.13,0.01,-0.45,-0.77,-0.02,-0.47,-1.55,-0.79,0.25,-0.39,0.07,0.09,0.43,-0.17
33,Dividend Per Share,-,-,-,0.150,-,-,-,0.107,-,-,-,0.107,-,-,-
34,Dividend Growth,-,-,-,40.06%,-,-,-,0%,-,-,-,-,-,-,-
35,Gross Margin,37.52%,40.92%,32.25%,34.51%,29.16%,32.16%,36.32%,37.58%,44.27%,42.07%,43.59%,49.27%,50.04%,51.74%,55.48%
36,Operating Margin,33.27%,35.28%,27.15%,26.02%,23.81%,28.67%,29.82%,28.00%,37.97%,35.60%,40.03%,35.60%,46.83%,54.74%,47.71%
37,Profit Margin,25.03%,26.62%,20.09%,21.20%,15.98%,21.03%,22.70%,21.96%,29.93%,26.87%,27.37%,33.16%,33.54%,40.11%,33.52%
38,Free Cash Flow Margin,-25.45%,-9.43%,0.48%,-38.56%,-76.89%,-2.24%,-38.40%,-188.55%,-123.80%,34.99%,-45.10%,9.53%,13.17%,62.34%,-26.22%
39,EBITDA,165.22,180.56,140.14,121.47,82.02,114.16,116.11,77.9,79.72,85.17,82.92,63.56,70.09,90.55,70.05
40,EBITDA Margin,42.36%,46.72%,36.35%,36.74%,29.11%,39.98%,34.22%,34.63%,44.27%,42.39%,46.37%,43.33%,50.45%,62.46%,51.40%
41,D&A For EBITDA,35.45,44.18,35.45,35.45,14.92,32.29,14.92,14.92,11.34,13.64,11.34,11.34,5.03,11.2,5.03
42,EBIT,129.78,136.38,104.7,86.03,67.11,81.86,101.19,62.99,68.38,71.53,71.58,52.23,65.06,79.34,65.02
43,EBIT Margin,33.27%,35.28%,27.15%,26.02%,23.81%,28.67%,29.82%,28.00%,37.97%,35.60%,40.03%,35.60%,46.83%,54.73%,47.71%
44,Effective Tax Rate,20.85%,20.96%,20.61%,23.50%,22.80%,20.65%,19.11%,25.19%,25.71%,25.03%,25.51%,24.88%,25.27%,24.45%,26.38%
