,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,418.22,494.15,489.25,429.73,438.18,619.92,555.97,557.39,989.69,711.99,1196,238.69,-,-,-
1,Short-Term Investments,-,-,-,-,-,3.78,3.25,3.73,-,-,-,-,-,-,-
2,Trading Asset Securities,51.16,21.71,1.23,20.04,145.44,100.45,110.47,124.03,180,524.48,9.5,-,-,-,-
3,Cash & Short-Term Investments,469.38,515.86,490.48,449.77,583.61,724.15,669.69,685.14,1170,1236,1206,238.69,-,-,170.65
4,Cash Growth,-19.57%,-28.76%,-26.76%,-34.35%,-50.11%,-41.43%,-44.45%,187.05%,-,-,606.44%,-,-,-,-
5,Accounts Receivable,113.61,115.5,158.85,126.71,139.51,157.86,225.17,137.58,113.79,98.47,81.33,56.27,-,-,-
6,Other Receivables,20.2,0.99,10.53,1.16,10.73,3.15,25.14,154.48,7.38,12.31,10.71,-,-,-,-
7,Receivables,133.81,116.49,169.39,127.87,150.24,161.01,250.31,292.06,121.17,110.78,92.05,56.27,-,-,-
8,Inventory,39.85,38.32,43.04,49.55,37.9,44.91,39.47,31.89,16.32,14.82,14.99,11,-,-,-
9,Other Current Assets,17.57,30.32,33.62,58.2,38.15,37.31,34.84,34.02,11.57,6.58,22.53,18.27,-,-,-
10,Total Current Assets,660.61,700.98,736.52,685.39,809.9,967.37,994.31,1043,1319,1369,1335,324.21,-,-,-
11,"Property, Plant & Equipment",3212,3080,2924,2848,2475,2287,2190,1618,1103,1035,993.92,906.38,-,-,-
12,Long-Term Investments,73.7,84.02,52.32,62.33,50.71,60.37,48.9,10.37,-,3.67,-,3.62,-,-,-
13,Goodwill,32,32,32,32,32,32,32,-,-,-,-,-,-,-,-
14,Other Intangible Assets,16.54,16.8,17.05,17.31,16.35,16.58,16.81,0.91,0.94,0.97,1,1.03,-,-,-
