,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4388,4578,3819,3833,4561,4550,5939,7230,7264,5704,4544,5560,-,-,-,-
1,Market Cap Growth,0.62%,0.62%,-35.70%,-46.99%,-37.21%,-20.23%,30.70%,30.04%,-,-,-,-,-,-,-,-
2,Enterprise Value,5446,5564,4766,4743,5124,4852,6210,6589,6623,4808,3699,5637,-,-,-,-
3,Last Close Price,15.91,16.60,13.84,13.76,16.13,16.09,21.01,25.44,25.56,20.07,15.89,19.44,-,-,-,-
4,PE Ratio,12.64,13.15,12.93,15.17,18.09,19.66,24.71,30.86,35.22,27.76,22.93,27.48,-,-,-,-
5,Forward PE,12.83,13.53,12.81,11.08,14.06,12.35,16.77,23.44,25.82,20.08,17.02,-,-,-,-,-
6,PS Ratio,2.95,3.07,2.76,2.99,3.69,4.02,5.77,7.65,9.26,8.07,6.83,9.12,-,-,-,-
7,PB Ratio,1.76,1.71,1.49,1.53,1.87,1.99,2.64,3.27,3.57,2.87,2.35,2.91,-,-,-,-
8,P/TBV Ratio,1.91,1.91,1.67,1.73,2.11,2.13,2.83,3.51,3.57,2.87,2.35,2.91,-,-,-,-
9,P/FCF Ratio,-,-,-,-10.99,-,-,-,-,-,-,207.30,-,-,-,-,-
10,P/OCF Ratio,7.88,7.88,6.68,6.61,8.75,10.26,16.12,25.04,29.13,19.73,15.05,16.88,-,-,-,-
11,EV/Sales Ratio,3.65,3.73,3.44,3.70,4.14,4.29,6.03,6.97,8.44,6.80,5.56,9.25,-,-,-,-
12,EV/EBITDA Ratio,8.23,9.16,9.09,10.36,11.81,12.44,16.01,18.36,20.34,15.44,12.26,18.35,-,-,-,-
13,EV/EBIT Ratio,11.92,12.18,12.09,13.96,15.24,15.50,19.75,21.67,24.13,18.23,14.20,21.02,-,-,-,-
14,EV/FCF Ratio,-20.84,-,-,-13.60,-,-,-,-,-,-,168.73,-,-,-,-,-
15,Debt / Equity Ratio,0.48,0.48,0.49,0.48,0.46,0.45,0.41,0.38,0.38,0.27,0.18,0.19,0.36,-,-,0.47
16,Debt / EBITDA Ratio,1.95,1.96,1.75,2.15,2.30,3.17,2.02,1.80,2.51,1.66,1.00,1.09,1.24,-,-,1.14
17,Debt / FCF Ratio,-,-,-,-3.46,-,-,-,-,-,-,15.51,-,3.63,-,-,-
18,Asset Turnover,0.37,0.38,0.40,0.35,0.31,0.33,0.43,0.32,0.29,0.34,0.39,-,-,-,-,
19,Inventory Turnover,24.43,24.94,22.45,22.57,19.81,19.29,18.37,24.22,23.30,25.78,31.23,31.06,-,-,-,-
20,Quick Ratio,0.91,0.91,0.82,1.05,1.01,1.72,2.34,2.36,3.03,5.66,5.43,6.89,1.91,-,-,-
21,Current Ratio,1.00,1.00,0.91,1.17,1.20,1.90,2.56,2.55,3.23,5.78,5.52,7.08,2.10,-,-,-
22,Return on Equity (ROE),15.20%,16.52%,12.83%,12.75%,8.25%,10.81%,14.78%,9.83%,11.00%,11.24%,14.08%,-,-,-,-,
23,Return on Assets (ROA),7.73%,8.44%,6.78%,5.74%,4.65%,5.89%,7.95%,5.68%,6.80%,7.47%,9.88%,-,-,-,-,
24,Return on Capital (ROIC),8.31%,9.04%,7.20%,6.24%,5.16%,6.58%,8.62%,5.90%,7.14%,7.87%,10.36%,-,-,-,-,
25,Return on Capital Employed (ROCE),12.78%,12.78%,11.67%,10.32%,10.41%,9.60%,9.99%,10.03%,10.48%,11.09%,11.98%,12.32%,23.73%,-,-,-
26,Earnings Yield,7.93%,7.60%,7.74%,6.59%,5.53%,5.09%,4.05%,3.24%,2.84%,3.60%,4.36%,3.64%,-,-,-,-
27,FCF Yield,-5.96%,-5.71%,-9.92%,-9.10%,-10.54%,-17.09%,-13.20%,-9.78%,-9.05%,-3.84%,0.48%,0.76%,-,-,-,-
28,Dividend Yield,0.92%,-,-,-,0.93%,-,-,-,0.42%,-,-,-,-,-,-,-
29,Payout Ratio,23.31%,14.34%,48.72%,17.24%,5.22%,34.08%,60.09%,8.12%,11.66%,77.25%,-,8.14%,6.45%,7.43%,6.30%,8.23%
30,Buyback Yield / Dilution,0.65%,3.63%,2.17%,-0.57%,-2.76%,0.07%,-0.67%,-32.43%,-32.20%,-33.58%,-35.73%,2.58%,-,-,-,-
31,Total Shareholder Return,1.57%,3.63%,2.17%,-0.57%,-1.83%,0.07%,-0.67%,-32.43%,-31.78%,-33.58%,-35.73%,2.58%,-,-,-,-
