,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,250.86,300.8,364.52,438,405.99,429.43,483.73,558.12,537.46,569.5,623.03,670.99,-,-,-
1,Cash & Short-Term Investments,250.86,300.8,364.52,438,405.99,429.43,483.73,558.12,537.46,569.5,623.03,670.99,-,-,174.77
2,Cash Growth,-38.21%,-29.95%,-24.64%,-21.52%,-24.46%,-24.60%,-22.36%,-16.82%,-,-,256.48%,-,-,-,-
3,Accounts Receivable,229.79,231.39,234.55,254.59,215.69,224.31,227.7,248.3,210.56,217.52,209.6,234.82,-,-,-
4,Other Receivables,18.11,18.27,18.99,18.85,20.9,21.65,21.51,20.96,31.54,22.6,22.83,22.07,-,-,-
5,Receivables,247.9,249.66,253.54,273.44,236.59,245.96,249.21,269.25,242.09,240.12,232.44,256.89,-,-,-
6,Inventory,199.61,191.31,165.31,126.38,145.75,120.14,104.74,72.5,133.85,122.82,101.63,66.72,-,-,-
7,Prepaid Expenses,-,-,-,2.92,-,-,-,4.03,-,-,-,-,-,-,-
8,Other Current Assets,6.98,7.57,5.96,1.46,7.05,4.95,5.99,3.78,12.22,2.87,2.56,2.01,-,-,-
9,Total Current Assets,705.35,749.34,789.33,842.2,795.39,800.48,843.67,907.68,925.63,935.31,959.64,996.6,-,-,-
10,"Property, Plant & Equipment",133.67,135.1,120.56,125.12,114.95,91.14,96.01,100.79,62.38,63.29,26.76,21.87,-,-,-
11,Other Intangible Assets,3.01,3.16,3.1,2.85,3,2.47,2.61,2.73,1.68,1.25,1.22,1.27,-,-,-
12,Long-Term Accounts Receivable,-,6.19,-,6.98,-,7.01,-,6.71,3.98,3.52,4.29,4.67,-,-,-
13,Long-Term Deferred Tax Assets,58.72,50.63,47.92,39.86,55.99,43.94,40.01,28.22,27.49,14.57,9.53,5.45,-,-,-
14,Long-Term Deferred Charges,10.68,6.73,6.74,7.25,7.77,8.31,7.65,7.63,5.14,0.88,1.06,1.34,-,-,-
15,Other Long-Term Assets,7.72,2.32,23.99,5.33,15.55,32.77,21.45,8.55,-,-,-,-,-,-,-
16,Total Assets,919.16,953.47,991.64,1030,992.65,986.11,1011,1062,1026,1019,1003,1031,-,-,-
17,Accounts Payable,6.37,6.74,5.43,11.81,5.98,9.64,11.49,40.76,7.19,6.68,8.93,11.89,-,-,-
18,Accrued Expenses,31.61,57.15,41,63.68,32.87,49.51,31.65,55.09,33.02,47.79,34.96,61.3,-,-,-
19,Current Portion of Leases,12.95,11.93,10.95,11.24,13,13.1,13.84,13.77,21.87,16.81,8.23,7.35,-,-,-
20,Current Income Taxes Payable,18.92,0.02,19.83,0.04,17.47,0.01,15.82,0.03,15.13,0.01,15.31,6.66,-,-,-
21,Current Unearned Revenue,74.3,61.14,53.2,49.95,87.34,78.54,70.27,57.57,71.32,66.74,49.83,40.02,-,-,-
22,Other Current Liabilities,4.23,1.61,3.6,1.87,3.9,1.5,3.53,1.74,3.66,7.28,3.22,1.52,-,-,-
23,Total Current Liabilities,148.37,138.58,134.01,138.59,160.55,152.3,146.59,168.95,152.18,145.31,120.48,128.73,-,-,-
24,Long-Term Leases,16.61,18.06,18.55,20.83,22.56,24.02,27.61,30.85,32.9,36.3,9.52,6.23,-,-,-
25,Long-Term Unearned Revenue,0.31,0.05,0.05,0.17,0.43,0.72,0.88,1.01,0.49,0.05,0.29,0.37,-,-,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,5.49,5.79,6.34,-,-,-,-,-,-,-,-
27,Total Liabilities,165.3,156.69,152.61,159.59,189.03,182.82,181.42,200.8,185.57,181.66,130.29,135.32,-,-,-
28,Common Stock,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,-,-,-
29,Additional Paid-In Capital,631.92,631.92,627.61,627.61,627.61,625.33,625.33,625.33,625.33,623.9,623.9,623.9,-,-,-
30,Retained Earnings,28.11,70.61,116.82,147.25,80.65,82.24,108.57,139.69,118.66,133.34,168.22,191.69,-,-,-
31,Comprehensive Income & Other,0.03,0.05,0.03,0.03,0.05,0.05,0,0.02,0.03,-0.03,-0.07,-0.07,-,-,-
32,Total Common Equity,737.41,779.93,821.81,852.25,785.66,784.97,811.26,842.4,821.36,834.56,869.4,892.87,-,-,322.17
33,Minority Interest,16.44,16.85,17.21,17.74,17.95,18.32,18.71,19.1,19.36,2.61,2.83,3.01,-,-,-
34,Shareholders' Equity,753.85,796.78,839.03,869.99,803.62,803.29,829.97,861.5,840.73,837.17,872.22,895.88,-,-,322.17
35,Total Liabilities & Equity,919.16,953.47,991.64,1030,992.65,986.11,1011,1062,1026,1019,1003,1031,-,-,-
36,Total Debt,29.57,29.99,29.49,32.07,35.56,37.11,41.45,44.62,54.77,53.12,17.75,13.58,-,-,-
37,Net Cash (Debt),221.29,270.81,335.03,405.93,370.43,392.32,442.28,513.5,482.69,516.38,605.28,657.41,-,-,174.77
38,Net Cash Growth,-40.26%,-30.97%,-24.25%,-20.95%,-23.26%,-24.03%,-26.93%,-21.89%,-,-,246.33%,-,-,-,-
39,Net Cash Per Share,2.86,3.51,4.31,5.71,4.80,5.08,5.76,6.68,6.23,6.67,7.74,9.79,-,-,3.07
40,Filing Date Shares Outstanding,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,50.76,57.48,57.01
41,Total Common Shares Outstanding,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,77.35,50.76,57.48,57.01
42,Working Capital,556.98,610.76,655.31,703.61,634.84,648.18,697.08,738.73,773.45,790,839.16,867.87,-,-,-
43,Book Value Per Share,9.53,10.08,10.62,11.02,10.16,10.15,10.49,10.89,10.62,10.79,11.24,11.54,-,-,5.55
44,Tangible Book Value,734.4,776.77,818.72,849.39,782.66,782.5,808.65,839.67,819.69,833.31,868.18,891.6,-,-,320.94
45,Tangible Book Value Per Share,9.49,10.04,10.58,10.98,10.12,10.12,10.45,10.86,10.60,10.77,11.22,11.53,-,-,5.53
46,Buildings,-,71.77,-,71.77,-,44.13,-,44.13,-,-,-,-,-,-,-
47,Machinery,-,23.78,-,23.52,-,22.14,-,22.26,-,18.78,-,16.66,-,-,-
48,Construction In Progress,-,27.74,-,12.64,-,-,-,-,-,-,-,-,-,-,-
