,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,60.54,45.94,20.28,212.53,61.54,42.01,18.6,184.08,57.71,35.61,10.53,189.57,71.28,48.76,10.16
1,Other Revenue,-,-,-,0.03,-,-,-,-,-,-,-,0.02,-,-,-
2,Revenue,60.54,45.94,20.28,212.56,61.54,42.01,18.6,184.08,57.71,35.61,10.53,189.59,71.28,48.76,10.16
3,Revenue Growth (YoY),-1.62%,9.35%,9.01%,15.47%,6.64%,17.98%,76.71%,-2.91%,-19.04%,-26.98%,3.56%,-,-,-,-
4,Cost of Revenue,53.2,36.57,12.78,87.28,33.6,26.09,10.49,104.69,30.5,21.68,5.8,88.92,34.5,27.37,5.27
5,Gross Profit,7.34,9.37,7.5,125.28,27.94,15.92,8.12,79.39,27.2,13.92,4.73,100.67,36.79,21.39,4.89
6,"Selling, General & Admin",36.86,24.01,23.48,18.2,24.82,21.05,21.38,21.66,20.87,17.91,18.59,16.04,16.37,16.45,14.51
7,Research & Development,21.52,27.25,27.46,13.24,16.18,28.05,29.71,26.62,36.91,31.47,19.03,11.48,11.24,9.7,8.72
8,Other Operating Expenses,-4.6,2.55,-1.65,-0.94,-1.57,-2.41,-2.15,-0.28,-2.13,-0.5,-1.11,0.97,-2.26,-3.06,-2.61
9,Operating Expenses,57.05,55.76,46.75,47.02,43.92,48.26,46.97,60.63,56.82,49.55,34.02,38.24,26.55,23.97,19.52
10,Operating Income,-49.71,-46.39,-39.26,78.27,-15.98,-32.34,-38.86,18.77,-29.61,-35.62,-29.29,62.43,10.24,-2.58,-14.63
11,Interest Expense,-0.47,-0.69,-,-0.38,-,-0.92,-,-0.26,-0.58,-0.4,-,-0.16,-0.2,-0.27,-0.1
12,Interest & Investment Income,0.69,4.17,0.58,1.61,1.01,2.24,1.79,1.84,1.93,2.28,1.59,0.17,0.18,0.29,-
13,Other Non Operating Income (Expenses),0.03,-0.03,-,0.11,0.19,-0.25,-0.02,0.05,0.01,-0.11,-0.02,0,0.09,-0.14,-0.01
14,EBT Excluding Unusual Items,-49.45,-42.94,-38.67,79.6,-14.79,-31.27,-37.08,20.4,-28.25,-33.86,-27.73,62.45,10.31,-2.7,-14.74
15,Gain (Loss) on Sale of Assets,0.2,-,-,0.35,-,-,0.07,0.01,0.01,-,-,-,-,0.01,-
16,Asset Writedown,-0.06,-0.07,0.05,-0.6,0.61,-0.02,0,-0.41,0.39,-0.02,-0,-0.04,0.02,-0.02,-
17,Other Unusual Items,-1.69,1.47,-0.41,-2.29,-0.13,0.13,-,0.06,0.01,-0.01,-,4.26,-,-,-
18,Pretax Income,-51,-41.54,-39.03,77.06,-14.31,-31.16,-37.01,20.06,-27.84,-33.88,-27.73,66.66,10.33,-2.71,-14.74
19,Income Tax Expense,-8.1,-2.48,-8.29,10.36,-12.35,-4.47,-5.15,-0.79,-12.9,-4.98,-4.08,8.9,-1.69,-0.37,-2.19
20,Earnings From Continuing Operations,-42.91,-39.05,-30.75,66.7,-1.96,-26.69,-31.85,20.85,-14.94,-28.9,-23.65,57.76,12.02,-2.34,-12.54
21,Minority Interest in Earnings,0.4,0.44,0.46,0.21,0.37,0.39,0.39,0.26,0.25,0.22,0.18,0.18,0.11,-,-
22,Net Income,-42.51,-38.61,-30.29,66.91,-1.59,-26.3,-31.46,21.12,-14.69,-28.69,-23.47,57.95,12.13,-2.34,-12.54
23,Net Income to Common,-42.51,-38.61,-30.29,66.91,-1.59,-26.3,-31.46,21.12,-14.69,-28.69,-23.47,57.95,12.13,-2.34,-12.54
24,Net Income Growth,-,-,-,216.85%,-,-,-,-63.56%,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),77,77,78,71,77,77,77,77,77,77,78,67,51,57,57
26,Shares Outstanding (Diluted),77,77,78,71,77,77,77,77,77,77,78,67,51,57,57
27,Shares Change (YoY),0.07%,-0.16%,1.21%,-7.51%,-0.36%,-0.21%,-1.92%,14.48%,52.66%,34.76%,37.23%,-,-,-,-
28,EPS (Basic),-0.55,-0.50,-0.39,0.94,-0.02,-0.34,-0.41,0.27,-0.19,-0.37,-0.30,0.86,0.24,-0.04,-0.22
29,EPS (Diluted),-0.55,-0.50,-0.39,0.94,-0.02,-0.34,-0.41,0.27,-0.19,-0.37,-0.30,0.86,0.24,-0.04,-0.22
30,EPS Growth,-,-,-,242.57%,-,-,-,-68.16%,-,-,-,-,-,-,-
