,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2591,2890,2063,2886,3529,3926,3178,2836,2017,1801,2466,3305,-,-,-,-
1,Market Cap Growth,-26.38%,-26.38%,-35.08%,1.77%,74.96%,118.00%,28.86%,-14.21%,-,-,-,-,-,-,-,-
2,Enterprise Value,2386,2636,1745,2533,3177,3552,2754,2372,1554,1287,1863,3130,-,-,-,-
3,Last Close Price,33.50,37.36,26.67,37.17,45.46,50.56,40.93,36.52,25.98,23.19,31.67,42.45,-,-,-,-
4,PE Ratio,-,-,-,-,466.98,-,-,-,-44.11,-,-,-,-,-,-,-
5,PS Ratio,7.48,8.52,6.06,8.58,10.54,12.82,10.51,9.58,7.01,6.14,8.03,10.32,-,-,-,-
6,PB Ratio,3.51,3.83,2.59,3.44,4.06,4.88,3.96,3.42,2.34,2.14,2.95,3.79,-,-,-,-
7,P/TBV Ratio,3.93,3.93,2.66,3.52,4.16,5.02,4.06,3.51,2.40,2.20,2.96,3.81,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-44.50,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-110.26,-,-,-,-42.11,-,-,-,-,-,-,-
10,EV/Sales Ratio,7.03,7.77,5.13,7.53,9.49,11.60,9.11,8.01,5.40,4.39,6.07,9.78,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-716.97,-,-,-,-21.36,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-356.39,-,-,-,-20.51,-,-,-,-,-,-,-
13,EV/FCF Ratio,-17.76,-,-,-,-40.06,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.07,0.06,0.02,0.02,-,-,-
15,Debt / EBITDA Ratio,-,-,-,-,0.08,-,-,-,0.36,-,-,-,0.05,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-0.40,-,-,-,-,-,-,-,-0.36,-,-,-
17,Asset Turnover,0.26,0.19,0.08,0.84,0.25,0.17,0.07,0.71,0.23,0.14,0.04,-,-,-,-,
18,Inventory Turnover,1.10,1.09,0.82,0.35,2.57,1.01,0.93,0.47,4.06,0.95,0.77,0.28,-,-,-,-
19,Quick Ratio,3.36,3.36,3.97,4.61,5.13,4.00,4.43,5.00,4.90,5.12,5.57,7.10,7.21,-,-,-
20,Current Ratio,4.75,4.75,5.41,5.89,6.08,4.95,5.26,5.76,5.37,6.08,6.44,7.97,7.74,-,-,-
21,Return on Equity (ROE),-22.14%,-19.10%,-14.39%,31.88%,-0.97%,-13.07%,-15.07%,9.80%,-7.12%,-13.53%,-10.70%,-,-,-,-,
22,Return on Assets (ROA),-13.27%,-11.92%,-9.71%,19.35%,-4.04%,-8.10%,-9.37%,4.49%,-7.24%,-8.81%,-7.20%,-,-,-,-,
23,Return on Capital (ROIC),-15.44%,-13.68%,-11.09%,22.47%,-4.76%,-9.45%,-10.93%,5.21%,-8.29%,-10.00%,-8.14%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-1.00%,-,-,-,-8.48%,-,-,-,6.15%,-,-,-
25,Earnings Yield,-1.72%,-1.54%,-0.17%,0.30%,0.21%,-0.97%,-1.62%,-1.89%,-2.27%,-0.49%,0.73%,1.34%,-,-,-,-
26,FCF Yield,-5.18%,-4.65%,-5.05%,-3.52%,-2.25%,-2.97%,-4.08%,-4.59%,-5.57%,-3.98%,-1.95%,-0.62%,-,-,-,-
27,Dividend Yield,0.29%,-,-,-,0.22%,-,-,-,-,-,-,-,-,-,-,-
28,Buyback Yield / Dilution,1.60%,-0.07%,0.16%,-1.21%,7.51%,0.36%,0.21%,1.92%,-14.48%,-52.66%,-34.76%,-37.23%,-,-,-,-
29,Total Shareholder Return,1.88%,-0.07%,0.16%,-1.21%,7.73%,0.36%,0.21%,1.92%,-14.48%,-52.66%,-34.76%,-37.23%,-,-,-,-
