,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,347.27,390.86,364.82,492.28,487.97
1,Revenue Growth (YoY),-4.81%,-20.60%,-25.24%,-,-
2,Cost of Revenue,258.2,244.56,288.66,291.31,284.16
3,Gross Profit,89.07,146.3,76.16,200.98,203.81
4,"Selling, General & Admin",65.63,133.93,81,137.8,58.17
5,Other Operating Expenses,-12.39,-18.49,0.95,-3.9,2.83
6,Operating Expenses,53.24,122.97,81.94,139.65,61
7,Operating Income,35.84,23.33,-5.78,61.33,142.81
8,Interest Expense,-5.39,-1.82,-2.18,-1.83,-4.48
9,Interest & Investment Income,13.28,32.61,2.9,3.84,2.76
10,Earnings From Equity Investments,0.93,-4.43,-2.74,-1.92,-1.14
11,Currency Exchange Gain (Loss),-0.81,-6.46,0.44,-6.81,1.38
12,Other Non Operating Income (Expenses),-,-1.15,-160.52,1604,-24.12
13,EBT Excluding Unusual Items,43.85,42.09,-167.88,1659,117.21
14,Gain (Loss) on Sale of Investments,0.25,13.55,7.13,7.43,8.24
15,Gain (Loss) on Sale of Assets,-0.08,0.04,-,-0.77,0.57
16,Pretax Income,44.01,55.68,-160.75,1665,126.03
17,Income Tax Expense,14.66,22.35,15.17,32.95,33.29
18,Earnings From Continuing Operations,29.35,33.33,-175.91,1632,92.73
19,Minority Interest in Earnings,1.45,1.25,0.5,-1.79,1.07
20,Net Income,30.8,34.58,-175.41,1631,93.8
21,Net Income to Common,30.8,34.58,-175.41,1631,93.8
22,Net Income Growth,-,-97.88%,-,-,-
23,Shares Outstanding (Basic),844,843,797,463,463
24,Shares Outstanding (Diluted),844,843,797,713,713
25,Shares Change (YoY),5.86%,18.35%,11.86%,-,-
26,EPS (Basic),0.04,0.04,-0.22,3.52,0.20
27,EPS (Diluted),0.04,0.04,-0.22,0.03,0.17
28,EPS Growth,-,18.97%,-,-,-
29,Free Cash Flow,-24.57,-413.38,32.87,53.25,-57.44
30,Free Cash Flow Per Share,-0.03,-0.49,0.04,0.07,-0.08
31,Operating Margin,10.32%,5.97%,-1.58%,12.46%,29.27%
32,Profit Margin,8.87%,8.85%,-48.08%,331.25%,19.22%
33,Free Cash Flow Margin,-7.08%,-105.76%,9.01%,10.82%,-11.77%
34,EBITDA,41.14,27.1,-1.07,65.98,147.02
35,D&A For EBITDA,5.31,3.77,4.71,4.65,4.21
36,EBIT,35.84,23.33,-5.78,61.33,142.81
37,Advertising Expenses,12.39,-,16.2,-,17.38
