,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,516,506,4806,3740,-,-
1,Market Cap Growth,-86.47%,-86.47%,-,-,-,-
2,Enterprise Value,-308,-412,3411,3827,-,-
3,Last Close Price,0.60,0.60,5.76,4.29,-,-
4,PE Ratio,7.21,7.21,-30.98,-,-,-
5,PS Ratio,0.64,0.64,5.77,4.04,-,-
6,PB Ratio,0.34,0.34,3.30,2.78,-,-
7,P/TBV Ratio,0.34,0.34,3.32,2.80,-,-
8,P/FCF Ratio,-,-,-,40.19,-,-
9,P/OCF Ratio,4.65,4.65,40.43,39.12,-,-
10,EV/Sales Ratio,-,-,4.10,4.13,-,-
11,EV/EBITDA Ratio,-,-,118.94,-,-,-
12,EV/EBIT Ratio,-,-,176.40,-,-,-
13,EV/FCF Ratio,0.65,-,-,41.12,-,-
14,Debt / Equity Ratio,0.21,0.21,0.21,0.06,-8.37,-
15,Debt / FCF Ratio,-,-,-,0.87,-233.69,-
16,Return on Capital Employed (ROCE),3.54%,3.54%,1.08%,-,26.83%,-
17,Earnings Yield,13.60%,13.88%,-3.23%,42.04%,-,-
18,FCF Yield,-91.13%,-92.97%,-8.72%,2.49%,-,-
19,Buyback Yield / Dilution,-11.76%,-5.86%,-18.35%,-11.86%,-,-
20,Total Shareholder Return,-11.76%,-5.86%,-18.35%,-11.86%,-,-
