,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,403,311,337,521,896,945,1206,1221,3348,-,-
1,Market Cap Growth,26.88%,-40.31%,-62.44%,-44.91%,-25.64%,-22.59%,-63.99%,-,-,-,-
2,Enterprise Value,-109,-276,-222,-62,286,287,600,663,3308,-,-
3,Last Close Price,1.34,1.02,1.10,1.70,2.92,3.05,3.85,3.99,11.16,-,-
4,PE Ratio,31.48,-,18.96,-,38.96,-,-,20.67,89.64,-,-
5,PS Ratio,1.99,1.29,1.28,1.91,3.59,4.49,4.72,4.59,15.80,-,-
6,PB Ratio,0.65,0.52,0.54,0.87,1.44,1.62,1.92,2.05,6.54,-,-
7,P/TBV Ratio,0.70,0.52,0.54,0.88,1.45,1.63,1.94,2.05,6.54,-,-
8,P/FCF Ratio,-,-,18.26,-,100.81,-,29.14,-,36.13,-,-
9,P/OCF Ratio,-,7.92,14.63,-,90.86,-,27.15,-,35.99,-,-
10,EV/Sales Ratio,-,-,-,-,1.15,1.36,2.35,2.49,15.61,-,-
11,EV/EBITDA Ratio,-,-,-,-,10.85,-,-,8.61,66.51,-,-
12,EV/EBIT Ratio,-,-,-,-,12.20,-,-,8.84,70.38,-,-
13,EV/FCF Ratio,-,-,-,-,32.20,-,14.51,-,35.70,-,-
14,Debt / Equity Ratio,0.11,0.06,0.08,0.09,0.08,0.02,0.03,0.03,0.04,0.51,0.31
15,Debt / FCF Ratio,-,-,2.64,-,5.92,-,0.42,-,0.23,-,0.58
16,Return on Capital Employed (ROCE),0.45%,-,0.06%,-,3.51%,-,-,12.23%,8.78%,-,42.70%
17,Earnings Yield,3.21%,6.29%,5.28%,7.32%,2.57%,-3.16%,1.17%,4.84%,1.12%,-,-
18,FCF Yield,2.18%,5.48%,4.66%,0.99%,3.30%,3.43%,6.75%,2.77%,-,-,
19,Buyback Yield / Dilution,1.18%,0.36%,1.29%,1.25%,0.29%,-1.89%,-19.75%,-17.44%,-0.17%,0.00%,-
20,Total Shareholder Return,1.18%,0.36%,1.29%,1.25%,0.29%,-1.89%,-19.75%,-17.44%,-0.17%,0.00%,-
