,Fiscal Quarter,Q1 2019,Q1 2018
,Period Ending,"Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018"
0,Cash & Equivalents,89803.0,-
1,Cash & Short-Term Investments,89803.0,46183
2,Accounts Receivable,129069.0,-
3,Other Receivables,33399.0,-
4,Receivables,162468.0,-
5,Prepaid Expenses,322.31,-
6,Other Current Assets,22938.0,-
7,Total Current Assets,275532.0,-
8,"Property, Plant & Equipment",719735.0,-
9,Long-Term Investments,7238.0,-
10,Other Intangible Assets,330.02,-
11,Other Long-Term Assets,322446.0,-
12,Total Assets,1325281.0,-
13,Accounts Payable,100568.0,-
14,Accrued Expenses,38088.0,-
15,Current Portion of Long-Term Debt,57946.0,-
16,Current Income Taxes Payable,3730.0,-
17,Current Unearned Revenue,3597.0,-
18,Other Current Liabilities,48926.0,-
19,Total Current Liabilities,252855.0,-
20,Long-Term Debt,319499.0,-
21,Long-Term Unearned Revenue,139054.0,-
22,Other Long-Term Liabilities,191032.0,-
23,Total Liabilities,902440.0,-
24,Common Stock,245022.0,-
25,Retained Earnings,145283.0,-
26,Total Common Equity,390306.0,301108
27,Minority Interest,32535.0,-
28,Shareholders' Equity,422841.0,328915
29,Total Liabilities & Equity,1325281.0,-
30,Total Debt,377445.0,331259
31,Net Cash (Debt),-287642.0,-285076
32,Net Cash Per Share,-11127.4,-14449.96
33,Filing Date Shares Outstanding,25.85,19.73
34,Total Common Shares Outstanding,25.85,19.73
35,Working Capital,22677.0,-
36,Book Value Per Share,15098.95,15262.57
37,Tangible Book Value,389976.0,301050
38,Tangible Book Value Per Share,15086.18,15259.65
39,Buildings,867335.0,-
40,Machinery,86742.0,-
41,Construction In Progress,54057.0,-
