,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 16, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,43,44,51,102,72,86,75,91,106,86,130,Upgrade
1,Market Cap Growth,-56.47%,-56.47%,-29.17%,18.60%,-4.00%,-5.49%,-29.25%,5.81%,-18.46%,-61.61%,-38.10%,Upgrade
2,Enterprise Value,134,144,152,210,185,208,187,207,218,204,250,Upgrade
3,Last Close Price,0.22,0.22,0.24,0.48,0.34,0.40,0.34,0.41,0.47,0.38,0.57,Upgrade
4,PE Ratio,-,-,-,-,-,10.12,5.68,7.52,8.72,15.37,-,Upgrade
5,PS Ratio,0.14,0.15,0.15,0.27,0.18,0.19,0.15,0.18,0.23,0.19,0.28,Upgrade
6,PB Ratio,0.35,0.26,0.31,0.61,0.42,0.50,0.40,0.50,0.61,0.55,0.92,Upgrade
7,P/TBV Ratio,0.36,0.36,0.45,0.88,0.58,0.68,0.55,0.70,0.85,0.74,1.23,Upgrade
8,P/FCF Ratio,4.01,4.12,2.49,3.97,2.71,6.94,-,2.93,4.73,3.33,7.14,Upgrade
9,P/OCF Ratio,3.62,3.62,2.32,2.33,1.61,3.50,2.60,2.83,4.53,3.15,6.62,Upgrade
10,EV/Sales Ratio,0.44,0.48,0.45,0.55,0.45,0.45,0.37,0.42,0.48,0.46,0.54,Upgrade
11,EV/EBITDA Ratio,13.82,-,12.72,16.71,12.41,9.05,5.90,9.28,12.49,12.75,41.33,Upgrade
12,EV/EBIT Ratio,63.18,-,15.92,18.90,13.81,9.93,6.29,10.14,14.18,14.57,61.28,Upgrade
13,EV/FCF Ratio,12.48,13.39,7.41,8.18,6.96,16.80,-,6.67,9.72,7.89,13.71,Upgrade
14,Debt / Equity Ratio,0.42,0.42,0.42,0.45,0.52,0.59,0.58,0.54,0.59,0.69,0.79,Upgrade
15,Debt / FCF Ratio,6.70,6.70,3.42,2.92,3.37,8.18,-,3.12,4.57,4.14,6.13,Upgrade
16,Return on Capital Employed (ROCE),1.22%,-,5.46%,6.39%,7.24%,11.71%,15.42%,11.08%,8.64%,8.63%,2.75%,Upgrade
17,Earnings Yield,-17.56%,-17.09%,-9.59%,-5.15%,-0.53%,9.88%,17.61%,13.30%,11.46%,6.51%,-4.41%,Upgrade
18,FCF Yield,24.93%,24.26%,40.13%,25.22%,36.96%,14.41%,22.16%,34.18%,21.13%,30.06%,14.01%,Upgrade
19,Dividend Yield,4.63%,4.61%,4.10%,2.07%,2.97%,2.52%,2.92%,2.43%,2.11%,2.63%,1.76%,Upgrade
20,Total Shareholder Return,4.63%,4.61%,4.10%,2.07%,2.97%,2.52%,2.92%,2.43%,2.11%,2.63%,1.76%,Upgrade
