,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3107,3671,3200,3741,-,-,-,-,-,-,-
1,Enterprise Value,3093,3613,3130,3988,-,-,-,-,-,-,-
2,Last Close Price,43.15,50.98,44.44,51.60,-,-,-,-,-,-,-
3,PE Ratio,68.74,141.07,84.37,82.12,-,-,-,-,-,-,-
4,PS Ratio,6.97,8.94,7.57,9.03,-,-,-,-,-,-,-
5,PB Ratio,4.25,5.02,4.43,5.10,-,-,-,-,-,-,-
6,P/TBV Ratio,5.42,5.42,4.79,5.52,-,-,-,-,-,-,-
7,P/FCF Ratio,166.69,-,-185.81,-232.23,-,-,-,-,-,-,-
8,P/OCF Ratio,46.42,61.62,82.22,133.26,-,-,-,-,-,-,-
9,EV/Sales Ratio,7.57,8.80,7.40,9.63,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,36.69,39.04,29.43,34.30,-,-,-,-,-,-,-
11,EV/EBIT Ratio,87.14,81.55,53.06,55.97,-,-,-,-,-,-,-
12,EV/FCF Ratio,165.93,-,-181.77,-247.56,-,-,-,-,-,-,-
13,Debt / Equity Ratio,-,-,0.08,0.15,0.70,-,0.76,0.76,0.76,0.84,0.84
14,Debt / EBITDA Ratio,-,-,0.70,1.27,2.30,-,2.33,3.45,3.34,2.13,2.13
15,Debt / FCF Ratio,-,-,-3.20,-6.80,-,-,-8.84,-,-,-,-
16,Asset Turnover,0.47,0.44,-,0.55,-,-,-,0.45,0.50,-,
17,Inventory Turnover,-,5.20,6.12,-,-,-,-,-,4.67,4.62,-
18,Quick Ratio,1.67,1.67,1.99,1.76,0.68,-,0.54,-,0.51,0.58,0.58
19,Current Ratio,2.94,2.94,2.52,2.16,0.96,-,0.83,-,0.80,0.80,0.80
20,Return on Equity (ROE),4.59%,5.13%,-,17.84%,-,19.23%,-,14.72%,22.86%,-,
21,Return on Assets (ROA),2.77%,1.60%,-,5.71%,-,-,-,2.87%,7.02%,-,
22,Return on Capital (ROIC),3.20%,1.80%,-,8.71%,-,7.30%,-,3.50%,8.90%,-,
23,Return on Capital Employed (ROCE),4.67%,5.83%,7.83%,9.31%,12.64%,-,10.72%,-,10.54%,9.63%,4.81%
24,Earnings Yield,1.33%,1.19%,1.74%,1.69%,-,-,-,-,-,-,-
25,FCF Yield,0.60%,0.11%,-0.54%,-0.43%,-,-,-,-,-,-,-
26,Payout Ratio,64.25%,8.79%,222.89%,19.11%,-,6.50%,19.95%,22.19%,18.31%,12.20%,12.20%
27,Buyback Yield / Dilution,-22.26%,-35.07%,-37.90%,-17.81%,-0.05%,0.29%,1.05%,-,-,-,-
28,Total Shareholder Return,-21.63%,-35.07%,-37.90%,-17.81%,-0.05%,0.29%,1.05%,-,-,-,-
