,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,107.84,95.92,93.62,-,117.08,90.44,61.87,78.16,92.89,92.89
1,Other Revenue,-5.5,5.5,-,-,-2.21,2.21,-,3.9,-,-
2,Revenue,102.34,101.42,93.62,112.98,114.87,92.65,61.87,82.06,92.89,92.89
3,Revenue Growth (YoY),-10.91%,9.46%,51.31%,37.69%,23.67%,-0.25%,-,-,-,-
4,Cost of Revenue,74.12,79.04,71.4,-,76.6,63.23,47.25,59.41,60.99,60.99
5,Gross Profit,28.22,22.38,22.22,36.07,38.27,29.43,14.62,22.65,31.9,31.9
6,"Selling, General & Admin",9.07,7.66,7.94,-,6.56,5.47,4.43,5.31,6.29,6.29
7,Research & Development,7.45,6.18,5.8,-,6.93,4.52,3.97,5.7,6.52,6.52
8,Other Operating Expenses,0.88,2.68,-0.32,-,-2.41,-0.71,-1.6,3.36,-1.69,-1.69
9,Operating Expenses,18.55,16.53,12.24,-,13.91,11.31,6.52,14.35,11.12,11.12
10,Operating Income,9.67,5.85,9.99,-,24.36,18.11,8.11,8.29,20.78,20.78
11,Interest Expense,-0.16,-0.26,-1.52,-1.37,-0.31,-1.32,-1.17,-3.24,-,-
12,Interest & Investment Income,0.31,0.55,0.65,-,0.02,0.02,0.04,0.14,-,-
13,Currency Exchange Gain (Loss),-0.5,0.5,-,-,-0.1,0.1,-,0.08,-,-
14,Other Non Operating Income (Expenses),0.16,0.28,0.09,-,-0.71,0.95,-0.03,0.01,0.46,0.46
15,EBT Excluding Unusual Items,9.5,6.91,9.2,17.47,23.25,17.87,6.94,5.28,21.24,21.24
16,Gain (Loss) on Sale of Investments,-0.04,-0.16,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.06,0.02,0.35,-,0.46,-0.01,0.02,0.05,0.19,0.19
18,Asset Writedown,-2.18,0.71,-0.71,-,-0.93,1.24,-1.24,0.1,-1.2,-1.2
19,Other Unusual Items,1.34,2.47,-,-,-0.18,0.18,-,6.16,-,-
20,Pretax Income,8.67,9.96,8.84,-,22.62,19.28,5.73,11.59,20.24,20.24
21,Income Tax Expense,0.32,0.62,0.51,-,2.36,2.31,0.29,-0.54,2.09,2.09
22,Net Income to Company,8.35,9.34,8.33,-,20.25,16.97,5.44,12.13,18.15,18.15
23,Net Income,8.35,9.34,8.33,17.84,20.25,16.97,5.44,12.13,18.15,18.15
24,Preferred Dividends & Other Adjustments,0,-0,-,-,-,-,-,-,-,-
25,Net Income to Common,8.35,9.34,8.33,-,20.25,16.97,5.44,12.13,18.15,18.15
26,Net Income Growth,-58.77%,-44.98%,53.15%,47.01%,11.60%,-6.49%,-,-,-,-
27,Shares Outstanding (Basic),73,74,64,54,54,54,54,54,54,54
28,Shares Outstanding (Diluted),73,74,64,54,54,54,54,54,54,54
29,Shares Change (YoY),35.07%,37.90%,17.81%,0.05%,-0.29%,-1.05%,-,-,-,-
30,EPS (Basic),0.11,0.13,0.13,-,0.37,0.32,0.10,0.22,0.34,0.34
31,EPS (Diluted),0.11,0.13,0.13,0.33,0.37,0.31,0.10,0.22,0.34,0.34
32,EPS Growth,-70.47%,-59.45%,30.00%,48.14%,11.93%,-7.00%,-,-,-,-
33,Free Cash Flow,-5.33,3.83,16.99,-11.63,-26.41,4.94,-0.06,-3.17,-32.95,-32.95
34,Free Cash Flow Per Share,-0.07,0.05,0.27,-0.22,-0.49,0.09,-0.00,-0.06,-0.61,-0.61
35,Gross Margin,27.58%,22.06%,23.74%,31.92%,33.32%,31.76%,23.63%,27.60%,34.34%,34.34%
36,Operating Margin,9.45%,5.77%,10.67%,-,21.20%,19.55%,13.10%,10.11%,22.37%,22.37%
37,Profit Margin,8.16%,9.21%,8.90%,-,17.63%,18.32%,8.79%,14.79%,19.54%,19.54%
38,Free Cash Flow Margin,-5.21%,3.78%,18.14%,-10.29%,-22.99%,5.34%,-0.10%,-3.87%,-35.47%,-35.47%
39,EBITDA,21.19,19.52,21.51,30.32,35.01,29.44,18.76,19.31,31.07,31.07
40,EBITDA Margin,20.71%,19.25%,22.97%,26.83%,30.48%,31.77%,30.32%,23.54%,33.45%,33.45%
41,D&A For EBITDA,11.52,13.67,11.52,11.52,10.66,11.32,10.66,11.02,10.29,10.29
42,EBIT,9.67,5.85,9.99,18.8,24.36,18.11,8.11,8.29,20.78,20.78
43,EBIT Margin,9.45%,5.77%,10.67%,16.64%,21.20%,19.55%,13.10%,10.11%,22.37%,22.37%
44,Effective Tax Rate,3.72%,6.21%,5.82%,-,10.44%,11.97%,5.11%,-,10.35%,10.35%
45,Revenue as Reported,102.34,101.42,93.62,-,114.87,92.65,61.87,174.95,-,-
