,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,14.09,18.35,166.14,9.2,-,29.05,-,10.35,37.92,37.92
1,Short-Term Investments,-,94.19,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,13,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,14.09,112.55,179.14,9.2,-,29.05,10.35,10.35,37.92,37.92
4,Cash Growth,-,287.44%,1631.42%,-11.03%,-,-23.40%,-,-,-,-
5,Accounts Receivable,155.68,141.94,142.58,175.19,-,122.47,-,107.17,139.39,139.39
6,Other Receivables,0.43,0.42,0.68,0.94,-,0.56,-,0.28,0.13,0.13
7,Receivables,156.1,142.36,143.25,176.13,-,123.38,-,107.46,139.52,139.52
8,Inventory,61.92,52.18,51.06,53.2,-,64.26,-,48.95,52.82,52.82
9,Other Current Assets,66.84,16.68,21.93,25.45,-,14.18,-,18.03,15.2,15.2
10,Total Current Assets,298.95,323.77,395.39,263.99,-,230.87,-,184.79,245.47,245.47
11,"Property, Plant & Equipment",495.84,485.58,483.94,490.09,-,499.31,-,451.86,419.99,419.99
12,Other Intangible Assets,54.44,55.2,55.85,56.66,-,52.55,-,53.56,54.39,54.39
13,Long-Term Deferred Tax Assets,5.26,5.24,5.36,5.48,-,5.3,-,2.98,3.45,3.45
14,Long-Term Deferred Charges,4.09,3.95,4.91,6.08,-,7.59,-,8.8,10.95,10.95
15,Other Long-Term Assets,3.13,7.53,2.31,1.21,-,0.17,-,1.68,5.67,5.67
16,Total Assets,861.7,881.26,947.76,823.51,-,795.79,-,703.66,739.92,739.92
17,Accounts Payable,70.04,47.48,47.66,75.49,-,104.3,-,61.94,108.18,108.18
18,Accrued Expenses,12.07,17.31,10.5,22.62,-,13.44,-,14.22,10.12,10.12
19,Short-Term Debt,-,55.04,109.59,142.63,-,128.12,-,118.12,170.66,170.66
20,Current Portion of Long-Term Debt,-,-,-,19.52,-,30.08,-,30.33,0.18,0.18
21,Current Portion of Leases,-,-,-,-,-,-,-,0.18,-,-
22,Current Income Taxes Payable,8.52,0.38,8.67,5.79,-,0.85,-,0.32,16.15,16.15
23,Current Unearned Revenue,0.05,0.06,0.17,0.1,-,0.08,-,0.06,0.05,0.05
24,Other Current Liabilities,10.93,8.06,6.21,8.42,-,2.86,-,5.66,2.94,2.94
25,Total Current Liabilities,101.61,128.33,182.8,274.56,-,279.73,-,230.83,308.29,308.29
26,Long-Term Debt,-,-,-,117.15,-,117.81,-,110.26,95.15,95.15
27,Long-Term Unearned Revenue,21.22,22.14,23.05,23.36,-,25.01,-,11.11,12.02,12.02
28,Long-Term Deferred Tax Liabilities,7.66,7.95,8.23,8.51,-,8.99,-,9.62,6.89,6.89
29,Total Liabilities,130.5,158.41,214.08,423.58,-,431.54,-,361.82,422.35,422.35
30,Common Stock,72,72,72,54,-,54,-,54,54,54
31,Additional Paid-In Capital,449.74,449.74,449.74,142.32,-,142.32,-,142.32,142.32,142.32
32,Retained Earnings,209.46,201.11,211.93,203.6,-,167.93,-,145.52,121.25,121.25
33,Shareholders' Equity,731.2,722.85,733.67,399.93,-,364.25,341.84,341.84,317.58,317.58
34,Total Liabilities & Equity,861.7,881.26,947.76,823.51,-,795.79,-,703.66,739.92,739.92
35,Total Debt,-,55.04,109.59,279.3,-,276.01,258.89,258.89,266,266
36,Net Cash (Debt),14.09,57.5,69.56,-270.09,-,-246.96,-248.54,-248.54,-228.07,-228.07
37,Net Cash Per Share,0.19,0.78,1.09,-5.00,-,-4.61,-4.57,-4.60,-4.21,-4.21
38,Filing Date Shares Outstanding,72,72,72,72,54.02,54,54.39,54,54.18,54.18
39,Total Common Shares Outstanding,72,72,72,54,54.02,54,54.39,54,54.18,54.18
40,Working Capital,197.34,195.44,212.59,-10.56,-,-48.86,-,-46.05,-62.82,-62.82
41,Book Value Per Share,10.16,10.04,10.19,7.41,-,6.75,6.33,6.33,5.86,5.86
42,Tangible Book Value,676.76,667.65,677.82,343.27,-,311.7,288.28,288.28,263.18,263.18
43,Tangible Book Value Per Share,9.40,9.27,9.41,6.36,-,5.77,5.34,5.34,4.86,4.86
44,Buildings,-,239.54,-,160.27,-,52.7,-,52.7,-,-
45,Machinery,-,419.32,-,403.14,-,388.01,-,379.59,-,-
46,Construction In Progress,-,20.47,-,94.71,-,206.65,-,148.54,-,-
