,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,406.5,273.77,260.36,236.41,276.55,185.37,179.65,124.22,213.16,141.56,141.56,167.28
1,Other Revenue,-71.34,71.34,-,72.26,-37.77,37.77,-,72.81,-21.96,10.98,10.98,19.92
2,Revenue,335.16,345.11,260.36,308.67,238.78,223.14,179.65,197.04,191.2,152.54,152.54,187.2
3,Revenue Growth (YoY),40.37%,54.66%,44.92%,56.66%,24.88%,46.28%,17.77%,5.26%,-,-,-,-
4,Cost of Revenue,258.67,261.38,193.59,235.37,176.61,167.49,129.67,145.87,125.55,109.74,109.74,133.14
5,Gross Profit,76.49,83.73,66.76,73.3,62.16,55.65,49.98,51.17,65.65,42.8,42.8,54.06
6,"Selling, General & Admin",36.47,32.47,30.58,30.32,27.39,22.22,22.05,18.49,20.27,15.84,15.84,19.54
7,Research & Development,14.85,14.88,15.19,15.5,15.06,15.78,11.77,11.43,10.98,8.71,8.71,8
8,Other Operating Expenses,3.23,-7.07,0.69,-0.84,-2.22,-0.5,-0.08,5.73,-3.45,0.97,0.97,1.22
9,Operating Expenses,51.82,42.79,49.58,50.35,41.47,39.78,34.61,37.63,27.17,25.24,25.24,31.05
10,Operating Income,24.67,40.94,17.18,22.96,20.69,15.87,15.38,13.54,38.48,17.56,17.56,23
11,Interest Expense,-0.55,-1.02,-0.06,-1.52,-0.18,-1.03,-0.95,-1.29,-1.2,-0.76,-0.76,-0.78
