,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,2871,3101,2784,2752,3381,3942,-,-,-,-,-,-,-
1,Market Cap Growth,-21.33%,-21.33%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2560,2767,2399,2164,2793,4058,-,-,-,-,-,-,-
3,Last Close Price,33.84,36.55,32.81,32.12,39.46,46.01,-,-,-,-,-,-,-
4,PE Ratio,38.04,40.80,30.78,30.27,40.18,47.28,-,-,-,-,-,-,-
5,PS Ratio,2.31,2.48,2.41,2.67,3.56,4.70,-,-,-,-,-,-,-
6,PB Ratio,2.31,2.49,2.23,2.18,2.74,3.27,-,-,-,-,-,-,-
7,P/TBV Ratio,2.55,2.55,2.29,2.24,2.81,3.33,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-50.22,-,-,-,-,-,-,-,-
9,P/OCF Ratio,34.93,-,-,17.96,28.19,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.05,2.21,2.08,2.10,2.94,4.84,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,14.72,17.71,16.13,18.21,24.61,40.38,-,-,-,-,-,-,-
12,EV/EBIT Ratio,25.56,26.17,23.57,28.21,37.28,61.97,-,-,-,-,-,-,-
13,EV/FCF Ratio,-17.93,-,-,-,-41.48,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.06,0.06,0.04,0.03,0.04,0.06,0.38,0.33,0.33,-,-,0.22,0.22
15,Debt / EBITDA Ratio,0.40,0.48,0.22,0.37,0.23,0.64,1.36,1.59,1.03,-,-,0.69,0.60
16,Debt / FCF Ratio,-,-,-,-,-0.70,-,-,-,-,-,-,-,-
17,Asset Turnover,0.70,0.73,0.56,0.69,0.67,-,-,-,-,-,-,-,
18,Inventory Turnover,4.44,4.77,5.15,4.17,4.90,4.02,-,-,-,-,-,-,-
19,Quick Ratio,1.52,1.52,1.62,1.67,1.98,2.18,0.97,-,1.12,-,-,-,1.29
20,Current Ratio,1.91,1.91,2.03,2.17,2.35,2.66,1.33,-,1.49,-,-,-,1.69
21,Return on Equity (ROE),1.61%,6.91%,7.48%,7.71%,9.15%,18.75%,14.21%,-,-,-,19.91%,-,
22,Return on Assets (ROA),3.21%,5.42%,2.32%,3.19%,3.65%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),4.71%,7.85%,3.32%,4.48%,5.24%,6.12%,6.36%,-,-,-,9.80%,-,
24,Return on Capital Employed (ROCE),7.60%,8.02%,7.68%,5.80%,5.77%,5.15%,13.80%,-,16.24%,-,-,-,5.50%
25,Earnings Yield,2.65%,2.45%,3.25%,3.30%,2.49%,2.12%,-,-,-,-,-,-,-
26,FCF Yield,-4.97%,-4.60%,-3.78%,-1.53%,-1.99%,-2.63%,-,-,-,-,-,-,-
27,Dividend Yield,0.87%,-,-,-,0.76%,-,-,-,-,-,-,-,-
28,Payout Ratio,35.61%,-,111.84%,2.55%,6.05%,9.28%,2.13%,7.37%,1.48%,4.72%,29.10%,29.10%,1.34%
29,Buyback Yield / Dilution,-35.06%,-39.13%,-31.63%,-33.30%,-34.93%,0.37%,0.38%,0.58%,2.06%,-,-,-,-
30,Total Shareholder Return,-34.19%,-39.13%,-31.63%,-33.30%,-34.17%,0.37%,0.38%,0.58%,2.06%,-,-,-,-
