,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,271.91,269.32,251.02,215.16,528.58,69.09,-,79.19,-,-,-,50.18
1,Short-Term Investments,-,30.32,-,60.17,-,-,-,-,-,-,-,-
2,Trading Asset Securities,114.58,94.68,183.63,312.93,142.02,12.75,-,38.32,-,-,-,36.5
3,Cash & Short-Term Investments,386.49,394.33,434.65,588.25,670.6,81.84,117.52,117.52,-,-,86.68,86.68
4,Cash Growth,-42.37%,381.82%,269.86%,400.56%,-,-,35.58%,35.58%,-,-,-,-
5,Accounts Receivable,545.1,542.4,477.13,472.05,385.12,378.08,-,313.5,-,-,-,294.23
6,Other Receivables,3.87,3.2,3.87,3.01,4.26,3.26,-,3.71,-,-,-,2.89
7,Receivables,548.97,545.6,481,475.05,389.38,381.34,-,317.2,-,-,-,297.12
8,Inventory,220.98,212.54,193.14,178.2,206.32,145.27,-,123.15,-,-,-,108.49
9,Other Current Assets,16.45,24.47,82.78,18.99,27.59,25.37,-,21.91,-,-,-,10.4
10,Total Current Assets,1173,1177,1192,1260,1294,633.82,-,579.78,-,-,-,502.7
11,"Property, Plant & Equipment",577.28,540.84,489.88,447.19,426.86,401.28,-,296.46,-,-,-,193.61
12,Long-Term Investments,-,114.27,-,65.5,-,-,-,17.66,-,-,-,-
13,Other Intangible Assets,24.33,24.75,24.56,24.57,16.24,16.6,-,16.63,-,-,-,1.57
14,Long-Term Deferred Tax Assets,2.49,3.36,2.01,0.78,8.88,6.28,-,4.24,-,-,-,4.08
15,Long-Term Deferred Charges,41.56,42.98,36.92,36.11,12.98,13.2,-,11.37,-,-,-,7.64
16,Other Long-Term Assets,115.82,-,127.99,-,-,7.78,-,-,-,-,-,6.29
17,Total Assets,1934,1903,1873,1835,1759,1079,-,926.16,-,-,-,715.87
18,Accounts Payable,467.91,450.75,424.21,424.66,382.2,277.68,-,237.6,-,-,-,184.25
19,Accrued Expenses,28.22,61.18,24.42,44.69,24.87,47.89,-,38.61,-,-,-,42.1
20,Short-Term Debt,21.34,-,-,-,30,100.19,-,70.12,-,-,-,33.03
21,Current Portion of Long-Term Debt,-,-,-,-,10.72,5.16,-,2.03,-,-,-,-
22,Current Portion of Leases,14.82,15.48,10.81,12.68,-,11.05,-,13.79,-,-,-,13.09
23,Current Income Taxes Payable,23.05,8.03,23.04,2.57,12.15,7.24,-,11.87,-,-,-,6.85
24,Current Unearned Revenue,15.11,14.02,38.53,30.83,8.05,6.47,-,3.86,-,-,-,5.31
25,Other Current Liabilities,45,29.25,28.52,20.42,18.56,19.68,-,11.71,-,-,-,13.3
26,Total Current Liabilities,615.45,578.71,549.53,535.85,486.55,475.36,-,389.59,-,-,-,297.94
27,Long-Term Debt,-,-,-,-,-,39.5,-,27.38,-,-,-,-
28,Long-Term Leases,34.2,38.9,32.29,34.45,33.52,35.44,-,36.61,-,-,-,35.2
29,Long-Term Unearned Revenue,23.9,24.02,16.88,17.26,14.88,15.17,-,8.26,-,-,-,6.09
30,Long-Term Deferred Tax Liabilities,13.51,12.63,14.37,11.72,17.04,12.19,-,10.04,-,-,-,9.86
31,Total Liabilities,687.06,654.25,613.08,599.27,551.99,577.66,-,471.88,-,-,-,349.09
32,Common Stock,84.84,84.84,84.84,84.84,84.84,63.63,-,63.63,-,-,-,63.63
33,Additional Paid-In Capital,841.92,841.92,841.92,841.92,841.92,171.9,-,171.9,-,-,-,171.9
34,Retained Earnings,319.74,314.11,316.97,293.16,269.19,249.14,-,209.01,-,-,-,128.24
35,Comprehensive Income & Other,-4.89,1.72,8.91,7.77,2.8,9.77,-,3.04,-,-,-,-2.81
36,Total Common Equity,1242,1243,1253,1228,1199,494.44,447.58,447.58,-,-,360.96,360.96
37,Minority Interest,5.69,6.29,7.21,7.7,8.12,6.87,-,6.7,-,-,-,5.83
38,Shareholders' Equity,1247,1249,1260,1235,1207,501.31,454.28,454.28,-,-,366.79,366.79
39,Total Liabilities & Equity,1934,1903,1873,1835,1759,1079,-,926.16,-,-,-,715.87
40,Total Debt,70.35,54.38,43.1,47.13,74.24,191.33,149.93,149.93,-,-,81.33,81.33
41,Net Cash (Debt),316.14,339.95,391.55,541.12,596.36,-109.49,-32.41,-32.41,-,-,5.35,5.35
