,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,2647,2356,1799,2159,1613,1518,1244,1541,1167,1096,1096,1480,1480,1146,1146
1,Other Revenue,-22.61,22.61,-,30.36,-11.34,11.34,-,10.77,-2.78,1.39,1.39,0.92,0.92,0.02,0.02
2,Revenue,2624,2378,1799,2189,1601,1529,1244,1551,1164,1097,1097,1481,1481,1146,1146
3,Revenue Growth (YoY),63.89%,55.52%,44.66%,41.13%,37.58%,39.42%,13.37%,4.77%,-21.40%,-4.26%,-4.26%,-,-,-,-
4,Cost of Revenue,1464,1331,950.47,2299,833.97,869.14,675.61,1618,370.23,402.02,402.02,542.01,542.01,384.34,384.34
5,Gross Profit,1160,1047,848.54,-109.63,767.2,660.26,568,-66.84,793.54,694.97,694.97,938.64,938.64,761.51,761.51
6,"Selling, General & Admin",1114,894.44,720.18,-218.81,619.74,564.3,474.69,-61.49,693.47,619.5,619.5,772.21,772.21,615.07,615.07
7,Research & Development,27.29,26.94,27.92,36.66,20.31,15.9,14.83,19.76,10.08,8.89,8.89,8.09,8.09,8.58,8.58
8,Other Operating Expenses,3.61,2.45,2.43,1.58,-0.57,-2.76,-1.44,7.38,0.82,-0.01,-0.01,0.79,0.79,0.41,0.41
9,Operating Expenses,1144,925.58,750.67,-179.46,639.83,577.42,488.41,-32.46,704.48,628.11,628.11,781.78,781.31,624.68,624.68
10,Operating Income,16.8,121.49,97.87,69.83,127.37,82.85,79.6,-34.38,89.06,66.86,66.86,156.86,157.33,136.83,136.83
11,Interest Expense,-5.89,-3.77,-3.8,-3.86,-3.64,-3.32,-3.16,-3.55,-3.6,-3.71,-3.71,-0.7,-0.7,-1.56,-1.56
12,Interest & Investment Income,8.9,9.32,8.26,7.88,11.45,4.31,4.75,0.74,0.43,0.16,0.16,0.07,0.07,0.04,0.04
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,0.83,0.83,-0.83,-0.83
14,Currency Exchange Gain (Loss),22.91,-22.91,-,10.69,11.17,-11.17,-,21.97,-13.84,6.92,6.92,-34.36,-34.36,2.69,2.69
15,Other Non Operating Income (Expenses),-25.15,36.25,8.41,-11.34,-13.11,28.88,-9.72,-27.11,28.57,-1.35,-1.35,-0.15,-0.62,-0.39,-0.39
16,EBT Excluding Unusual Items,17.58,140.38,110.75,73.2,133.24,101.55,71.46,-42.32,100.61,68.88,68.88,122.54,122.54,136.77,136.77
17,Gain (Loss) on Sale of Investments,1.81,7.16,4.33,-1.03,-2.98,-3.85,-1.1,0.32,0.71,-0.51,-0.51,-1.95,-1.95,-,-
18,Gain (Loss) on Sale of Assets,0.96,0.04,10.12,0.01,0.04,0.06,3.66,3.78,0,0.99,0.99,0.04,0.04,-,-
19,Asset Writedown,-69.21,26.71,-26.86,47.78,-47.87,14.25,-14.62,60.85,-60.9,-0.03,-0.03,-0.02,-0.02,-0.02,-0.02
20,Other Unusual Items,-0.43,-0.84,0.26,13.82,-,-,-,9.62,-,-,-,5.78,5.78,2.39,2.39
21,Pretax Income,-49.29,173.45,98.6,133.78,82.43,112,59.4,32.26,40.42,69.33,69.33,126.39,126.39,139.14,139.14
22,Income Tax Expense,-9.11,23.91,12.56,20.79,10.23,13.61,7.43,4.55,3.92,9.05,9.05,18.97,18.97,21.12,21.12
23,Net Income,-40.18,149.54,86.04,112.99,72.2,98.39,51.97,27.71,36.49,60.28,60.28,107.42,107.42,118.02,118.02
24,Net Income to Common,-40.18,149.54,86.04,112.99,72.2,98.39,51.97,27.71,36.49,60.28,60.28,107.42,107.42,118.02,118.02
25,Net Income Growth,-,51.99%,65.58%,307.78%,97.84%,63.23%,-13.79%,-74.20%,-66.03%,-48.93%,-48.93%,-,-,-,-
26,Shares Outstanding (Basic),400,400,400,400,387,360,360,360,360,360,360,362,362,358,358
27,Shares Outstanding (Diluted),400,400,400,400,387,360,360,360,360,360,360,362,362,358,358
28,Shares Change (YoY),3.48%,11.10%,11.15%,11.19%,7.34%,0.07%,-0.02%,-0.67%,-0.61%,0.65%,0.65%,-,-,-,-
29,EPS (Basic),-0.10,0.37,0.22,0.28,0.19,0.27,0.14,0.08,0.10,0.17,0.17,0.30,0.30,0.33,0.33
30,EPS (Diluted),-0.10,0.37,0.22,0.28,0.19,0.27,0.14,0.08,0.10,0.17,0.17,0.30,0.30,0.33,0.33
