,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,9322,11155,9094,10123,12119,14064,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-20.68%,-20.68%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9140,10389,8342,9391,11388,13584,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,23.30,27.88,22.42,24.73,29.60,34.10,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,30.23,-,21.61,27.39,36.12,56.19,-,-,-,-,-,-,-,-,-,-
5,Forward PE,26.91,24.72,20.76,22.39,24.98,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.04,1.24,1.14,1.42,1.85,2.37,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,3.86,4.62,3.56,4.05,5.02,5.86,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,4.62,4.62,3.56,4.05,5.03,5.86,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,24.32,23.10,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,30.12,22.76,22.05,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.02,1.16,1.05,1.32,1.73,2.29,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,22.77,32.89,19.56,24.24,30.85,51.29,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,30.93,33.95,20.02,24.85,31.66,53.18,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-27.82,-,-,22.57,21.71,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.51,0.51,0.33,0.26,0.22,0.26,0.35,0.35,0.35,-,0.40,0.40,0.02,0.02,0.08,0.08
16,Debt / EBITDA Ratio,3.05,15.97,1.22,1.65,0.80,1.22,1.07,1.58,1.90,-,1.47,1.47,0.02,0.02,0.10,0.10
17,Debt / FCF Ratio,-,-,-,1.59,1.03,-,0.98,1.02,1.35,-,2.35,2.09,0.05,0.06,0.26,0.52
18,Asset Turnover,2.21,2.29,1.95,2.42,2.05,-,-,-,-,1.93,-,3.63,4.03,3.50,-,
19,Inventory Turnover,3.37,3.43,4.87,4.59,10.95,4.54,-,-,-,-,2.07,-,2.55,3.22,3.10,-
20,Quick Ratio,0.85,0.85,1.32,1.87,2.22,2.03,2.29,-,2.50,-,1.93,1.93,1.04,1.04,1.24,1.24
21,Current Ratio,1.89,1.89,2.24,2.95,3.28,3.22,3.37,-,3.98,-,4.06,4.06,2.35,2.35,2.17,2.17
22,Return on Equity (ROE),-6.47%,23.67%,14.01%,18.77%,14.42%,25.72%,14.28%,-,-,17.36%,-,46.86%,52.98%,66.95%,-,
23,Return on Assets (ROA),0.88%,7.31%,6.62%,4.83%,10.21%,-,-,-,-,7.35%,-,24.04%,26.76%,26.15%,-,
24,Return on Capital (ROIC),1.20%,9.28%,8.00%,5.83%,12.23%,9.99%,10.09%,-,-,8.59%,-,42.08%,46.52%,45.07%,-,
25,Return on Capital Employed (ROCE),10.31%,10.67%,13.79%,13.20%,12.70%,9.09%,10.59%,-,-,-,23.83%,27.56%,61.28%,44.93%,37.56%,18.78%
26,Earnings Yield,3.31%,2.76%,4.63%,3.65%,2.77%,1.78%,-,-,-,-,-,-,-,-,-,-
27,FCF Yield,-3.52%,-2.94%,2.82%,4.11%,4.33%,3.50%,-,-,-,-,-,-,-,-,-,-
28,Dividend Yield,2.56%,-,2.45%,-,0.84%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,86.36%,-,56.97%,0.72%,89.46%,0.30%,0.33%,-,0.19%,-,-,-,2.17%,2.17%,-,-
30,Buyback Yield / Dilution,-9.13%,-3.48%,-11.10%,-11.15%,-11.19%,-7.34%,-0.07%,0.02%,0.67%,0.61%,-0.65%,-0.65%,-,-,-,-
31,Total Shareholder Return,-6.57%,-3.48%,-8.65%,-11.15%,-10.35%,-7.34%,-0.07%,0.02%,0.67%,0.61%,-0.65%,-0.65%,-,-,-,-
