,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,769.26,629.53,440.34,764.3,673.77,513.55,-,723.09,-,509.25,509.25,359.09,359.09,331.28,331.28
1,Short-Term Investments,-,115.08,-,63.63,-,10.05,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,637.13,852.3,973.84,617.14,692.12,525.05,-,10,-,10,10,-,-,-,-
3,Cash & Short-Term Investments,1406,1597,1414,1445,1366,1049,733.09,733.09,-,519.25,519.25,359.09,359.09,331.28,331.28
4,Cash Growth,2.97%,52.28%,92.91%,97.12%,-,101.96%,41.18%,104.15%,-,56.74%,56.74%,-,-,-,-
5,Accounts Receivable,342.71,364.98,229.15,226.57,180.39,195.91,-,271.67,-,183.17,183.17,262.88,262.88,369.52,369.52
6,Other Receivables,58.44,43.54,45.36,82.43,59.66,87.69,-,84,-,59.37,59.37,77.27,77.27,19.65,19.65
7,Receivables,401.15,408.51,274.51,309,240.05,283.59,-,355.67,-,242.53,242.53,340.15,340.15,389.18,389.18
8,Inventory,2081,1333,854.28,802.5,876.51,593.11,-,604.78,-,776.59,776.59,851.34,851.34,496.6,496.6
9,Other Current Assets,101.58,67.49,125.67,36.5,70.03,31.06,-,39.5,-,61.64,61.64,26.88,26.88,42.26,42.26
10,Total Current Assets,3990,3406,2669,2593,2552,1956,-,1733,-,1600,1600,1577,1577,1259,1259
11,"Property, Plant & Equipment",511.18,492.26,386.35,421.1,446.66,472.44,-,496.3,-,556.4,556.4,19.9,19.9,14.1,14.1
12,Long-Term Investments,140.1,506.16,106.28,53.68,4.09,55.02,-,3.84,-,3.41,3.41,2.41,2.41,3.8,3.8
13,Other Intangible Assets,2.47,2.67,2.88,3.08,0.84,0.74,-,1.01,-,1.33,1.33,1.63,1.63,1.87,1.87
14,Long-Term Accounts Receivable,27.11,31.33,34.09,15.39,19,21.02,-,14.07,-,16.14,16.14,-,-,-,-
15,Long-Term Deferred Tax Assets,50.64,39.64,37.3,43.54,49.46,55.64,-,39.4,-,34.87,34.87,28.02,28.02,27.44,27.44
16,Long-Term Deferred Charges,53.26,55.87,58.33,59.75,64.12,66.51,-,71.26,-,59.83,59.83,1.55,1.55,1.22,1.22
17,Other Long-Term Assets,207.83,4.02,474.23,433.54,467.66,3.96,-,2.88,-,1.54,1.54,-,-,0.52,0.52
18,Total Assets,4983,4538,3768,3623,3604,2632,-,2362,-,2274,2274,1631,1631,1308,1308
19,Accounts Payable,1052,868.85,389.39,380.86,399.22,282.46,-,182.1,-,183,183,435.61,435.61,365.47,365.47
20,Accrued Expenses,72.73,104.54,61.76,110.91,25.19,43.67,-,87.15,-,54.29,54.29,108.25,108.25,55.87,55.87
21,Short-Term Debt,713.79,332.66,252.84,109.65,175.81,84.45,-,17.83,-,-,-,15.03,15.03,53.79,53.79
22,Current Portion of Leases,125.73,97.64,98.52,97.93,97.09,90.93,-,82.33,-,95.39,95.39,-,-,-,-
23,Current Income Taxes Payable,37,27.82,49.6,37.97,50.93,31.39,-,22.67,-,31.32,31.32,57.2,57.2,32.02,32.02
24,Current Unearned Revenue,31.95,36.68,30.64,28.33,20.22,23.71,-,23.97,-,20.05,20.05,41.36,41.36,69.45,69.45
25,Other Current Liabilities,82.67,49.15,21.28,25.88,24.27,24.5,-,19.42,-,10.22,10.22,14.19,14.19,3.08,3.08
26,Total Current Liabilities,2116,1517,904.03,791.53,792.73,581.11,-,435.46,-,394.26,394.26,671.65,671.65,579.68,579.68
27,Long-Term Leases,384.23,401.15,310.32,334.25,361.8,394.14,-,416.59,-,461.28,461.28,-,-,-,-
28,Long-Term Deferred Tax Liabilities,4.49,5.14,2.91,1.93,11.67,13.64,-,0.06,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,62.02,59.48,50.53,81,37.82,38.03,-,53.89,-,29.38,29.38,42.4,42.4,23.46,23.46
30,Total Liabilities,2566,1983,1268,1209,1204,1027,-,906,-,884.92,884.92,714.05,714.05,603.14,603.14
31,Common Stock,400.1,400.1,400.1,400.1,400.1,360,-,360,-,360,360,360,360,360,360
32,Additional Paid-In Capital,803.39,780.34,775.21,775.21,775.21,92.21,-,92.21,-,92.21,92.21,92.21,92.21,92.21,92.21
33,Retained Earnings,1217,1377,1328,1241,1228,1156,-,1006,-,940.12,940.12,469.64,469.64,254.79,254.79
34,Comprehensive Income & Other,-3.87,-2.74,-2.53,-2.37,-3.36,-3.51,-,-2.37,-,-3.72,-3.72,-4.91,-4.91,-1.88,-1.88
35,Shareholders' Equity,2416,2555,2500,2414,2400,1605,1456,1456,-,1389,1389,916.94,916.94,705.13,705.13
36,Total Liabilities & Equity,4983,4538,3768,3623,3604,2632,-,2362,-,2274,2274,1631,1631,1308,1308
37,Total Debt,1224,831.45,661.68,541.82,634.71,569.51,516.75,516.75,-,556.67,556.67,15.03,15.03,53.79,53.79
38,Net Cash (Debt),182.64,765.46,752.51,903.24,731.18,479.14,216.34,216.34,-,-37.42,-37.42,344.06,344.06,277.48,277.48
39,Net Cash Growth,-75.02%,59.76%,247.83%,317.50%,-,-,-,-37.12%,-,-,-,-,-,-,-
40,Net Cash Per Share,0.46,1.91,1.88,2.26,1.89,1.33,0.60,0.60,-,-0.10,-0.10,0.95,0.95,0.78,0.78
41,Filing Date Shares Outstanding,400.1,400.1,400.1,400.1,400.1,360,359.88,360,360.17,360,360,360,360,360,360
42,Total Common Shares Outstanding,400.1,400.1,400.1,400.1,400.1,360,359.88,360,360.17,360,360,360,360,360,360
43,Working Capital,1875,1889,1765,1802,1760,1375,-,1298,-,1206,1206,905.82,905.82,679.63,679.63
44,Book Value Per Share,6.04,6.39,6.25,6.03,6.00,4.46,4.04,4.04,-,3.86,3.86,2.55,2.55,1.96,1.96
45,Tangible Book Value,2414,2552,2497,2411,2399,1604,1455,1455,-,1387,1387,915.3,915.3,703.26,703.26
46,Tangible Book Value Per Share,6.03,6.38,6.24,6.03,6.00,4.46,4.04,4.04,-,3.85,3.85,2.54,2.54,1.95,1.95
47,Machinery,-,104.65,-,82.03,-,76.89,-,72.53,-,70.02,70.02,41.1,41.1,32.78,32.78
