,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,6301,6455,8389,9964,7236,8440,10733,9132,6212,7544,9811,Upgrade
1,Market Cap Growth,-35.22%,-35.22%,15.93%,18.06%,-32.58%,-7.57%,72.78%,21.05%,-36.68%,-36.73%,-25.34%,Upgrade
2,Enterprise Value,7161,6622,7659,9904,6761,8360,10629,9396,5692,6880,9093,Upgrade
3,Last Close Price,4.92,5.04,6.31,7.49,5.31,6.19,7.65,6.51,4.31,5.23,6.61,Upgrade
4,PE Ratio,9.01,9.23,12.90,14.57,10.98,14.13,17.24,14.85,11.19,22.42,21.00,Upgrade
5,Forward PE,8.98,11.24,11.24,13.71,10.63,12.50,15.88,14.46,11.33,14.49,12.11,Upgrade
6,PS Ratio,0.85,0.87,1.12,1.33,1.07,1.28,1.62,1.48,1.14,1.62,1.96,Upgrade
7,PB Ratio,0.83,0.61,0.79,0.99,0.71,0.86,1.07,0.96,0.67,0.91,1.18,Upgrade
8,P/TBV Ratio,0.85,0.85,1.12,1.39,1.00,1.19,1.48,1.32,0.92,1.24,1.61,Upgrade
9,P/FCF Ratio,-,-,-,10.41,11.31,7.44,9.97,70.00,-,12.65,10.42,Upgrade
10,P/OCF Ratio,-,-,-,8.86,8.84,6.58,8.46,13.75,12.00,8.43,8.34,Upgrade
11,PEG Ratio,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,Upgrade
12,EV/Sales Ratio,0.97,0.90,1.03,1.32,1.00,1.26,1.60,1.52,1.04,1.48,1.82,Upgrade
13,EV/EBITDA Ratio,4.79,4.76,5.34,6.21,4.30,5.79,6.90,6.22,4.20,7.24,7.79,Upgrade
14,EV/EBIT Ratio,6.02,5.56,6.23,7.09,4.93,6.79,8.02,7.41,5.08,8.72,8.66,Upgrade
15,EV/FCF Ratio,-7.62,-,-,10.34,10.57,7.37,9.87,72.02,-,11.54,9.66,Upgrade
16,Debt / Equity Ratio,0.25,0.25,0.17,0.18,0.18,0.19,0.20,0.32,0.22,0.22,0.20,Upgrade
17,Debt / FCF Ratio,-,-,-,1.87,2.82,1.69,1.87,23.09,-,3.03,1.74,Upgrade
18,Return on Capital Employed (ROCE),9.39%,9.39%,9.91%,11.83%,11.63%,10.99%,11.82%,11.89%,11.12%,8.04%,10.69%,Upgrade
19,Earnings Yield,11.10%,10.83%,7.75%,6.86%,9.11%,7.08%,5.80%,6.73%,8.94%,4.46%,4.76%,Upgrade
20,FCF Yield,-14.92%,-14.56%,5.92%,9.61%,8.84%,13.44%,10.03%,1.43%,-2.10%,7.91%,9.59%,Upgrade
21,Total Shareholder Return,4.02%,-,-,-,-,-,-,-,-,-,-,Upgrade
