,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4764,5045,4411,4891,5832,5592,7075,4728,4255,-,-,-,-,-,-,-
1,Market Cap Growth,-9.79%,-9.79%,-37.65%,3.45%,37.06%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4580,4879,4127,4692,5633,5306,6579,5075,4602,-,-,-,-,-,-,-
3,Last Close Price,19.85,21.02,18.32,20.31,24.22,23.23,29.39,19.60,17.64,-,-,-,-,-,-,-
4,PE Ratio,148.91,159.71,-,60.36,72.42,60.97,79.06,53.00,39.84,-,-,-,-,-,-,-
5,PS Ratio,2.31,2.48,2.12,2.21,2.80,2.38,3.10,2.29,2.06,-,-,-,-,-,-,-
6,PB Ratio,2.60,2.75,2.43,2.63,3.15,3.08,3.93,2.64,2.38,-,-,-,-,-,-,-
7,P/TBV Ratio,2.87,2.87,2.54,2.74,3.28,3.21,4.11,2.75,2.49,-,-,-,-,-,-,-
8,P/FCF Ratio,98.95,104.78,-,-,-20.80,-,-,-,-29.62,-,-,-,-,-,-,-
9,P/OCF Ratio,103.23,103.23,-,-,-21.00,-,-,-,-31.17,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.25,2.40,1.98,2.12,2.70,2.26,2.88,2.45,2.23,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,51.39,61.83,-,47.27,58.47,71.28,96.03,55.74,41.85,-,-,-,-,-,-,-
12,EV/EBIT Ratio,77.41,73.22,-,54.56,68.21,88.18,120.84,65.77,47.81,-,-,-,-,-,-,-
13,EV/FCF Ratio,95.13,101.33,-,-,-20.09,-,-,-,-32.04,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.27,0.27,0.27,0.25,0.26,0.23,0.19,0.18,0.19,0.68,0.65,0.40,0.40,0.42,0.42,0.42
15,Debt / EBITDA Ratio,5.57,3.18,-,7.63,1.89,3.87,4.05,6.60,2.15,7.64,3.51,2.83,1.13,8.70,3.46,3.46
16,Debt / FCF Ratio,10.19,10.19,-,-,-1.72,-,-,-,-2.42,-,-,-,5.64,-,-,-
17,Asset Turnover,0.35,0.40,0.37,0.64,0.42,0.55,0.28,0.95,0.42,-,-,-,-,0.41,-,
18,Inventory Turnover,1.04,0.74,1.05,1.03,1.67,1.11,1.52,0.81,2.68,0.87,-,-,-,-,0.96,-
19,Quick Ratio,0.92,0.92,1.03,1.11,1.13,1.10,1.08,0.98,1.05,0.64,0.65,-,0.85,-,0.69,0.69
20,Current Ratio,1.78,1.78,1.86,1.93,1.79,1.87,1.76,1.61,1.52,1.21,1.23,-,1.23,-,1.18,1.18
21,Return on Equity (ROE),4.59%,-7.43%,1.49%,8.25%,3.68%,4.37%,1.43%,14.29%,6.07%,8.42%,10.72%,27.29%,4.49%,7.74%,-,
22,Return on Assets (ROA),1.89%,-1.25%,0.66%,2.23%,1.36%,0.51%,0.51%,1.12%,1.20%,-,-,-,-,1.32%,-,
23,Return on Capital (ROIC),3.85%,-2.45%,1.32%,4.52%,2.69%,1.02%,1.05%,2.53%,2.82%,5.59%,5.61%,12.50%,1.53%,3.99%,-,
24,Return on Capital Employed (ROCE),2.46%,2.83%,-,3.60%,3.47%,2.62%,2.60%,4.12%,5.15%,13.22%,12.35%,-,10.66%,-,4.01%,2.00%
25,Earnings Yield,0.66%,0.63%,0.62%,1.66%,1.38%,1.64%,1.26%,1.89%,2.51%,-,-,-,-,-,-,-
26,FCF Yield,1.01%,0.95%,-2.29%,-3.76%,-4.81%,-3.70%,-2.30%,-4.58%,-3.38%,-,-,-,-,-,-,-
27,Dividend Yield,0.29%,-,-,-,0.23%,-,-,-,0.31%,-,-,-,-,-,-,-
28,Payout Ratio,80.36%,78.55%,-,42.71%,7.95%,11.82%,77.37%,35.06%,12.17%,28.91%,14.13%,9.30%,4.31%,25.81%,269.88%,269.88%
29,Buyback Yield / Dilution,-3.59%,8.00%,-1.23%,-7.90%,-21.00%,-36.57%,-47.14%,-15.82%,-1.20%,3.34%,1.21%,-3.33%,-,-,-,-
30,Total Shareholder Return,-3.31%,8.00%,-1.23%,-7.90%,-20.77%,-36.57%,-47.14%,-15.82%,-0.88%,3.34%,1.21%,-3.33%,-,-,-,-
