,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,674.38,650.57,754.41,1149,618.42,632.32,825.37,1325,300.84,326.9,-,711.57,-,551.17,551.17
1,Cash & Short-Term Investments,674.38,650.57,754.41,1149,618.42,632.32,825.37,1325,300.84,326.9,711.57,711.57,551.17,551.17,551.17
2,Cash Growth,9.05%,2.89%,-8.60%,-13.29%,105.57%,93.43%,15.99%,86.23%,-45.42%,-40.69%,29.10%,-,-,-,-
3,Accounts Receivable,1557,1531,1519,1559,1669,1599,1435,1437,1395,1298,-,1168,-,1268,1268
4,Other Receivables,56.24,99.9,42.63,78.17,64.25,97.76,50.09,84.95,105.31,48.13,-,84.72,-,15.47,15.47
5,Receivables,1613,1631,1561,1637,1733,1697,1485,1522,1500,1346,-,1253,-,1283,1283
6,Inventory,1807,1650,1450,1314,1363,1292,1224,1030,1433,1246,-,809.39,-,1150,1150
7,Prepaid Expenses,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-,-
8,Other Current Assets,316.64,204.67,282.25,318.05,277.3,185.51,251.56,264.15,167.18,227.22,-,85.09,-,134.14,134.14
9,Total Current Assets,4411,4136,4048,4418,3991,3806,3786,4141,3401,3146,-,2859,-,3119,3119
10,"Property, Plant & Equipment",300.25,303.7,311.12,313.43,315.58,321.94,322.97,325.81,330.91,334.06,-,338.38,-,347.08,347.08
11,Long-Term Investments,7.37,8.13,8.11,8.08,8.11,8.22,7.89,8.09,7.79,7.99,-,7.99,-,7.02,7.02
12,Other Intangible Assets,73.44,74.03,74.64,75.24,75.75,76.7,76.58,77.48,78.32,79.22,-,81.16,-,81.81,81.81
13,Long-Term Deferred Tax Assets,38.75,38.6,37.02,36.36,36.26,37.84,34.06,34.57,29.41,31.23,-,28.88,-,28.64,28.64
14,Other Long-Term Assets,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
15,Total Assets,4831,4561,4479,4851,4427,4251,4228,4587,3848,3599,-,3315,-,3583,3583
16,Accounts Payable,1501,1384,1226,1418,1222,1153,1052,1256,1213,1141,-,1114,-,1469,1469
17,Accrued Expenses,0.67,11.58,1.48,55.99,1.03,19.54,1.54,103.76,34.22,32,-,71.78,-,71.33,71.33
18,Short-Term Debt,-,-,-,-,-,100.09,310.27,310.27,603.45,568.33,-,308.2,-,290.21,290.21
19,Current Portion of Long-Term Debt,-,0.33,-,0.36,-,0.07,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,20.54,14.62,-,12.99,-,19.21,-,16.57,16.95,17.36,-,14.36,-,13.7,13.7
21,Current Income Taxes Payable,5.51,0.82,3.88,0.34,10.76,0.1,8.94,-,0.34,0.14,-,0.17,-,1.01,1.01
22,Current Unearned Revenue,854.81,720.1,736.63,860.92,755.28,761.79,830.98,873.45,791.58,693.53,-,678.39,-,673.01,673.01
23,Other Current Liabilities,91.74,93.12,125.78,123.97,142.42,105.46,149.76,155.73,143.75,113.43,-,136.43,-,122.51,122.51
24,Total Current Liabilities,2474,2224,2094,2473,2132,2160,2354,2716,2803,2566,-,2323,-,2641,2641
25,Long-Term Debt,450,450,450,450,400,200,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,20.02,19.34,19.78,17.9,19.35,27.05,19.21,21.25,26.94,30.12,-,32.33,-,46.52,46.52
27,Long-Term Unearned Revenue,-,-,-,-,3.24,5.29,1.76,1.76,1.76,-,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,3.55,3.97,4.67,4.64,4.92,5.54,5.34,5.65,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,49.44,50.84,51.76,53.56,51.29,2.35,-,56.18,58.63,-,-,6.55,-,-,-
30,Total Liabilities,2997,2749,2620,2999,2610,2451,2434,2801,2890,2657,-,2419,-,2752,2752
31,Common Stock,240,240,240,240,240,240,240,240,180,180,-,180,-,180,180
32,Additional Paid-In Capital,1231,1231,1231,1231,1231,1231,1231,1231,514.52,514.52,-,514.52,-,514.52,514.52
33,Retained Earnings,341.91,321,368.52,361.6,323.77,307.12,300.68,294.26,245.23,230.81,-,187.45,-,122.64,122.64
34,Comprehensive Income & Other,20.48,20.14,19.72,19.5,21.79,21.81,21.44,20.66,17.93,16.7,-,14.2,-,14.28,14.28
35,Shareholders' Equity,1833,1812,1859,1852,1817,1800,1793,1786,957.67,942.02,896.17,896.17,831.43,831.43,831.43
36,Total Liabilities & Equity,4831,4561,4479,4851,4427,4251,4228,4587,3848,3599,-,3315,-,3583,3583
37,Total Debt,490.56,484.29,469.78,481.24,419.35,346.42,329.49,348.1,647.34,615.81,354.89,354.89,350.43,350.43,350.43
38,Net Cash (Debt),183.82,166.28,284.63,667.81,199.07,285.9,495.88,977.05,-346.5,-288.92,356.68,356.68,200.74,200.74,200.74
39,Net Cash Growth,-7.66%,-41.84%,-42.60%,-31.65%,-,-,39.02%,173.92%,-,-,77.69%,-,-,-,-
40,Net Cash Per Share,0.81,0.63,1.23,2.83,0.81,1.10,2.32,5.01,-1.92,-1.64,1.93,1.85,1.08,1.12,1.12
41,Filing Date Shares Outstanding,240,240,240,240,240,240,240,240,180,180,184.7,192.54,186.61,180,180
42,Total Common Shares Outstanding,240,240,240,240,240,240,240,240,180,180,184.7,192.54,186.61,180,180
43,Working Capital,1937,1912,1955,1945,1860,1647,1432,1425,598.58,580.25,-,535.58,-,477.47,477.47
44,Book Value Per Share,7.64,7.55,7.75,7.72,7.57,7.50,7.47,7.44,5.32,5.23,4.65,4.65,4.62,4.62,4.62
45,Tangible Book Value,1760,1738,1785,1777,1741,1723,1717,1709,879.36,862.8,815.01,815.01,749.62,749.62,749.62
46,Tangible Book Value Per Share,7.33,7.24,7.44,7.40,7.25,7.18,7.15,7.12,4.89,4.79,4.23,4.23,4.16,4.16,4.16
47,Buildings,-,232.39,-,232.39,-,232.39,-,232.39,232.39,232.39,-,232.39,-,232.39,232.39
48,Machinery,-,217.96,-,216.68,-,213.79,-,212.89,212.75,210.2,-,210.55,-,207.83,207.83
49,Construction In Progress,-,-,-,1.06,-,0.63,-,0.41,-,-,-,-,-,0.5,0.5
