,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,408.27,451.01,428.16,743.99,453.92,581.23,304.66,1004,392.13,365.4,300.45,832.63,338.83,370.63,370.63
1,Other Revenue,-1.52,1.52,-,2.09,-1.14,1.14,-,2.05,-0.76,0.76,-,0.76,0.4,0.4,0.4
2,Revenue,406.75,452.53,428.16,746.08,452.78,582.38,304.66,1006,391.37,366.16,300.45,833.39,339.24,371.03,371.03
3,Revenue Growth (YoY),-10.17%,-22.30%,40.54%,-25.81%,15.69%,59.05%,1.40%,20.67%,15.37%,-1.31%,-19.02%,-,-,-,-
4,Cost of Revenue,320.38,406.13,356.05,559.91,368.91,477.16,228.19,824.59,291.65,259.35,224.09,680.14,260.33,276.11,276.11
5,Gross Profit,86.37,46.39,72.11,186.16,83.86,105.22,76.47,181.08,99.72,106.8,76.36,153.25,78.91,94.92,94.92
6,"Selling, General & Admin",32.31,40.28,48.26,87.3,38.69,45.65,50.79,59.09,61.58,43.02,44.4,60.88,45.35,46.31,46.31
7,Research & Development,24.42,23.08,17.27,66.01,25.03,21.95,18.94,52.86,25.1,22.28,21.8,32.43,24.19,23.22,23.22
8,Other Operating Expenses,0.72,-0.53,-2.75,-6.77,-5.76,4.81,-0.94,36.14,-4.95,0.57,-19.34,3.82,0.63,1.2,1.2
9,Operating Expenses,50.81,69.03,59.76,144.82,60.28,96.51,67.52,162.14,81.87,75.39,48.31,92.43,71.67,76.05,76.05
10,Operating Income,35.56,-22.63,12.36,41.35,23.58,8.71,8.95,18.94,17.85,31.42,28.05,60.82,7.23,18.87,18.87
11,Interest Expense,-3.32,-1.05,-2.98,-5,-1.29,-1.51,-2.28,-7.84,-1.89,-5.2,-2.27,-8.34,-2.43,-2.05,-2.05
12,Interest & Investment Income,1.18,1.75,2.32,1.82,1.89,2.54,2.85,0.72,1.22,0.59,0.86,1.37,0.97,0.58,0.58
13,Earnings From Equity Investments,-0.03,0.02,0.03,1.09,-0.11,0.33,-0.2,0.3,-0.2,0.26,-0.25,-0.05,-,0.03,0.03
14,Other Non Operating Income (Expenses),-0.88,0.64,-0.57,-0.67,-1.3,-0.89,-0.79,3.69,-5.01,0.7,-1.04,3.34,-1.31,-0.85,-0.85
15,EBT Excluding Unusual Items,32.51,-21.28,11.16,38.59,22.77,9.18,8.52,15.8,11.96,27.76,25.35,57.14,4.46,16.57,16.57
16,Gain (Loss) on Sale of Assets,0.01,0.24,0.02,-0,-,-,-,-,-,-,-,-,-,-,-
17,Asset Writedown,-8.99,-6.9,-4.61,-4.17,-4.11,9.4,-1.19,6.04,4.26,-10.18,-0.37,-0.09,-,-0,-0
18,Other Unusual Items,1.13,-1.34,0.21,4.7,-0.4,0.4,-,27.27,-0.27,-,-,4.72,4.57,0.44,0.44
19,Pretax Income,24.66,-29.28,6.78,39.12,18.26,18.99,7.33,49.11,15.96,17.58,24.98,61.77,9.03,17.01,17.01
20,Income Tax Expense,3.74,4.81,-0.14,1.29,1.61,-0.65,0.92,0.09,1.54,-1.76,0.97,2.84,-0.3,0.92,0.92
21,Net Income,20.92,-34.08,6.92,37.83,16.65,19.64,6.42,49.02,14.42,19.34,24.01,58.92,9.33,16.09,16.09
22,Net Income to Common,20.92,-34.08,6.92,37.83,16.65,19.64,6.42,49.02,14.42,19.34,24.01,58.92,9.33,16.09,16.09
23,Net Income Growth,25.66%,-,7.90%,-22.82%,15.41%,1.52%,-73.27%,-16.81%,54.59%,20.24%,49.26%,-,-,-,-
24,Shares Outstanding (Basic),227,263,231,236,246,260,214,195,180,177,185,193,187,179,179
25,Shares Outstanding (Diluted),227,263,231,236,246,260,214,195,180,177,185,193,187,179,179
26,Shares Change (YoY),-8.00%,1.23%,7.90%,21.00%,36.57%,47.14%,15.82%,1.20%,-3.34%,-1.21%,3.33%,-,-,-,-
27,EPS (Basic),0.09,-0.13,0.03,0.16,0.07,0.08,0.03,0.25,0.08,0.11,0.13,0.31,0.05,0.09,0.09
28,EPS (Diluted),0.09,-0.13,0.03,0.16,0.07,0.08,0.03,0.25,0.08,0.11,0.13,0.31,0.05,0.09,0.09
29,EPS Growth,36.59%,-,0%,-36.21%,-15.50%,-31.00%,-76.92%,-17.80%,59.92%,21.71%,44.44%,-,-,-,-
30,Free Cash Flow,41.23,-93.61,-390.34,490.87,-107.92,-176.61,-486.73,564.62,-63.73,-230.74,-413.78,459.56,-268.36,-64.16,-64.16
31,Free Cash Flow Per Share,0.18,-0.36,-1.69,2.08,-0.44,-0.68,-2.28,2.90,-0.35,-1.31,-2.24,2.39,-1.44,-0.36,-0.36
32,Dividend Per Share,-,-,-,0.056,-,-,-,0.055,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,1.82%,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,21.23%,10.25%,16.84%,24.95%,18.52%,18.07%,25.10%,18.01%,25.48%,29.17%,25.42%,18.39%,23.26%,25.58%,25.58%
35,Operating Margin,8.74%,-5.00%,2.89%,5.54%,5.21%,1.50%,2.94%,1.88%,4.56%,8.58%,9.34%,7.30%,2.13%,5.09%,5.09%
36,Profit Margin,5.14%,-7.53%,1.62%,5.07%,3.68%,3.37%,2.11%,4.87%,3.69%,5.28%,7.99%,7.07%,2.75%,4.34%,4.34%
37,Free Cash Flow Margin,10.14%,-20.69%,-91.17%,65.79%,-23.84%,-30.33%,-159.76%,56.14%,-16.28%,-63.02%,-137.72%,55.14%,-79.11%,-17.29%,-17.29%
38,EBITDA,38.6,-19.49,15.4,44.39,27.11,12.36,12.48,22.48,21.19,34.89,31.39,64.16,10.06,21.7,21.7
39,EBITDA Margin,9.49%,-4.31%,3.60%,5.95%,5.99%,2.12%,4.10%,2.23%,5.41%,9.53%,10.45%,7.70%,2.97%,5.85%,5.85%
40,D&A For EBITDA,3.04,3.15,3.04,3.04,3.54,3.65,3.54,3.54,3.34,3.47,3.34,3.34,2.83,2.83,2.83
41,EBIT,35.56,-22.63,12.36,41.35,23.58,8.71,8.95,18.94,17.85,31.42,28.05,60.82,7.23,18.87,18.87
42,EBIT Margin,8.74%,-5.00%,2.89%,5.54%,5.21%,1.50%,2.94%,1.88%,4.56%,8.58%,9.34%,7.30%,2.13%,5.09%,5.09%
43,Effective Tax Rate,15.17%,-,-,3.29%,8.83%,-,12.51%,0.19%,9.64%,-,3.89%,4.60%,-,5.41%,5.41%
44,Revenue as Reported,406.75,452.53,428.16,746.08,452.78,582.38,304.66,1006,391.37,366.16,300.45,1915,-,-,-
45,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-,-
