,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Total Interest Expense,22.39,22.06,16.91,21.88,13.77,16.1,13.04,16.57,13.99,67.74,Upgrade
1,Net Interest Income,-22.39,-22.06,-16.91,-21.88,-13.77,-16.1,-13.04,-16.57,-13.99,-67.74,Upgrade
2,Other Revenue,6543,7016,6739,6361,5712,4907,5008,4497,4024,3620,Upgrade
3,Revenue Before Loan Losses,6520,6994,6722,6339,5698,4891,4994,4481,4010,3552,Upgrade
4,Provision for Loan Losses,109.08,95.7,94.93,169.55,137.59,146.51,171.73,128.52,118.93,-,Upgrade
5,Revenue,6411,6898,6627,6169,5561,4744,4823,4352,3891,3552,Upgrade
6,Revenue Growth (YoY),-3.26%,11.81%,19.18%,30.04%,15.31%,9.01%,23.94%,22.51%,21.82%,61.45%,Upgrade
7,Cost of Services Provided,5076,5576,5174,4936,3998,3632,3285,3214,2747,2577,Upgrade
8,Total Operating Expenses,5076,5576,5174,4936,3998,3632,3285,3214,2747,2577,Upgrade
9,Operating Income,1335,1322,1453,1233,1563,1112,1538,1138,1144,975.39,Upgrade
10,Earnings From Equity Investments,13.64,1.17,5.21,7.62,5.84,6.73,7.13,6.68,4.67,3.44,Upgrade
11,Currency Exchange Gain (Loss),3.04,-,-,-,-,-27.55,58.16,-,-,56.79,Upgrade
12,EBT Excluding Unusual Items,1614,1292,1551,1192,1498,1208,1476,1233,1128,1153,Upgrade
13,Gain (Loss) on Sale of Investments,3.85,14.94,9.47,5.34,6.31,8.37,-,-,-,-143.65,Upgrade
14,Other Unusual Items,1.53,-,-,0.95,-,-,-,-,-,-,Upgrade
15,Pretax Income,1619,1303,1564,1198,1505,1216,1476,1237,1128,1018,Upgrade
16,Income Tax Expense,366.5,297.23,369.72,288.88,328.44,311.35,349.99,283.89,267.22,255.98,Upgrade
17,Earnings From Continuing Ops.,1252,1005,1195,909.59,1176,904.95,1126,952.93,860.98,761.87,Upgrade
18,Minority Interest in Earnings,-79.21,-31.12,-54.9,-74.96,-51.17,-42.77,-39.97,-49,-17.78,-35.22,Upgrade
19,Net Income,1173,974.37,1140,834.63,1125,862.17,1086,903.94,843.2,726.65,Upgrade
20,Preferred Dividends & Other Adjustments,35.73,46.63,42.79,35.58,35.83,76.9,35.6,49.8,49.8,49.89,Upgrade
21,Net Income to Common,1137,927.74,1097,799.05,1089,785.28,1050,854.14,793.4,676.75,Upgrade
22,Net Income Growth,2.90%,16.74%,1.30%,-3.20%,3.65%,-4.62%,28.74%,24.40%,-2.15%,17.84%,Upgrade
23,Shares Outstanding (Basic),1892,1892,1892,1892,1892,1893,1827,1716,1716,1716,Upgrade
24,Shares Outstanding (Diluted),2010,2083,2083,2080,2074,2070,2006,1716,1718,1716,Upgrade
25,Shares Change (YoY),-3.49%,0.14%,0.42%,0.49%,3.42%,20.61%,16.75%,-0.01%,0.09%,0.01%,Upgrade
26,EPS (Basic),0.60,0.49,0.58,0.42,0.58,0.41,0.57,0.50,0.46,0.39,Upgrade
27,EPS (Diluted),0.57,0.46,0.54,0.39,0.53,0.39,0.53,0.50,0.46,0.39,Upgrade
28,EPS Growth,5.51%,15.66%,0.45%,1.40%,1.09%,-22.00%,14.85%,26.21%,-2.13%,9.75%,Upgrade
29,Free Cash Flow,-2581,7778,-3708,2885,-1470,2394,-4179,-1800,427.17,2643,Upgrade
30,Free Cash Flow Per Share,-1.28,3.73,-1.78,1.39,-0.71,1.16,-2.08,-1.05,0.25,1.54,Upgrade
31,Operating Margin,20.82%,19.17%,21.93%,19.99%,28.10%,23.44%,31.89%,26.15%,29.40%,27.46%,Upgrade
32,Profit Margin,17.74%,13.45%,16.55%,12.95%,19.59%,16.55%,21.77%,19.63%,20.39%,19.05%,Upgrade
33,Free Cash Flow Margin,-40.25%,112.75%,-55.95%,46.76%,-26.44%,50.46%,-86.66%,-41.37%,10.98%,74.40%,Upgrade
