,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,1986,2365,1487,2045,1622,2164,1460,2180,1592,2702,Upgrade
1,Revenue Growth (YoY),33.59%,15.64%,-8.34%,-5.50%,11.07%,-0.74%,-8.26%,-19.32%,-42.32%,-19.82%,Upgrade
2,Cost of Revenue,1945,2308,1445,1990,1599,2129,1409,2227,1586,2696,Upgrade
3,Gross Profit,41.14,56.43,41.47,54.75,22.66,34.59,51.12,-46.24,6.32,5.99,Upgrade
4,"Selling, General & Admin",34.75,32.9,30.37,35.65,27.51,22.93,42.51,39.17,39,39.17,Upgrade
5,Other Operating Expenses,-2.2,-0.64,-2.15,1.55,-1.82,1.11,-4.64,3.7,-5.74,0.58,Upgrade
6,Operating Expenses,32.55,32.26,28.22,37.2,25.69,24.04,37.87,42.87,33.26,39.75,Upgrade
7,Operating Income,8.59,24.17,13.25,17.55,-3.03,10.55,13.25,-89.11,-26.94,-33.76,Upgrade
8,Interest Expense,-7.37,-6.13,-1.7,-0.39,-1.76,-1.2,-1.12,-9.93,-9.86,-10.16,Upgrade
9,Interest & Investment Income,-,2.35,-,0.53,-,0.11,-,1.69,-,1,Upgrade
10,Earnings From Equity Investments,-,-1.02,-,-1.27,-0.85,-2.03,-0.27,1.34,-,-6.74,Upgrade
11,Currency Exchange Gain (Loss),-,0.07,-,-0.09,-,-0.12,-,-0.04,-,0.31,Upgrade
12,EBT Excluding Unusual Items,1.22,19.44,11.54,16.33,-5.65,7.32,11.86,-96.05,-36.8,-49.35,Upgrade
13,Gain (Loss) on Sale of Assets,10.43,0.39,-,1.11,-,1.41,-,0.49,-,0.42,Upgrade
14,Other Unusual Items,-,0.24,-,14.22,18,-,-,91.98,-,-,Upgrade
15,Pretax Income,11.65,20.07,11.54,31.66,12.36,8.73,11.86,-3.58,-36.8,-48.93,Upgrade
16,Income Tax Expense,-0.29,3.94,1.93,25.65,-1.39,0.55,2.04,-14.81,-6.6,-6.39,Upgrade
17,Earnings From Continuing Operations,11.94,16.13,9.61,6.01,13.74,8.18,9.82,11.23,-30.2,-42.54,Upgrade
18,Minority Interest in Earnings,-0.18,-0.1,-0.32,-0.43,-0.59,-0.04,-0.53,0.22,-0.28,0.55,Upgrade
19,Net Income,11.76,16.03,9.3,5.58,13.15,8.14,9.29,11.45,-30.48,-41.99,Upgrade
20,Net Income to Common,11.76,16.03,9.3,5.58,13.15,8.14,9.29,11.45,-30.48,-41.99,Upgrade
21,Net Income Growth,26.54%,187.41%,-29.33%,-31.46%,41.59%,-28.94%,-,-,-,-,Upgrade
22,Shares Outstanding (Basic),400,400,400,400,400,400,400,400,400,400,Upgrade
23,Shares Outstanding (Diluted),400,400,400,400,400,400,400,400,400,400,Upgrade
24,EPS (Basic),0.03,0.04,0.02,0.01,0.03,0.02,0.02,0.03,-0.08,-0.10,Upgrade
25,EPS (Diluted),0.03,0.04,0.02,0.01,0.03,0.02,0.02,0.03,-0.08,-0.10,Upgrade
26,EPS Growth,26.54%,187.42%,-29.33%,-31.46%,41.59%,-28.94%,-,-,-,-,Upgrade
27,Free Cash Flow,-200.43,92.33,-151.28,58.11,38.47,-5.09,-24.95,383.61,107.13,132.04,Upgrade
28,Free Cash Flow Per Share,-0.50,0.23,-0.38,0.15,0.10,-0.01,-0.06,0.96,0.27,0.33,Upgrade
29,Dividend Per Share,0.030,0.040,0.030,0.035,0.025,0.030,0.020,0.080,0.040,-,Upgrade
30,Dividend Growth,0%,14.29%,20.00%,16.67%,25.00%,-62.50%,-50.00%,-,-,-,Upgrade
31,Operating Margin,0.43%,1.02%,0.89%,0.86%,-0.19%,0.49%,0.91%,-4.09%,-1.69%,-1.25%,Upgrade
32,Profit Margin,0.59%,0.68%,0.63%,0.27%,0.81%,0.38%,0.64%,0.53%,-1.91%,-1.55%,Upgrade
33,Free Cash Flow Margin,-10.09%,3.90%,-10.17%,2.84%,2.37%,-0.24%,-1.71%,17.59%,6.73%,4.89%,Upgrade
34,EBITDA,11.89,27.8,18.24,23.43,2.99,17.18,20.41,-81.6,-19.11,-25.66,Upgrade
35,D&A For EBITDA,3.3,3.63,4.99,5.88,6.01,6.62,7.16,7.51,7.83,8.1,Upgrade
36,EBIT,8.59,24.17,13.25,17.55,-3.03,10.55,13.25,-89.11,-26.94,-33.76,Upgrade
