,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1261,1392,1181,1124,981.84,660.86,516.95,846.85,858.11,1549,733.97,1009,1138,975.92,1064,809.47,753.93,798.41,625.03,278.48
1,Other Revenue,-,-89.22,89.22,-,31.95,-9.56,9.56,-,41.15,-49.77,49.77,-,33.3,-4.8,4.8,-,46.21,-17.36,16.01,1.35
2,Revenue,1261,1303,1270,1124,1014,651.3,526.51,846.85,899.27,1499,783.74,1009,1171,971.12,1069,809.47,800.14,781.05,641.04,279.82
3,Revenue Growth (YoY),24.34%,100.02%,141.31%,32.74%,12.73%,-56.55%,-32.82%,-16.05%,-23.20%,54.37%,-26.69%,24.62%,46.34%,24.33%,66.76%,189.28%,-,-,-,-
4,Cost of Revenue,2899,1334,1784,1456,2034,1228,1129,1029,1429,1648,1030,1094,1451,1002,1264,919.87,1011,802.49,856.12,417.6
5,Gross Profit,-1639,-31.13,-513.05,-331.98,-1021,-577,-602.59,-181.73,-529.97,-149.24,-246.67,-85.31,-280.13,-30.7,-195.2,-110.4,-211.19,-21.44,-215.08,-137.77
6,"Selling, General & Admin",-112.01,37.69,40.15,34.17,29.43,40.89,39.34,34.24,39.98,48.21,40.37,33.91,38.6,37.85,41.54,34.75,34.94,33.92,34.96,35.23
7,Research & Development,-117.42,44.63,39.92,32.87,37.07,41.86,48.86,52.75,101.6,41.87,46.63,22.92,49.33,57.04,28.34,21.82,91.79,39.73,22.69,25.52
8,Other Operating Expenses,-0.53,-15.9,8.24,8.19,8.11,-0.43,-7.49,2.57,32.17,-6.84,-3.04,-3.99,24.38,-24.38,-8.05,-7.14,22.02,-5.79,-12.15,-1.83
